"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:41:04-03","E","E","312935","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","Pirani, J.R.; Stannard, B.; McRobb, A.","51308","1992","01","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315315","<a href=http://data.rbge.org.uk/herb/E00312935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","233098","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","25976","1988","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00233098","Magnoliophyta","Gentianales","Zappi & Harley","isotype","Bahia","Rio de Contas","Pico das Almas. Vertente leste. perto da Faz. Brumadinho. 16 km. ao N-) da cidade","-41.92","-13.53","1250","1250","NY00233098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01807155","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","J. G. Jardim","776",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=411571' target='other'> <mi>dwc_moreinfo</mi></a>","NY01807155","Magnoliophyta","Gentianales","Zappi & Harley",NA,NA,NA,"Brasilia",NA,NA,NA,NA,"NY01807155_01","R. L. Liesner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","638964","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","W. Ganev","2321","1993","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00638964","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia","Abaíra","Cabaceira. Riacho Fundo, atrás da Serra do Bicota","-41.85","-13.38","1480","1480","NY00638964_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590660","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","25809","1988","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590660","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia","Rio de Contas","Pico das Almas: vertente leste. Campo do Queiroz, perto do trilho da Faz. Silvina","-41.95","-13.53","1500","1500","NY00590660_01","F. J. Fernández Casas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","590663","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","N. Hind","4386","1996","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590663","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia","Rio de Contas","Fazenda Brumadinho, Morro Brumadinho","-41.8114","-13.5792",NA,NA,"NY00590663_01","D. J. N. Hind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","590662","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","27520","1988","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590662","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia",NA,"Agua Quente. Pico das Almas. Vertente oeste. Entre Paramirim das Crioulas e a face NNW do pico","-42","-13.52","1200","1200","NY00590662_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","638965","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","H51308","1992","01","26","South America","Brazil","sheet",NA,"Harley is not on the label but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00638965","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia","Abaíra","Cachoeira das Anáguas","-41.88","-13.27","1400","1400","NY00638965_01","D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","590661","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","26019","1988","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590661","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia","Rio de Contas","Ao N da cidade, a 100m do povoado do Mato Grosso","-41.85","-13.47","1300","1300","NY00590661_01","F. J. Fernández Casas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590664","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","flava","Spigelia flava","R. M. Harley","27520","1988","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590664","Magnoliophyta","Gentianales","Zappi & Harley",NA,"Bahia",NA,"Agua Quente. Pico das Almas. Vertente oeste. Entre Paramirim das Crioulas e a face NNW do pico","-42","-13.52","1200","1200","NY00590664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
