"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem"
"1","2020-09-23 10:40:04-03","E","E","180949","PreservedSpecimen","Plantae","Labiatae","Eriope","anamariae","Eriope anamariae","Harley, R.M.; Queiroz, L.P.; Nic Lughadha, E.; Stannard, B.","1992","02","12","E. Tropical South America","BR","Bahia","Mun. Abaira","herbarium specimen of unspecif","BGBASE:198434","<a href=http://data.rbge.org.uk/herb/E00180949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00180949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00563951","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1988","11","12","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Subida do pico Campo do Queiroz.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563951","Magnoliophyta","Lamiales","Harley","isotype","26420","Rio de Contas","-41.97","-13.53","1600","1600","NY00563951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00629546","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","W. Ganev","1992","10","19","South America","Brazil","Bahia","Serra das Brenhas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629546","Magnoliophyta","Lamiales","Harley",NA,"1294","Abaíra","-41.88","-13.32","1890","1890","NY00629546_01","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00632195","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1992","02","12","South America","Brazil","Bahia","Campo do Cigano","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632195","Magnoliophyta","Lamiales","Harley",NA,"H51095","Abaíra","-41.92","-13.25","1780","1780","NY00632195_01","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00022548","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1988","11","12","South America","Brazil","Bahia","Rio de Contas. Pico das Almas. Vertente leste. Subida do pico do Campo do Queiroz. Afloramento de rocha conglomerada com campo pedregoso. Base das pedras, solo arenoso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022548","Magnoliophyta","Lamiales","Harley","isotype","26420",NA,"-41.97","-13.53","1600","1600","NY00022548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:40:35-02","IPA","IPA","54505","S","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.; et al.; et al.","1988","11","12","Southern America","Brasil","Bahia","Pico das Almas, Vertente leste. Subida do pico do Campo do Queiroz.",NA,NA,"Afloramento de rocha conglomerada com campo pedregoso. Base das pedras; solo arenoso.","IPA0054505","Plantae",NA,"Harley",NA,"26420","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,"IPA0054505","Harley, R.M.","1991","49773","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:30:06-03","MBM","MBM","160910","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.; Giulietti, A.M.; Stannard, B.; Hind, D.J.N.; Cavalcanti, T.B.; Sal; Giulietti, A.M.; Stannard, B.; Hind, D.J.N.; Cavalcanti, T.B.; Sales, M.; Chukr","1988","11","12","Southern America","Brazil","Bahia","Pico das Almas, Vertente leste. Subida do pico do Queiroz",NA,NA,"Afloramento de rocha conglomerada com campo pedregoso. Base de pedras solo arenoso. Subarbusto até 1m de altura com folhas perfumadas. Inflorescência viscosa. Cálice roxo-escuro. Corola violeta-intenso com padrão de estrias escuras s","MBM160910",NA,NA,"Harley","ISOTYPE","26420","Rio de Contas","-41.966667","-13.533333","1600","1600","MBM160910","Harley, R.M.",NA,NA,NA,"-41.966667","-13.533333",NA,NA,NA,NA
"8","2020-12-11 11:36:49-03","UFMG","BHCB","148406","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","De Paula, LFA; Viana, PL; Mota, NFO; Jorge, TB; Figueiroa, AC","2010","10","13","Southern America","Brasil","Bahia","Pico das Almas, Trilha na subida para o Pico das Almas.",NA,NA,"Planta com aproximadamente 2m de altura.","BHCB005079","Dicotyledon",NA,"Harley",NA,"14","Rio de Contas","-41.963875","-13.525814","1784","1784",NA,NA,NA,NA,NA,"-41.963875","-13.525814",NA,NA,NA,NA
"9","2019-11-13 11:20:38-03","USP","SPF","90672","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, RM","1992","01","06",NA,"Brasil","Bahia","Campo da Pedra Grande. Entre rochas.",NA,NA,NA,"SPF00090672",NA,NA,"Harley",NA,"H50644","Abaíra","-41.9","-13.233333","1550","1550","SPF00090672","Silva-Luz, CL","2009",NA,NA,"-41.9","-13.233333","05","14",NA,NA
"10","2019-11-13 11:20:38-03","USP","SPF","80545","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, RM","1988","12","26",NA,"Brasil","Bahia","Ao oeste de Catolés, perto do Catolés de Cima, nas vertentes das serras. No campo pedregoso.",NA,NA,NA,"SPF00080545",NA,NA,"Harley",NA,"27806","Abaíra","-41.883333","-13.3","1400","1500","SPF00080545","Silva-Luz, CL","2009",NA,NA,"-41.883333","-13.3","05","14",NA,NA
"11","2019-11-13 11:20:38-03","USP","SPF","86851","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Ganev, W","1992","08","25",NA,"Brasil","Bahia","Serra da Tromba, Caminho Piatã ao Gerais da Serra, via campo de futebol. Campo rupestre com solo arenoso.",NA,NA,NA,"SPF00086851",NA,NA,"Harley",NA,"953","Piatã","-41.833333","-13.133333","1400","1400","SPF00086851","Silva-Luz, CL","2009",NA,NA,"-41.833333","-13.133333","05","14",NA,NA
"12","2019-11-13 11:20:38-03","USP","SPF","95693","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, RM","1994","03","01",NA,"Brasil","Bahia","Estrada entre o Distrito de Mato Grosso e o pé do Morro do Itabira. Campo rupestre com mata no pé do morro. Entre rochas.",NA,NA,NA,"SPF00095693",NA,NA,"Harley",NA,"CFCR14689","Rio de Contas","-41.853611","-13.408333","1400","1600","SPF00095693","Silva-Luz, CL","2009",NA,NA,"-41.853611","-13.408333","05","14",NA,NA
"13","2019-11-13 11:20:38-03","USP","SPF","92233","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, RM","1992","02","12",NA,"Brasil","Bahia","Campo do Cigano. Entre rochas.",NA,NA,NA,"SPF00092233",NA,NA,"Harley",NA,"51095","Abaíra","-41.916667","-13.25","1780","1780","SPF00092233","Harley, RM","1999",NA,NA,"-41.916667","-13.25",NA,NA,NA,NA
"14","2019-11-13 11:20:38-03","USP","SPF","82562","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Ganev, W","1993","07","21",NA,"Brasil","Bahia","Serra do Bicota, Subida por Aquilino. Campo rupestre com solo arenoso com muitas rochas.",NA,NA,NA,"SPF00082562",NA,NA,"Harley",NA,"1912","Abaíra","-42.366667","-13.85","1930","1930","SPF00082562","Silva-Luz, CL","2009",NA,NA,"-42.366667","-13.85","05","14",NA,NA
