"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02618986","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","L. Coradin","836","1977","10","20","South America","Brazil","Roraima","Northeastern Roraima, ca. 110 Km NE of Boa Vista, 14 Km SW of Bonfim. By unnamed lake. Savannas (campo).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944871' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618986","NY02618986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01201604","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","N. A. Rosa","4437","1982","06","28","South America","Brazil","Amapá",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201604","NY01201604_01","N. A. Rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","636690","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","J. C. Lindeman","3214","1966","10","23","South America","Brazil","São Paulo","Rio Guaraú, 175 km from Curitiba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636690","NY00636690_01","C. F. S. Muniz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01481991","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","T. M. Koyama","7561","1967","03","11","South America","Venezuela","Bolívar","Near Kamarata.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481991",NA,"A. C. Araújo","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 05:27:00-03","NY","NYBG","637284","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa",NA,"R. L. Liesner","20048","1986","04","19","South America","Venezuela","Bolívar","Río Acanán, Guarumo. 5 km W of Amaruay-tepui.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637284",NA,"G. Davidse","470","Piar","-62.28","5.93","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01201602","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","B. W. Nelson","927","1980","12","21","South America","Brazil","Amazonas","Igapó arenoso do rio Branquinho, perto do rio Cuieiras. Água clara, baixa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201602","NY01201602_01","T. M. Koyama",NA,"Manaus","-60.3200886","-2.5451154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02618991","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","S. H. K. Keel","337","1977","11","30","South America","Brazil","Amazonas","Vicinity of Manaus. Tarumã Grande, 1 Km N from the junction of Rio Negro and Igarapé Tarumã.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944876' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618991","NY02618991_01",NA,NA,NA,"-60.1022878","-2.9975559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","636694","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa microcarpa","Nees ex Kunth","J. C. Lindeman","4482","1967","01","24","South America","Brazil","Paraná","Guaira, 7 Quedas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636694","NY00636694_01","T. M. Koyama",NA,"Guairá","-54.2556","-24.08",NA,"microcarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01201605","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","R. de S. Secco","196","1982","05","14","South America","Brazil","Pará","Marabá, N5, arredores do lago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201605","NY01201605_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","637291","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa latifolia","(Boeckeler) T.Koyama","A. H. Gentry","26947","1979","10","19","South America","Peru","Madre de Dios","Cashucocha Camp, Río Manu, Parque Nacional de Manu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637291",NA,"T. M. Koyama","380",NA,NA,NA,"380","latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01201149","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","W. R. Anderson","10907","1974","02","13","South America","Brazil","Pará",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452762' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201149","NY01201149_01","T. M. Koyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02618984","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","D. G. Campbell","P22069","1974","04","21","South America","Brazil","Amazonas","Across river from Maués, farm of Francisco Merheri","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944868' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618984","NY02618984_01",NA,NA,NA,"-57.7541775","-3.4058142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","637289","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa microcarpa","Nees ex Kunth","M. Fariñas","574","1969","01",NA,"South America","Venezuela","Amazonas","La Esmeralda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637289",NA,"T. M. Koyama",NA,NA,"-65.53","3.18",NA,"microcarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02618989","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa","Nees ex Kunth","R. T. P. Vasconcelos","409","1986","10","21","South America","Brazil","Pará","Margem direita do Rio Xingu, no largo do murici. Mata aberta com babaçu, solo areno-argiloso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944874' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618989","NY02618989_01",NA,NA,"Altamira","-52.7416277","-4.3220195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 00:08:00-03","NY","NYBG","755425","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","microcarpa","Scleria microcarpa",NA,"T. B. Croat","62662","1986","08","25","South America","Brazil","Acre","Along road from Cruzeiro do Sul to Barao do Rio Branco, northwest of Cruzeiro do Sul; vicinity of Rio Moa, 5 km east of Rio Moa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755425","NY00755425_01","G. Davidse","150","Cruzeiro do Sul","-72.6","-7.62","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
