"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01922725","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","R. de S. Secco","132","1982","05","12","South America","Brazil","Pará","Marabá, Alto da Serra, arredores do N5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150107' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922725","NY01922725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01922726","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","M. G. da Silva","3003","1977","04","02","South America","Brazil","Pará","Serra dos Carajás, estrada para o n. 1.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150108' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922726","NY01922726_01","Marabá","-50.290904","-6.0226284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013899","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","T. C. Plowman","9277","1980","02","28","South America","Brazil","Tocantins","Transamazonian highway (BR-230), 6 km. west of Estreito (Rio Tocantins).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013899","NY01013899_01","Tocantinópolis","-47.53","-6.53","D. F. Austin","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:37:33-03","EAO","IAN","140179","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Pires, JM; Passos, BC dos","13196","1973","08","20","Southern America","Brasil","Pará","Serra Norte.",NA,NA,"IAN140179",NA,NA,NA,NA,"Austin, DF",NA,NA,"1980","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:37:33-03","EAO","IAN","143171","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Pinheiro, GS; Carvalho, JFV","647","1974","04","09","Southern America","Brasil","Pará","Estreito Marabá km 2.",NA,NA,"IAN143171",NA,NA,NA,NA,"Vasconcelos, L",NA,NA,"2016","11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:37:33-03","EAO","IAN","152879","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Ribeiro, BGS","1324","1976","06","24","Southern America","Brasil","Pará","Serra dos Carajás, margem da estrada 1-4, mata de terra firme.",NA,NA,"IAN152879",NA,NA,NA,NA,"Austin, DF",NA,NA,"1980","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:37:33-03","EAO","IAN","152953","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Ribeiro, BGS","1398","1976","06","28","Southern America","Brasil","Pará","Serra dos Carajás.",NA,NA,"IAN152953",NA,NA,NA,NA,"Austin, DF",NA,NA,"1980","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:42:27-03","UFMS","CGMS","52999","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I. Wood & R.W. Scotland","A. Pott; V.J. Pott; S.N. Moreira; A. Francener","15680","2009","10","08",NA,"Brasil","Mato Grosso do Sul","Entrada da Fazenda Jandaia, Rodovia MS-243, a 9,6 km SW da Rodovia BR-262 (Guaicurus).",NA,"Flor rosa lilás. TuboFloral arroxeado. Habitat: Transição floresta decidual/cerradão. Solo argiloso. Esparsa. Habito: Trepadeira.","CGMS1082965",NA,"Miranda","-56.8341666","-20.1211111","G. Staples","270","270",NA,NA,NA,"-56,8341666","-20,1211111",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:42:27-03","UFMS","CGMS","41646","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I. Wood & R.W. Scotland","V.J. Pott; A. Pott; A.L.B. Sartori; L.C.P. Lima; S. Aragaki; M. Moraes","4450","2001","04","03",NA,"Brasil","Mato Grosso do Sul","Lagoa das Pedras, Fazenda Formoso.",NA,"Flor rosada. Tubo da corola arroxeada. Habitat: Borda de lagoa alagada com vegetação herbácea. Solo argiloso, calcário. Relevo plano. Habito: Trepadeira. Muito Frequente.","CGMS1071633",NA,"Bonito","-56.6263889","-21.3363889","G. Staples",NA,NA,NA,NA,NA,"-56,6263889","-21,3363889",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:42:27-03","UFMS","CGMS","41633","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I. Wood & R.W. Scotland","A. Pott; V.J. Pott; G. Hatschbach; J. Silva","10890","2002","11","21",NA,"Brasil","Mato Grosso do Sul","1,5 km N da Aldeia Taunay e 8,5 km SE da Fazenda Santa Cruz.",NA,"Flor rosa. Habitat: Campo (pastagem) de Hyparrhenia rufa, queimado, mal drenado. Solo areno-siltoso. Relevo planície em suave ondulado. Habito: Erva prostrada ou volúvel. Esparsa.","CGMS1071620",NA,"Aquidauana","-56.0647222","-20.2361111","G. Staples","125","125",NA,NA,NA,"-56,0647222","-20,2361111",NA,NA,NA,NA,NA,NA,NA,NA
