"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","preparationType","individualCount","imagecode","class","order","typeStatus"
"1","2021-03-30 12:46:06-03","EAO","IAN","26469","PreservedSpecimen","Plantae","Dicotiledônea","Myrtaceae","Myrciaria","sericea","Myrciaria sericea","Berg","Sellow, F","s.n.","Southern America","Brasil","IAN026469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:34-03","ESALQ","ESA","120020","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","neosericea","Eugenia neosericea",NA,"Faria, J.E.Q.","972.0",NA,"Brasil","ESA120020","Faria, J.E.Q.","2010","11","01","Minas Gerais","Catas Altas","RPPN Serra do Caraça, trilha para o pico do Sol, na metade da trilha.","-43.4075012207031","-20.0746994018555","11966","1699","1699","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:46:16-02","IPA","IPA","86742","S","Plantae","Plantae","Myrtaceae","Eugenia","neosericea","Eugenia neosericea","(O. Berg) Morais & Sobral","Faria, J.E.Q.; Villarroel, D.; Filho, J.J.; Villarroel, D.; Filho, J.J.","972","Southern America","Brasil","IPA0086742","Faria, J.E.Q.","2010","11","13","Minas Gerais","Catas Altas","RPPN Serra do Caraça, trilha para o Pico do Sol, na metade da trilha, próxima ao Portal.","-43.462222","-20.105556",NA,"1699","1699",NA,"2010","11","-43.462222","-20.105556","Arbusto ca. 2m de altura, botões florais imaturos verdes, axilares, isolados ou formando dicásios; caule rugoso (material para DNA).; Campo rupestre.",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:39:12-03","UFMG","BHCB","80194","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","neosericea","Eugenia neosericea","(O.Berg) Morais & Sobral","Mota, RC da","1918","Southern America","Brasil","BHCB004159",NA,"2002","12","19","Minas Gerais","Catas Altas","Serra do Caraça, Próximo à trilha que leva ao Pico do sol","-43.4075012207031","-20.0746994018555","11966",NA,NA,"auto","2013","03",NA,NA,"Arbusto, planta em botões; Campo rupestre",NA,NA,NA,NA,NA,NA
"5","2020-09-02 16:33:52-03","Cenargen","CEN","80351","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","neosericea","Eugenia neosericea","Morais & Sobral","Jair Eustáquio Quintino de Faria Jr.","972",NA,"Brasil","CEN00080351","J. E. Q. Faria Júnior","2010","11","13","MG","CATAS ALTAS DA NORUEGA","RPPN Serra da Caraça, trilha para o Pico do Sol, na metade da trilha, próximo ao Portal.","-43.462222","-20.105555",NA,"1699","1699",NA,"2010","11","-43.462222","-20.105555","Botões florais imaturos verdes, axilares, isolados ou formando dicásios. HERBÁRIO UB - Minas Gerais.","Exsicatas","1","CEN00080351",NA,NA,NA
"6","2019-10-07 09:35:20-03","UEFS","HUEFS","185284","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Eugenia","neosericea","Eugenia neosericea","Morais & Sobral","Faria, J.E.Q.","972",NA,"Brasil","HUEFS0185284",NA,"2010","11","13","Minas Gerais","Catas Altas","RPPN Serra do Caraça, trilha para o Pico do Sol, na metade da trilha, próximo ao Portal.","-43.462222","-20.105556",NA,"1699","1699",NA,NA,NA,"43W27'44''","20S6'20''","Campo rupestre.",NA,NA,"HUEFS0185284","Rosanae","Myrtales",NA
"7","2021-03-04 11:17:40-03","UEFS","HUEFS","86647","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrciaria","sericea","Myrciaria sericea","O.Berg",NA,NA,NA,"Brasil","HUEFS0086647",NA,NA,NA,NA,"Minas Gerais",NA,"Serra do Caraça.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae","Myrtales","Tipo"
"8","2021-03-04 11:17:40-03","UEFS","HUEFS","86648","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrciaria","sericea","Myrciaria sericea","O.Berg",NA,NA,NA,"Brasil","HUEFS0086648",NA,NA,NA,NA,"Minas Gerais",NA,"Serra do Caraça.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae","Myrtales","Tipo"
"9","2019-09-04 19:14:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Myrciaria","sericea","Myrciaria sericea",NA,"F. Sellow",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype"
"10","2019-09-04 19:14:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Myrciaria","sericea","Myrciaria sericea",NA,"F. Sellow",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype"
