"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00640181","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.","S. A. Mori","S. A. Mori","22373","1992","06","16","South America","Brazil","Amazonas","Rio Solimoes, near mouth of Lago Janauacá","-60.27","-3.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3950205","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"M. Moraes","1307","1990","03","19","South America","Bolivia","El Beni","Espiritu, río Yacuma, zona inundada cerca a Pto. Espiritu","-66.4","-14.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4570475' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950205","Yacuma","189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03950230","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.","J. Külkamp","F. J. Breteler","4669","1965","10","20","South America","Venezuela","Monagas","± 35 km N. E. of Maturin. Bank of Guarapiche R.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243774' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950230",NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3950200","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"M. H. Nee","46408","1995","12","20","South America","Bolivia","Santa Cruz","5.5 km S of abandoned railroad line, 8 km N of Portachuelo on road to Loma Alta","-63.38","-17.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4570470' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950200","Sara","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3950177","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"M. H. Nee","13214","1992","12","23","South America","Bolivia","Santa Cruz","7 km ENE of bridge over río Ichilo, along the new highway from Buena Vista to Cochabamba, along turnoff to Puerto Grether","-64.28","-17.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4570447' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950177","Ichilo","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","870230","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.","M. J. Huft","G. G. Hatschbach","29476","1972","04","14","South America","Brazil","Mato Grosso do Sul","Rod. BR 262, prox. ao Rio Miranda","-56.3781","-20.2408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1112045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870230","Miranda",NA,NA,"NY00870230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3950174","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"S. G. Beck","6543","1981","03","18","South America","Bolivia","Santa Cruz","Santa Cruz 130 kms NW linea recta, puente Rio Yapacaní 35 kms hacia Puerto Grether",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243758' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950174","Ichilo","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3950152","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"L. Aristeguieta","3816","1959","02",NA,"South America","Venezuela","Miranda","Caserío de Las Lapas, extremo opuesto Tacarigua de La Lagunaq",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243736' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950152",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3950208","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"M. Garvizu","133","1996","04","05","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado. Lago Caiman, sistema que recibe agua del rio Itenez, con poca agua en tiempo seco","-60.8961","-13.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4570478' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950208","José Miguel de Velasco","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3950181","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Caperonia","palustris","Caperonia palustris","(L.) A.St.-Hil.",NA,"G. Coimbra S.","542","1989","06","12","South America","Bolivia","Santa Cruz","Canton Ciudad. Av. Kennedy final",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4570451' target='other'> <mi>dwc_moreinfo</mi></a>","NY03950181","Andrés Ibáñez","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
