"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","eventTime","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","04206117","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley","isotype","R. M. Harley","19367","1977","03","04","South America","Brazil","Bahia","Morro do Chapéu","19.5 km SE of the town of Morro do Chapeu on the BA052 road to Mundo Novo, by the Rio Ferro Doido","-41.03","-11.63","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4560437' target='other'> <mi>dwc_moreinfo</mi></a>","NY04206117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01023634","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley",NA,"R. M. Harley","PCD3361","1996","07","16","South America","Brazil","Bahia","Mucugê","Próximo ao cemitério.","-41.47","-12.95",NA,NA,"sheet","Projeto Chapada Diamantina: Convênio UFBA - Royal Botanic Gardens Kew. Herbário Alexandre Leal Costa (ALCB). <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023634","R. M. Harley","NY01023634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00498801","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley",NA,"R. M. Harley","CFCR6974","1984","12","16","South America","Brazil","Bahia","Mucugê","Mucugê. Perto do cemitério","-41.3706","-13.0056",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498801","R. M. Harley","NY00498801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:17:57-03","UFBA","ALCB","035580","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley, R.M.",NA,"Harley, RM; Funch, L; Bautista, HP; Hind, DJN","PCD3115","1996","06","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Leito pedregoso do rio Ventura","-41.016389","-11.681667","724","724",NA,"prostrada, estolonífera, caule verde-vináceo, crescendo em solo úmido de mata ciliar. Folhas discolores. Inflorescência com brácteas involucrais, discolores, face adaxial verde-escura, flores de cálice verde-claro, corola alva, lábio superior pintalg",NA,"Antar, GM",NA,"2018","03","-41.016389","-11.681667",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:17:57-03","UFBA","ALCB","035642","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley, R.M.",NA,"Harley, RM; Hind, DJN; Smith, S; Bautista, HP","PCD&nf;3661","1996","07","16","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Próximo ao cemitério","-41.466667","-12.95",NA,NA,NA,"prostrada, escandente a ereta, nós com raízes. Folhas membranáceas. Flores com brácteas involucrais verdes, cálice verde-claro, dente às vezes com tom vináceo, botões creme-esverdeados, corola branca com lábios inferior creme, superior com pontuações",NA,"Harley, RM",NA,"1996","07","-41.466667","-12.95",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 21:32:29-03","UFBA","ALCB","19039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley, R.M.",NA,"Pereira; Brito, Y","s/n","1975","07","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.15","-11.55",NA,NA,NA,NA,NA,"Harley, RM",NA,"1994","09","-41.15","-11.55",NA,NA,NA,NA,NA,NA,NA
"7","2020-08-11 00:16:04-03","UFBA","ALCB","19039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley, R.M.",NA,"Souza, Padre JP de; Brito, Y","s/n","1975","07","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,"Harley, RM",NA,"1994","09",NA,NA,"98143","auto",NA,NA,NA,NA,NA
"8","2020-08-11 00:16:04-03","UFBA","ALCB","19039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley, R.M.",NA,"Souza, Padre JP de; Brito, Y","s/n","1975","07","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,"Harley, RM",NA,"1994","09",NA,NA,"98143","auto",NA,NA,NA,NA,NA
"9","2014-10-14 15:56:40-03","BS","M","M-0198658","S","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley","PARATYPE","Harley, R.M.",NA,"1971","02","17",NA,"Brasil",NA,NA,"Planalto do Brasil; Estado Bahia; Rio Ferro Doido, ca. 18 km E of Morro do Chapéu",NA,NA,NA,NA,NA,NA,"M0198658",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","21:00",NA,NA,NA
"10","2020-12-21 16:30:13-03","MBM","MBM","91340","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","bahiensis","Hyptis bahiensis","Harley","PARATYPE","Hatschbach, G.; Kummrow, R.; Kummrow, R.","47917","1984","06","15","Southern America","Brazil","Bahia","Mucugê","Arredores","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Flor alvecente; campo rupestre, solo arenoso; Flor alvecente.; Campo rupestre, solo arenoso.","MBM091340","Harley, R.M.","MBM091340","1986",NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
