"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","individualCount","fieldNumber","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02702391","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","Kiaersk.","B. M. Gomes","B. M. Gomes","522","2011","10","22","South America","Brazil","Rondônia","Jaci-Paraná","Proximo ao fragmento de n. 10, da Linha de Transmissão.","-64.47986","-9.27133","93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2995381' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702391","NY02702391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U 0284989","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","magniifolia","Myrcia magniifolia","DC.",NA,"Lindeman JC; et al.",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200284989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0284989",NA,"Magnoliopsidae","Uw23332a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U 0294393","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","magniifolia","Myrcia magniifolia","DC.",NA,"Maguire B; et al.",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294393",NA,"Magnoliopsidae","Uw17613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U 0294538","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","magniifolia","Myrcia magniifolia","DC.",NA,"Belem Herbarium",NA,NA,NA,NA,"Southern America","Brazil","Amapá",NA,"Araguari",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294538",NA,"Magnoliopsidae","U99123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014-12-18 05:31:00-02","MO","MOBOT","100162799","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.","L. Kawasaki (F)","Modesto Zárate","Zárate B. 3052","2008","3","29","South America","Bolivia","Cochabamba","Carrasco","Valle de Sacta, a 240 km carretera principal Cochabamba-Santa Cruz, a 4,5 km entrando a la comunidad Pukara. Estación de valle Sacta.","-64.7672223","-17.0875","390.00000000",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2010-07-06 10:00:00-03","MO","MOBOT","1913475","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.","Bruce K. Holst","Ronald L. Liesner","Liesner 6583","1979","4","14","South America","Venezuela","Amazonas",NA,"Bridge 4 km before Selano; 16 km NE of San Carlos de Río Negro to 0.5 km SW of bridge. Swamp and fairly tall trees to bona; ca. 20 km S of confluence of Río Negor & Brazo Casiquiare. [original coord. on label 1º56'N, 67º03'W]","-66.9666667","1.9833333","120.00000000",NA,NA,NA,NA,NA,NA,"1","201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-11-15 11:42:00-02","MO","MOBOT","2925530","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.","B.K. Holst (SEL)","Wilson Quizhpe","Quizhpe 1590","2005","7","18","South America","Ecuador","Zamora-Chinchipe","Yantzaza","Cordillera del Cóndor. Carretera desde Los Encuentros hacia el Cerro Machinaza. Sendero a Las Peñas. Bosque montano muy húmedo. Suelo arenoso, de color blanco y amarillento, derivado de roca arenisca.","-78.49666","-3.7875","1440.00000000",NA,NA,NA,NA,NA,NA,"10","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-18 20:28:00-03","MO","MOBOT","2926551","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.","B.K. Holst (SEL)","Wilson Quizhpe","Quizhpe 1757","2005","7","26","South America","Ecuador","Zamora-Chinchipe","Yantzaza","Cordillera del Cóndor. Carretera desde Los Encuentros hacia el Cerro Machinaza. Sector San Antonio. Bosque montano, intervenido. Fragmentos de roca arenisca.","-78.5269445","-3.8547222","1600.00000000",NA,NA,NA,NA,NA,NA,"10","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-15 13:33:00-03","MO","MOBOT","2930588","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.","M L. Kawasaki (F)","Benkt Sparre","Sparre 17152","1967","6","19","South America","Ecuador","Cotopaxi",NA,"Rio Guapara. Ca. 20 km NW El Corazón, monsoon forest.",NA,NA,"250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-04-24 11:10:00-03","MO","MOBOT","311554","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","magnifolia","Myrcia magnifolia","(O. Berg) Kiaersk.",NA,"Gerrit Davidse|James S. Miller","Davidse 27334","1984","7","9","South America","Venezuela","Amazonas","Río Negro","Neblina Massif, Canyon Grande, along the Río Mawarinuma between the mouth of the canyon and the first major fork of the river, ca. 7 airline km ENE of Puerto Chimo. [Coordinates on orginal label: 00°50'N 066°02'W - 00°51'N 066°06'W, corrected past-facto from Google Earth]","-66.0833333","0.8333333","150.00000000",NA,NA,NA,NA,NA,NA,"5","84-60","700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
