"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","barcode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","continentOcean","class","relatedCatalogItem","typeStatus"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","739","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; R. Oliveira","2010","03","11","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Pico do Papagaio","-44.603099822998","-21.9755992889404","27460","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:59-03","MN","R","195604","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"Silva, B.R.",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"13","R010006630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:59-03","MN","R","46341","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, E.M.C.","1990",NA,"Ule, E.H.G.","1894","03",NA,"Brasil","Rio de Janeiro",NA,"Serra de Itatiaia",NA,NA,NA,NA,NA,NA,"290","R010006629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:59-03","MN","R","193019","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, E.M.C.","1990",NA,NA,"1949","03",NA,"Brasil","Minas Gerais","Passa Quatro","Serra da Mantiqueira","-44.9667015075684","-22.3903007507324","17293",NA,NA,"auto",NA,"R010006628","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:16:26-03","UFV","VIC","21107","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Coser, T.S.","2007","03","Coser, T.S.; Dayrell, L.S.","2007","03","12","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da Lagoa seca, em Campo Rupestre.","-43","-20",NA,NA,"Afloramento rochoso, Rupícola. População com cerca de 20 indivíduos. Folhas verdes com margens e ápice vermelhos. Brácteas escapais verdes com ápice vermelho. Fruto Verde.",NA,"58","VIC021107",NA,NA,"12","-43","-20","VIC021107",NA,NA,NA,NA
"6","2020-12-20 21:16:26-03","UFV","VIC","21106","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Coser, T.S.","2007","02","Coser, T.S.; et al.","2007","02","13","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da Lagoa seca, em Campo Rupestre.","-43.5080986022949","-20.2875003814697","44599",NA,"mata de Galeria, Espécie restrita no PEI, ocorrendo principalmente em matas de galeria. Terrestre em solo úmido. Folhas verdes com margens e ápice vermelhos. Brácteas escapais verdes com ápice vermelho. Brácteas Florais vermelhas, flor","auto","56","VIC021106",NA,NA,"13",NA,NA,"VIC021106",NA,NA,NA,NA
"7","2020-12-20 21:16:26-03","UFV","VIC","21105","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Coser, T.S.","2006","11","Coser, T.S.; et al.","2006","11","27","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da Lagoa seca, em Campo Rupestre.","-43.5080986022949","-20.2875003814697","44599",NA,"Mata de Galeria, espécie restrita no PEI, ocorrendo principalmente em matas de galeria, Terrestre em solo úmido. Folhas verdes com margens e ápice vermelho. Fruto verde.","auto","49","VIC021105",NA,NA,"27",NA,NA,"VIC021105",NA,NA,NA,NA
"8","2019-11-21 14:32:49-03","UFJF","CESJ","66257","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","L. Menini Neto","2015","06","J.H.C. Ribeiro; L.D. Santana; C.M. Alvez-Valles","2015","03","22","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","-44.749742","-22.1316",NA,NA,"Erva terrícola, 30 cm. Brácteas vermelhas, flores alvas com ápice roxo, estigma e anteras alvas. No interior de floresta Ombrófila Altomontana.",NA,"479","CESJ066257","1950","1950","03","-44.749742","-22.1316",NA,"América do Sul",NA,NA,NA
"9","2019-11-21 14:32:49-03","UFJF","CESJ","67796","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","L. Menini Neto","2014",NA,"D.E.F. Barbosa; G.A. Basilio","2014","05","24","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca, Fazenda do Tanque, Floresta semidecidual montana","-43.913333","-21.698611",NA,NA,"Epífita facultativa a 1m. Folhas verde escuro, brácteas vermelhas. Interior de mata.",NA,"181","CESJ067796","1300","1300",NA,"-43.913333","-21.698611",NA,"América do Sul",NA,NA,NA
"10","2019-08-20 09:59:13-03","UNICAMP","UEC","86420","S","Plantae","Liliopsida",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","1999","02","Sazima, M; Sazima, I","1995","01","26","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"Crescendo no chão, flores brancas com ápice azulado a arroxeado claro.","auto","32325","UEC057963",NA,NA,"02",NA,NA,"UEC057963",NA,NA,NA,NA
