nome_aceito_correto,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp
Abarema acreana,"NA","NA","NA","NA",DD,"NA"
Abarema brachystachya,"NA",VU,"NA","NA",LC,"NA"
Abarema cochliacarpos,NA-NA,LC-NA,NA-NA,NA-NA,NA-LC,NA-NA
Abarema langsdorffii,"NA",LC,"NA","NA",LC,"NA"
Abarema villifera,"NA","NA","NA","NA",DD,"NA"
Abatia angeliana,"NA","NA","NA",VU,"NA","NA"
Abuta selloana,"NA","NA","NA","NA",LC,"NA"
Abutilon anodoides,"NA","NA","NA",CR,"NA","NA"
Abutilon costicalyx,"NA","NA","NA","NA",LC,"NA"
Abutilon nigricans,"NA","NA","NA",CR,CR,CR
Abutilon venosum,"NA","NA","NA","NA",DD,"NA"
Acaena eupatoria,"NA","NA","NA","NA","NA",VU
Acalypha brasiliensis,"NA",CR,"NA","NA",CR*,"NA"
Acalypha macrostachya,"NA",LC,"NA","NA","NA","NA"
Acalypha villosa,"NA",LC,"NA","NA","NA","NA"
Acanthocladus brasiliensis,"NA","NA","NA","NA",LC,"NA"
Acanthostachys pitcairnioides,"NA","NA","NA","NA",DD,"NA"
Acanthosyris paulo-alvinii,"NA","NA","NA",VU,"NA","NA"
Accara elegans,"NA","NA","NA",EN,"NA","NA"
Achatocarpus praecox,"NA",LC,"NA","NA",LC,"NA"
Achyrocline eriodes,"NA","NA","NA",VU,"NA","NA"
Acianthera adiri,"NA","NA","NA",CR,"NA","NA"
Acianthera aphthosa,"NA","NA","NA","NA",LC,"NA"
Acianthera auriculata,"NA","NA","NA","NA",LC,"NA"
Acianthera bragae,"NA","NA","NA","NA",LC,"NA"
Acianthera crinita,"NA","NA","NA","NA",LC,"NA"
Acianthera glumacea,"NA","NA","NA","NA",LC,"NA"
Acianthera guimaraensii,"NA",VU,"NA","NA","NA","NA"
Acianthera heringeri,"NA","NA","NA",CR,"NA","NA"
Acianthera karlii,"NA","NA","NA","NA",LC,"NA"
Acianthera langeana,"NA","NA","NA",EN,"NA","NA"
Acianthera ophiantha,"NA","NA","NA","NA",DD,"NA"
Acianthera papillosa,"NA","NA","NA",VU,VU,"NA"
Acianthera pectinata,"NA","NA","NA","NA",LC,"NA"
Acianthera pernambucensis,"NA","NA","NA","NA",DD,"NA"
Acianthera saundersiana,"NA",LC,"NA","NA","NA","NA"
Acianthera saurocephala,"NA","NA","NA","NA",LC,"NA"
Acianthera strupifolia,"NA","NA","NA","NA",LC,"NA"
Acianthera translucida,"NA","NA","NA","NA",LC,"NA"
Acianthera tricarinata,"NA","NA","NA","NA",LC,"NA"
Acicarpha tribuloides,"NA","NA",EX,"NA",LC,EX
Acmella pusilla,"NA","NA","NA",EN,"NA","NA"
Acmella uliginosa,"NA",LC,"NA","NA","NA","NA"
Acritopappus catolesensis,"NA","NA","NA",VU,"NA","NA"
Acritopappus connatifolius,"NA","NA","NA",EN,"NA","NA"
Acritopappus irwinii,"NA","NA","NA",VU,"NA","NA"
Acritopappus pintoi,"NA","NA","NA",CR,"NA","NA"
Acroceras excavatum,"NA","NA","NA","NA",DD,VU
Acroceras zizanioides,"NA",LC,"NA","NA","NA","NA"
Acrocomia emensis,"NA","NA","NA",VU,VU,VU
Acrocomia hassleri,"NA","NA","NA","NA",LC,EN
Acrostichum aureum,"NA",LC,"NA","NA","NA","NA"
Acrostichum danaeifolium,"NA",LC,"NA","NA","NA","NA"
Actinocephalus cabralensis,"NA","NA","NA","NA",DD,"NA"
Actinocephalus ciliatus,"NA","NA","NA","NA",DD,"NA"
Actinocephalus cipoensis,"NA","NA","NA",CR,"NA","NA"
Actinocephalus claussenianus,"NA","NA","NA",VU,"NA","NA"
Actinocephalus heterotrichus,"NA","NA","NA","NA",DD,"NA"
Actinocephalus rhizomatosus,"NA","NA","NA","NA",DD,"NA"
Actinocephalus scytophyllus,"NA","NA","NA","NA",DD,"NA"
Actinostemon concolor,"NA",LC,"NA","NA","NA","NA"
Actinostemon klotzschii,"NA",LC,"NA","NA",DD,"NA"
