field,select
acceptedNameUsage,TRUE
acceptedNameUsageID,FALSE
acceptedScientificName,TRUE
acceptedTaxonKey,FALSE
accessRights,FALSE
associatedOccurrences,FALSE
associatedReferences,FALSE
associatedSequences,FALSE
associatedTaxa,FALSE
barcode,TRUE
basisOfRecord,TRUE
bed,FALSE
behavior,FALSE
bibliographicCitation,FALSE
catalogNumber,TRUE
class,FALSE
classKey,FALSE
collectionCode,TRUE
collectionID,TRUE
collectionKey,TRUE
continent,FALSE
continentOcean,FALSE
coordinatePrecision,FALSE
coordinateUncertaintyInMeters,FALSE
country,TRUE
countryCode,TRUE
county,TRUE
crawlId,FALSE
created,FALSE
dataGeneralizations,FALSE
datasetID,FALSE
datasetKey,FALSE
datasetName,FALSE
dateIdentified,TRUE
day,TRUE
dayIdentified,TRUE
decimalLatitude,TRUE
decimalLongitude,TRUE
depth,FALSE
depthAccuracy,FALSE
disposition,FALSE
dynamicProperties,FALSE
earliestAgeOrLowestStage,FALSE
earliestEonOrLowestEonothem,FALSE
earliestEpochOrLowestSeries,FALSE
earliestEraOrLowestErathem,FALSE
earliestPeriodOrLowestSystem,FALSE
elevation,TRUE
elevationAccuracy,TRUE
endDayOfYear,FALSE
establishmentMeans,FALSE
eventDate,TRUE
eventID,FALSE
eventRemarks,FALSE
eventTime,TRUE
facts,FALSE
family,TRUE
familyKey,TRUE
fieldNotes,FALSE
fieldNumber,TRUE
footprintSpatialFit,FALSE
footprintSRS,FALSE
footprintWKT,FALSE
formation,FALSE
furtherInformationURL,FALSE
gadm,FALSE
gadm.level0.gid,FALSE
gadm.level0.name,FALSE
gbifID,FALSE
genericName,FALSE
genus,TRUE
genusKey,FALSE
geodeticDatum,TRUE
geoFlag,FALSE
geologicalContextID,FALSE
georeferencedBy,TRUE
georeferencedDate,FALSE
georeferenceProtocol,TRUE
georeferenceRemarks,FALSE
georeferenceSources,FALSE
georeferenceVerificationStatus,FALSE
group,TRUE
habitat,TRUE
higherClassification,TRUE
higherGeography,FALSE
higherGeographyID,FALSE
highestBiostratigraphicZone,FALSE
hostingOrganizationKey,FALSE
