"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2016-10-19 09:10:00-02","NY","NYBG","533431","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","R. C. Wingfield","T. C. Plowman","13451","South America","Venezuela","Falcón","Distrito Bolivar. Sierra de San Luis. 1 km. northeast of La Tabla on road to Cerro Galicia.","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","309858","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","M. H. Nee","M. H. Nee","47724","South America","Bolivia","Santa Cruz","Gentle slope of Mairana valley, on side road off the Mairana to Postrervalle road, 4.6 km from turnoff from main Samaipata to Mairana highway.","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309858","Reissek","1998","01","01","Florida","-63.93","-18.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1065535","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","L. I. Cusato","M. H. Nee","37463","South America","Bolivia","Santa Cruz","5.5 km. S of Vallegrande, vicinity of Santa Rosita, Quebrada Huasa Cañada","2050","2050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339924' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065535","Reissek","1988","12","31","Vallegrande","-64.1","-18.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1065544","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","L. I. Cusato","M. H. Nee","40351","South America","Bolivia","Santa Cruz",NA,"2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065544","Reissek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","230241","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","M. H. Nee","M. H. Nee","47762","South America","Bolivia","Santa Cruz","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230241","Reissek","1998","01","03","Florida","-63.97","-18.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533443","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia",NA,"L. Riedel","s.n.","South America","Brazil","Rio de Janeiro","Tijuca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533443","Reissek","1833","07",NA,"Rio de Janeiro","-43.274528","-22.95583","NY00533443_01 NY00533443_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-19 09:10:00-02","NY","NYBG","533430","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","M. C. Johnston","C. Bruch","4802","South America","Argentina","Córdoba","Unquillo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533430",NA,"1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533428","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","A. O. S. Vieira","L. R. M. Souza",NA,"South America","Brazil","Paraná","Estrada Piraí-Castro [beira da]. Piraí do Sul.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533428","Reissek","1999","07","22",NA,NA,NA,"NY00533428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","533429","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","M. C. Johnston","L. B. Smith","13567","South America","Brazil","Santa Catarina","Gallery forest by Rio Chapecó, 12 km south of Horizonte (Paraná).","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533429","Reissek","1964","12","04","Agua Doce","-51.62","-26.68","NY00533429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:11:00-03","UTFPR","DVPR","2640","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","Estevan, DA","Veríssimo, WB","s.n.",NA,"Brasil","Paraná","Lago Dourado",NA,NA,NA,"Árvore com espinhos nos ramos, frutos.","DVPR002640","Reiss.","2015","05","17","Dois Vizinhos","-53.057201385498","-25.7336006164551",NA,"2015","08","31","19637","auto",NA,NA,NA,NA,NA,NA
"11","2020-11-04 12:15:57-03","ESALQ","ESA","135827","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Condalia","buxifolia","Condalia buxifolia",NA,"L. Quintanilha","20.0",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"ESA135827","Reissek","2012","05","04","Iguaba Grande","-42.2289009094238","-22.8391990661621",NA,NA,NA,NA,"5839","auto",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:17:56-03","ESALQ","ESA","105188","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","Tsuji, R.","Tsuji, R.","2480.0",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"ESA105188",NA,"2008","03","04","Lavras do Sul","-53.8950004577637","-30.8131008148193","ESA105188","2008","03","04","76406","auto",NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:03:53-03","JBP","HPL","10239","S","Plantae",NA,NA,"Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","R. Tsuji","R. Tsuji","2480",NA,"Brasil","RS","Coletado nas proximidades do município de Lavras do Sul (km 550; entrada para a estrada de terra subindo o morro).",NA,NA,NA,NA,NA,NA,"2008","03","04","Lavras do Sul","-53.895","-30.8131",NA,"2008","03","04","76406","auto",NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:03:53-03","JBP","HPL","11156","S","Plantae",NA,NA,"Rhamnaceae","Condalia","buxifolia","Condalia buxifolia","H. Lorenzi","H. Lorenzi","6438",NA,"Brasil","RS","Coletado na localidade de Rincão do Inferno.",NA,NA,NA,NA,NA,NA,"2007","11","28","Lavras do Sul","-53.895","-30.8131",NA,"2207","11","28","76406","auto",NA,NA,NA,NA,NA,NA
