"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","573115","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","F. R. G. Salimena","J. G. Jardim","66","1993","02","22","South America","Brazil","Bahia","Morro do Chapéu","Ca. de 10 km no Morro do Chapéu, ao SW da cidade","-41.1558","-11.5503","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573115","NY00573115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","571590","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","G. Bromley","R. M. Harley","22936","1980","06","01","South America","Brazil","Bahia","Morro do Chapéu","3 km. S.E. of Morro do Chapeu on the road to Mundo Novo","-41.12","-11.57","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571590","NY00571590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571591","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","G. Bromley","R. M. Harley","22754","1980","05","30","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu. C 8 km. SW of the town of Morro do Chapeu to the west of the road to Utinga","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571591","NY00571591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","571588","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","G. Bromley","R. M. Harley","19360","1977","03","03","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu, ca. 8km. S.W. of the town of Morro do Chapeu to the West of the road to Utinga","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571588","NY00571588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","686933","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","S. Atkins","R. M. Harley","52809","1992","03","24","South America","Brazil","Bahia","Abaíra","Garimpo do Bicota","-41.85","-13.25","1530","1530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=846304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686933","NY00686933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","571589","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","G. Bromley","R. M. Harley","19360","1977","03","03","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu, ca. 8km. S.W. of the town of Morro do Chapeu to the West of the road to Utinga","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571589","NY00571589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","571592","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","G. Bromley","R. M. Harley","22958","1980","06","01","South America","Brazil","Bahia","Morro do Chapéu","Ca. 16 km. along the Morro do Chapeu to Utinga road, S.W. of Morro do Chapeu","-41.28","-11.63","980","980","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571592","NY00571592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","571593","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","H. N. Moldenke","S. A. Mori","14463","1981","06","16","South America","Brazil","Bahia","Morro do Chapéu","Telebahia Tower, ca 6 km S of Morro do Chapeu","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=318277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571593","NY00571593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-19 15:45:16-03","UNEB","HUNEB","6626","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Verbenaceae","Lippia","insignis","Lippia insignis","Mold.",NA,"Noblick, L.R.","4556","1986","05","16",NA,"Brasil","Bahia","Morro do Chapéu","Morrão, 4 Km sudeste da cidade.","-41.15","-11.55","1300","1300",NA,NA,"HUNEB0006626",NA,"Dicotyledoneae","41W9'0''","11S33'0''",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:25:35-03","UFBA","ALCB","93072","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Guedes, ML","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","16898","2009","12","18","Southern America","Brasil","Bahia","Catolés","Chapada Diamantina, 4,5km da estrada de Piatã para Catolês","-41.887778","-13.284722",NA,NA,NA,"Inflorescência com flores liláses.",NA,NA,NA,"-41.887778","-13.284722","2010","02",NA,NA,NA,NA,NA,NA
