"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","class","relatedCatalogItem","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","608543","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum","(Henrard) Zuloaga & Morrone","E. J. Judziewicz","J. A. Steyermark","57664","1944","07","31","South America","Venezuela","Bolívar","1-10 kilometers northwest of Upata, on road to San Felix, between Upata and Altagracia","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","608544","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum","(Henrard) Zuloaga & Morrone","G. Davidse","M. H. Nee","48769","1998","03","27","South America","Bolivia","Santa Cruz","7.3 km from Santa Cruz-Samaipata highway leaving at Tarumá, on dirt road along Río Salado and oil pipeline.","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608544","Andrés Ibáñez","-63.5","-18.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:45:00-02","NY","NYBG","604786","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum",NA,"E. J. Judziewicz","R. P. Belém","871","1965","04","24","South America","Brazil","Bahia","Rodovia Itajuípe - Ubaitaba, 12 km N de Barro Central",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604786",NA,NA,NA,"NY00604786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 19:11:00-02","NY","NYBG","608542","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum",NA,"E. J. Judziewicz","A. L. Woolston","G-128","1960","01","31","South America","Paraguay","San Pedro","Alto Paraguay: Primavera",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","604787","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum","(Henrard) Zuloaga & Morrone","E. J. Judziewicz","W. D. Clayton","4602","1965","02","09","South America","Brazil","São Paulo","Fazenda Capi","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604787","Iepê","-51.12","-22.73","NY00604787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:45:00-02","NY","NYBG","763069","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum",NA,NA,"J. R. Swallen","8752","1946","03","06","South America","Brazil","Paraná","Rolandia, near Londrina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763069",NA,NA,NA,"NY00763069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-21 19:11:00-02","NY","NYBG","608541","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum",NA,"E. J. Judziewicz","Illegible collector name","452","1886",NA,NA,"South America","Colombia",NA,"Highlands of Papayan","1600","2000","sheet","collector initials are B.J.? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:45:00-02","NY","NYBG","604785","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Acroceras","excavatum","Acroceras excavatum",NA,"E. J. Judziewicz","M. A. Chase","9752","1925","05","08","South America","Brazil","Rio de Janeiro","Corcovado, vicinity of Rio de Janeiro","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00604785",NA,"-43.212076","-22.951842","NY00604785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:54-03","EAO","IAN","119069","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Acroceras","excavatum","Acroceras excavatum","(Henrard) Zuloaga & Morrone","Zuloaga, FO","Belém, RP; Magalhães, MG","871","1965","04","24","Southern America","Brasil","Bahia","Rodovia Itajuípe-Ubaitaba, 12 km N de Barro Central.",NA,NA,NA,"Planta de 80 cm de altura; inflorescência esverdeada.","IAN119069",NA,NA,NA,NA,"1988","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:15:41-03","NBC","NL-BOTANY","U.1487564","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Acroceras","excavatum","Acroceras excavatum","(Henrard) Zuloaga & Morrone","Renvoize SA","Chase A",NA,"1930","02","01","Southern America","Brazil","Mato Grosso",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1487564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1487564",NA,NA,NA,"NL-U1487564",NA,NA,"Magnoliopsidae","U 0020242",NA,NA,NA,NA,NA,NA,NA,NA
