"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","413209","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","C. C. Berg; E. C. H. van Heusden","R. P. Belém","1471","1965","08","09","South America","Brazil","Espírito Santo","Rodovia BR-5, 5 km S de Morro-Danta","-39.95","-18.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413209","NY00413209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","413236","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","D. A. Neill","E. Gudiño","2150","1992","12","14","South America","Ecuador","Napo","La Joya de los Sachas Canton. Pompeya. Carretera MAXUS km 3.9-5.2","-76.62","-0.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413236",NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","413234","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","S. A. Mori","A. Wallnöfer","13488","1997","11","11","South America","French Guiana",NA,"Mont Galbao W-WSW Saül( 3° 37'N, 53°12'W); south-side of summit of the northwestern peak(3°36'48N, 53°17'29W)","-53.246","3.615","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413234",NA,"720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","413208","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","C. C. Berg; E. C. H. van Heusden","R. M. Klein","110","1955","01","18","South America","Brazil","Santa Catarina","Embauva do norte",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413208","NY00413208_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","867556","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","C. C. Berg","C. A. Cid Ferreira","10024","1989","10","12","South America","Brazil","Acre","Basin of Rio Juruá; Upper Rio Moa, right bank; Serra do Divisor, between Pedernal and Fazenda Boa Vista.","-73.63","-7.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867556","NY00867556_01",NA,NA,"Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2259484","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.",NA,"G. T. Prance","24188","1976","10","28","South America","Peru","Loreto","Rio Javari, between Rio Curaça and Tambaqui.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422737' target='other'> <mi>dwc_moreinfo</mi></a>","NY02259484","NY02259484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02259483","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.",NA,"C. C. Berg","772","1977","11","02","South America","Brazil",NA,"At km 1183 on the road Cuiabá-Santarém",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422735' target='other'> <mi>dwc_moreinfo</mi></a>","NY02259483","NY02259483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402099","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.","C. C. Berg; E. C. H. van Heusden","P. K. H. Dusén","17345","1915","11","22","South America","Brazil","Paraná","Jacareí","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402099","NY00402099_01",NA,NA,"Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02259486","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis",NA,"Pourouma guianensis","Aubl.",NA,"N. A. Rosa","4234","1982","04","02","South America","Brazil","Amapá","Quadricula SB 22-VA-Ponto 44",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422739' target='other'> <mi>dwc_moreinfo</mi></a>","NY02259486","NY02259486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2259450","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pourouma","guianensis","guianensis","Pourouma guianensis guianensis","Aubl.",NA,"G. T. Prance","22803","1974","10","11","South America","Brazil","Amazonas","BR 319, Km 175, Manaus-Porto Velho Road, between Rio Tupana and Rio Igapó-açu","-60.8334875","-4.2483259","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422647' target='other'> <mi>dwc_moreinfo</mi></a>","NY02259450","NY02259450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
