"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","identifiedBy","yearIdentified","monthIdentified","imagecode","typeStatus","fieldNumber","preparationType","continentOcean","minimumElevationInMeters","individualCount","class","order","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2020-12-20 21:15:44-03","UFV","VIC","052859","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.M.; Romero, R.","1820","1996","05","26","Brasil","Minas Gerais","São Roque de Minas","Estrada para Sitio Joõa Domingos, Serra da canastra.","-46.3657989501953","-20.2453002929688","57119","Campo rupestre, subarbusto de ca de 0,8 m, brácteas esverdeadas. Corola, anteras e Estilete amarelados.","VIC052859","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:23:34-03","UNICAMP","UEC","157018","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Kinoshita, JH; Bordon, NG; Brito, VLG; Cangani, KG; Galvão, JC; Gonçalves, DJP","11113","2011","02","18","Brazil","Minas Gerais","Delfinópolis","Serra da Canastra, Fazenda Vale do Céu, trilha cachoeira do Quilombo.","-46.8539009094238","-20.343900680542","41380","Flors e botões florais amarelos.; Campo rupestre e Cerrado.","UEC032245","auto","Magnoliopsida","Nakajima, JN","2016","06","UEC032245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-10-08 02:20:26-03","MNHN","RECOLNAT_MNHN_P","P02140692","PreservedSpecimen",NA,"Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Province de Minas Geraes, Serra da Canastra",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02140692' target='other'> <mi>dwc_moreinfo</mi></a>","P02140692",NA,NA,"Pruski",NA,NA,"P02140692_01","holotype","C1 357","hb",NA,NA,NA,NA,NA,NA,NA,NA
"4","1998-12-10 11:32:08-02","MNHN","RECOLNAT_MNHN_P","P02140693","PreservedSpecimen",NA,"Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Province de Minas Geraes, Serra da Canastra",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02140693' target='other'> <mi>dwc_moreinfo</mi></a>","P02140693",NA,NA,"Pruski",NA,NA,"P02140693_01","isotype","C1 357","hb",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 06:18:44-03","MNHN","RECOLNAT_MNHN_P","P02488973","PreservedSpecimen",NA,"Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,"Province de Minas Geraes, Serra da Canastra",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02488973' target='other'> <mi>dwc_moreinfo</mi></a>","P02488973",NA,NA,"Roque",NA,NA,"P02488973_01 P02488973_02","isotype","C1 357","hb",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:18:02-03","UFPR","UPCB","64230","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.","2420","1997","04","20","Brasil","Minas Gerais","São Roque de Minas","PARNA da Serra da Canastra, trilha para a parte de baixo da Cachoeira Casca D'Anta.","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 1,5m, brácteas esverdeadas, corola e ramos do estilete amarelados, anteras creme. Campo rupestre..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:18:02-03","UFPR","UPCB","64234","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.","2592","1997","06","26","Brasil","Minas Gerais","São Roque de Minas","PARNA Serra da Canastra, Chapadão da Babilônia.","-46.3657989501953","-20.2453002929688","57119","Arbusto, ca. 0,6m, brácteas esverdeadas, corola, anteras e ramos do estilete amarelados. Campo rupestre..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:18:02-03","UFPR","UPCB","64232","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.","1820","1996","05","26","Brasil","Minas Gerais","São Roque de Minas","PARNA Serra da Canastra, estrada para o Sítio João Domingos.","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 0,8m, brácteas esverdeadas, corola, anteras e estilete amarelados. Campo rupestre..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:18:02-03","UFPR","UPCB","64233","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Romero, R.","4107","1997","04","17","Brasil","Minas Gerais","São Roque de Minas","PARNA Serra da Canastra, trilha do paredão da Serra da Canastra (caminho).","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 1,4m, brácteas esverdeadas, corola amarela, anteras marrom-claras, ramos do estilete amarelos. Campo rupestre..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2009-05-23 12:14:00-03","MO","MOBOT","100184844","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","M. Magenta","Magenta 567","2003","3","16","Brazil","Minas Gerais",NA,"São Roque de Minas. Parque Nacional da Serra da Canastra. Estrada que liga São Roque a Sacramento. Afloramento rochoso ao lado de córrego.","-46.4211111","-20.2577778",NA,NA,NA,NA,NA,"John Pruski, 2009",NA,NA,NA,NA,NA,NA,"South America","1351.00000000","1",NA,NA,NA,NA,NA
"11","2009-06-30 12:24:00-03","MO","MOBOT","100197649","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","J.N. Nakajima|R. Romero|M.A. Farinaccio","Nakajima 2592","1997","6","26","Brazil","Minas Gerais",NA,"Chapadão da Babilônia, Parque Nacional da Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,"J.N. Nakajima",NA,NA,NA,NA,NA,NA,"South America",NA,"1",NA,NA,NA,NA,NA
