"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","class","order","individualCount"
"1","2020-11-04 11:03:58-03","ESALQ","ESA","14479","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A.","Barreto, K.D. et al.","1222.0","1993","09","22","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","ESA014479","ESA014479","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:28-03","MN","R","193256","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Silva, B.R.","14","1998","04","25","Brasil",NA,NA,NA,NA,NA,"R010016875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:28-03","MN","R","224129","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Neves, B.F.S.","Neves, B.F.S. 342; Almeida, M.C.",NA,"2015","07","11","Brasil","São Paulo","São José do Barreiro","-44.5975","-22.716944",NA,"R010016874",NA,NA,"2015","07","11","Parque Nacional da Bocaina","44°35'51''W","22°43'01''S","1890","1890",NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:28-03","MN","R","214743","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Mattos, J.","14998","1967","07","26","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","R010016877",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:28-03","MN","R","214742","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Moura, R.","550","2008","04","02","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","R010016876",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:28-03","MN","R","239940","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Kessous, I.M.","Kessous, I.M. 396; Silva, N.G. & Alves, R.J.V.",NA,"2020","03","14","Brasil","Minas Gerais","Itamonte","-44.8699989318848","-22.283899307251","26914","R010071903,R010071904,R010071905",NA,"auto","2020","03","14","Caminho para o PARNA Itatiaia.",NA,NA,"1900","1900",NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:28-03","MN","R","226644","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Moura, R. 1163; Alves, R.J.V.; Medeiros, D. & Almeida, M.",NA,"2012","10","30","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","R010006312","R010006312 R010006312_1 R010006312_2 R010006312_3","auto",NA,NA,NA,"Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 09:59:18-03","UNICAMP","UEC","69193","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Sazima, M; Sazima, I","32536","1994","12","15","Brazil","São Paulo","Campos do Jordão","-47.55","-22.566667",NA,"UEC043477","UEC043477",NA,"1998","08","18","Parque Estadual de Campos do Jordão","-47.55","-22.566667",NA,NA,"flor, Flores vermelho-acastanhado, odor semelhante ao alho, antese noturna. Há diapositivos da planta no ambiente. Há material fixado (flores).",NA,NA,NA,NA,NA
"9","2021-03-01 16:19:09-03","UNICAMP","UEC","98864","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Sazima, M; Buzato, S; Sazima, I","32328","1995","04","24","Brazil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","UEC055698","UEC055698","auto","1998","08","18","Horto Florestal de Campos do Jordão",NA,NA,NA,NA,"Flores amarelas.","holotypus",NA,NA,NA,NA
"10","2021-03-01 16:19:09-03","UNICAMP","UEC","86417","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Sazima, M; Buzato, S; Sazima, I","32329","1995","04","24","Brazil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","UEC083921","UEC083921","auto","1998","08","18","Horto Florestal de Campos do Jordão",NA,NA,NA,NA,"Flores rosadas.","paratypus",NA,NA,NA,NA
"11","2021-03-01 16:19:09-03","UNICAMP","UEC","86418","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Sazima, M; Buzato, S; Sazima, I","32328","1995","04","24","Brazil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","UEC083924","UEC083924","auto","1998","08","18","Horto Florestal de Campos do Jordão",NA,NA,NA,NA,"Flores amarelas.",NA,NA,NA,NA,NA
"12","2021-03-01 16:19:09-03","UNICAMP","UEC","98863","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Sazima, M; Buzato, S; Sazima, I","32329","1995","04","24","Brazil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","UEC055693","UEC055693","auto","1998","08","18","Horto Florestal de Campos do Jordão",NA,NA,NA,NA,"Flores rosadas.","paratypus",NA,NA,NA,NA
"13","2020-12-11 11:43:36-03","UFMG","BHCB","149867","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Almeida, TE; Mota, NFO; Ramalho, AJ; Lau, BL; Batista, JAN","2910","2011","03","17","Brasil","Minas Gerais","Delfim Moreira","-45.336361","-22.614194",NA,NA,NA,NA,NA,NA,NA,"Fazenda Onça, Trilha para o Pico do Carrasco.Floresta Ombrófila Mista","-45.336361","-22.614194","1993","1993","Erva epífita à beira de trilha no interior de floresta. Inflorescência imatura verde com máculas avermelhadas. Folhas com bases esbranquiçadas e ápice negro",NA,"Southern America",NA,NA,NA
"14","2020-12-11 11:43:36-03","UFMG","BHCB","56630","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"França, GS; Stehmann, JR","258","2001","02","03","Brasil","Minas Gerais","Camanducaia","-45.931667","-22.710833",NA,NA,NA,NA,NA,NA,NA,"Mata do Altair.","-45.931667","-22.710833","1900","1900","Epífita, interior da mata",NA,"Southern America",NA,NA,NA
"15","2020-12-11 11:43:36-03","UFMG","BHCB","119042","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Viana, PL; et al.","3534","2008","05","14","Brasil","Minas Gerais","Alagoa","-44.6418991088867","-22.1706008911133","13155",NA,NA,"auto",NA,NA,NA,"Parque Estadual da Serra do Papagaio.",NA,NA,NA,NA,"Epífita. Roseta com cerca de 1m de diâmetro. Brácteas florais e sépalas verdes com máculas vináceas.",NA,"Southern America",NA,NA,NA
"16","2020-06-15 15:29:42-03","UNESP-RC","HRCB","65112","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","I.H.F. Azevedo","Grupo Azul",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","-44.749205","-22.36884",NA,NA,NA,NA,NA,NA,NA,"Estrada para a parte Alta do PARNA do Itatiaia (1800-2200m)","44°44'57.138W","22°22'7.8234S","1833","1833",NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2121574","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"A. C. Brade","21153",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"US01914497","US01914497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics","Monocotyledonae","Bromeliales","1"
"18","2020-09-12 05:00:02-03","US","US","2121573","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"A. C. Brade","21153","1951","5","18","Brazil","São Paulo",NA,NA,NA,NA,"US01914496","US01914496_01",NA,NA,NA,NA,"Serra da Bocaina.",NA,NA,"1850",NA,NA,NA,"South America - Neotropics","Monocotyledonae","Bromeliales","1"
"19","2021-03-04 15:42:00-03","IF","SPSF","51479","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","A. Maruyama","A. Maruyama & L. Cicco","634","2016","11","14","Brasil","SP","Cunha","-45.015278","-23.228333",NA,NA,NA,NA,"2016","11","14",NA,NA,NA,"1083","1083","COLETA: Epífita com sépalas esverdeadas e inflorescência alongada; GEOGRAFIA: Floresta Aluvial;",NA,"América do Sul","Liliopsida","Bromeliales",NA
"20","2019-11-21 10:02:55-03","IBt","SP","397040","S","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Martins, SE","Martins, SE; Aragaki, S; Sugiyama, M; Catharino, ELM; Santos, AI; et al.","1032","2007","05","15","Brasil","São Paulo","São José do Barreiro","-44.35301","-22.43824",NA,"SP053897","SP053897",NA,"2007","05",NA,"Serra da Bocaina, Trilha para o Pico da Bacia. Em Floresta ombrófila densa alto-montana","-44.35301","-22.43824","1900","1900","Terrestre. Bainha castanha. Brácteas do escapo verdes com máculas vináceas. Brácteas florais e sépalas verdes com máculas vináceas. Pétalas vináceas",NA,NA,NA,NA,NA
"21","2019-11-21 10:02:55-03","IBt","SP","397040a","Extra","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Martins, SE","Martins, SE; Aragaki, S; Sugiyama, M; Catharino, ELM; Santos, AI; et al.","1032","2007","05","15","Brasil","São Paulo","São José do Barreiro","-44.35301","-22.43824",NA,"SP053898","SP053898",NA,"2007","05",NA,"Serra da Bocaina, Trilha para o Pico da Bacia. Em Floresta ombrófila densa alto-montana","-44.35301","-22.43824","1900","1900","Terrestre. Bainha castanha. Brácteas do escapo verdes com máculas vináceas. Brácteas florais e sépalas verdes com máculas vináceas. Pétalas vináceas",NA,NA,NA,NA,NA
"22","2019-11-21 10:02:55-03","IBt","SP","383827","S","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme",NA,"Meireles, LD; Mansanares, ME; Dutilh, J; Belinello, R","1029","2002","04","09","Brasil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","SP053896","SP053896","auto",NA,NA,NA,"Serra da Mantiqueira, Monte Verde. Pedra Redonda",NA,NA,NA,NA,"Erva, folhas com base arroxeada, ápice com acúmem arroxeado, brácteas da inflorescência arroxeada, brácteas florais esverdeadas",NA,NA,NA,NA,NA
"23","2019-11-21 10:02:55-03","IBt","SP","101698","S","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Mattos, J; Mattos, N","14998","1967","07","26","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","SP053892","SP053892","auto","1998","08","18","Fazenda da Guarda (Reserva Florestal)",NA,NA,NA,NA,"Na mata virgem sobre o tronco de myrtaceas, pedúnculo com ca. de 1,5m compr., flores amarelas, filetes, estiletes e estígma amarelos",NA,NA,NA,NA,NA
"24","2019-11-21 10:02:55-03","IBt","SP","101698a","Extra","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Mattos, J; Mattos, N","14998","1967","07","26","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","SP053893","SP053893","auto","1998","08","18","Fazenda da Guarda (Reserva Florestal)",NA,NA,NA,NA,"Na mata virgem sobre o tronco de myrtaceas, pedúnculo com ca. de 1,5m compr., flores amarelas, filetes, estiletes e estígma amarelos",NA,NA,NA,NA,NA
"25","2019-11-21 10:02:55-03","IBt","SP","101695","S","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Mattos, J; Mattos, N","14997","1967","07","26","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","SP053894","SP053894","auto","1998","08","18","Fazenda da Guarda (Reserva Florestal)",NA,NA,NA,NA,"Na mata virgem, sobre a casca do tronco da Araucaria angustifolia",NA,NA,NA,NA,NA
"26","2019-11-21 10:02:55-03","IBt","SP","32436","S","Plantae",NA,"Bromeliaceae","Vriesea","sazimae","Vriesea sazimae","Leme","Costa, A","Kuhlmann, M","s.n.","1935","01",NA,"Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","SP053895","SP053895","auto","1998","08","18","Umuarama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
