"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0103846","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining","holotype","Horst L; Buining AFH","1968","06","24","Southern America","Brazil","Minas Gerais","Brazil; Minas Gerais; Diamantina.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200103846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0103846","NL-U0103846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:13-03","UNICAMP","UEC","114975","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Aona, LYS; Belinello, R","2000","08","17",NA,"Brazil","Minas Gerais","28,4 km de Caverna em direção a Salinas, BR 251, afloramento localizado ao lado de uma torre de rádio.","Até 1m, ramificada na base, espinhos da base verde claro a marrom, espinhos do cefálio avermelhados, a pink, flor 2,5x0,7cm, semi-aberta as 11:30 h, perianto externo salmão, perianto interno pink, fruto verde.","UEC041141","UEC041141","Magnoliopsida","Aona, LYS","711","Grão Mogol","-42.883333","-16.55","-42.883333","-16.55","850","850",NA,NA,NA,NA
"3","2019-08-20 10:08:43-03","UNICAMP","UEC","198817","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Mendes, DB; Machado, M","2015","11","11",NA,"Brazil","Minas Gerais","Topo de morro com antenas de telecomunicações. No mesmo local também havia<em> Arrojadoa rhodantha, Cereus albicaulis, Melocactus zehntneri, Pilosocereus schoebelli.</em>",NA,"UEC156446","UEC156446","Magnoliopsida",NA,"66","Porteirinha","-43.248361","-15.792722","-43.248361","-15.792722","842","842",NA,NA,NA,NA
"4","2020-12-11 11:34:16-03","UFMG","BHCB","21332","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Taylor, NP; Zappi, DC","1991","01","31","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Dicotyledon",NA,"s.n.","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,NA
"5","2020-12-11 11:34:16-03","UFMG","BHCB","21332","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Taylor, NP; Zappi, DC","1991","01","31","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Dicotyledon",NA,"s.n.","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,NA
"6","2021-03-04 11:04:45-03","UFRB","HURB","13674","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Mendes, D. B.; Machado, M.","2015","11","11",NA,"Brasil","Minas Gerais","Gorutuba; Topo do morro com antenas de telecomunicações","No mesmo local também havia: Arrojadoa rhodantha, Cereus albicaulis, Melocactus zehntneri, Pilosocereus schoebelii.","HURB000013674","HURB000013674",NA,NA,"66","Porteirinha","-43.248361","-15.792722","43º14'54,1W","15º47'33,8S","842","842",NA,NA,NA,NA
"7","2021-03-04 11:04:45-03","UFRB","HURB","13669","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Mendes, D. B.; Machado, M.","2015","11","11",NA,"Brasil","Minas Gerais","Estrada ao sul de Serranópolis de Minas que segue contornando as montanhas (Serra Nova), na direção de Vila Natanael (municipio de Rio Pardo de Minas)","No mesmo local também havia: Pilosocereus fulvilanatus.","HURB000013669","HURB000013669",NA,NA,"61","Serranópolis de Minas","-42.8245","-15.976111","42º49'28,2W","15º58'34S","812","812",NA,NA,NA,NA
"8","2021-03-04 11:04:45-03","UFRB","HURB","13672","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Mendes, D. B.; Machado, M.","2015","11","11",NA,"Brasil","Minas Gerais","Gorutuba;",NA,"HURB000013672","HURB000013672",NA,NA,"64","Porteirinha","-43.129917","-15.815889","43º07'47,7W","15º48'57,2S","1008","1008",NA,NA,NA,NA
"9","2021-03-04 11:04:45-03","UFRB","HURB","13689","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Mendes, D. B.; Machado, M.","2015","11","14",NA,"Brasil","Minas Gerais","Ca. 28,5km ao longo da rodovia BR-251 em direção ao Mun. Salinas, contados a partir do entroncamento da MG-120 com a BR-251, próximo a torre de telecomunicações no alto da serra","No mesmo local também havia: markgrafii, Cipocereus minensis, Discocactus placentiformis, Pilosocereus fulvilanatus.","HURB000013689","HURB000013689",NA,NA,"81","Grão Mogol","-42.871472","-16.217083","42º52'17,3W","16º13'01,5S","950","950",NA,NA,NA,NA
"10","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13952","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","violaciflorus","Micranthocereus violaciflorus","Buining",NA,"Taylor, N. P.","1991","01","31",NA,"Brasil","Minas Gerais","Serra da Bocaina","Frequent. Cephalia often very elongate and causing bending of the stem. Fruits found (probably slightly immature but with apparently ripe seeds) are green. Plants very woody, especially near base of o",NA,NA,NA,"Sena, L.Y.S.","1514","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"930","930","67219","auto","2007","06"
