"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932890","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","R. C. Barneby","W. R. Anderson","35773","1972","02","10","South America","Brazil","Minas Gerais","Serra do Espinhaço, summit of the Pico do Itambé","-43.3919444","-18.43185","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932890","NY00932890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00932892","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","R. C. Barneby","D. C. Zappi","CFCR11265","1987","07","16","South America","Brazil","Minas Gerais","Santo Antônio do Itambé, a 18 km da cidade, alto do Pico do Itambé",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932892","NY00932892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00932891","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","R. C. Barneby","L. Rossi","CFCR3018","1982","04","05","South America","Brazil","Minas Gerais","Subida ao Pico do Itambé","-43.35","-18.4","2050","2050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932891","NY00932891_01","Santo Antônio de Itambé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00932893","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","chrysastra","Mimosa chrysastra itambeana","Barneby",NA,"R. W. Windisch","180","1974","09","10","South America","Brazil","Minas Gerais","Sa. do Gaviao, Pico do Itambé, Sao Antonio do Itambé",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932893","NY00932893_01 NY00932893_02",NA,"itambeana","holotype fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:09:59-03","ESALQ","ESA","114028","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","chrysastra","Mimosa chrysastra",NA,"Savassi-Coutinho, A.P.","Zappi, D.C.",NA,"1987","07","16",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA114028","ESA114028","Santo Antônio do Itambé",NA,NA,"2010","09","25","19014","auto",NA,NA,NA,NA,NA
"6","2020-11-04 11:09:59-03","ESALQ","ESA","114027","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","chrysastra","Mimosa chrysastra",NA,"Savassi-Coutinho, A.P.","Rossi, L.",NA,"1982","04","05",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA114027","ESA114027","Santo Antônio do Itambé",NA,NA,"2010","09","25","19014","auto",NA,NA,NA,NA,NA
"7","2020-11-04 11:09:59-03","ESALQ","ESA","113971","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","chrysastra","Mimosa chrysastra",NA,"Savassi-Coutinho, A.P.","Savassi-Coutinho, A.P.","1227.0","2007","12","13",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA113971","ESA113971","Santo Antônio do Itambé",NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA,NA
"8","2021-01-14 15:29:56-03","MN","R","170834","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","Barneby, R.C.","Anderson, W.R.; Stieber, M.T. & Kirkbride Jr., J.H.","s.n.","1972","02","10",NA,"Brasil","Minas Gerais",NA,NA,NA,"2250","2250",NA,NA,NA,NA,NA,NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-07-26 11:40:21-03","IPA","IPA","39589","S","Plantae","Plantae",NA,"Leguminosae-Mim.","Mimosa","chrysastra","Mimosa chrysastra","Mart.",NA,"Martius","39589",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IPA0039589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:17:36-03","UFV","VIC","35057","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","Dutra, V.F.","Dutra, V.F.; Fernandes, J.M.","431","2008","01","18",NA,"Brasil","Minas Gerais","Parque Estadual do Pico do Itambé, Trilha para o pico, campo rupestre, em afloramento rochoso.","-43.324583","-18.399333",NA,NA,NA,"Arbusto, c.a. de 2,0 metros de altura. Corola verde com lobos vináceos, filetes alvos.","VIC035057","VIC035057","Santo Antônio do Itambé",NA,NA,"2008","01","18",NA,NA,"-43.324583","-18.399333",NA,NA,NA
