"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","class","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:42:48-03","E","E","48064","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","rufescens","Eriosorus rufescens","Mathews, Andrew","1905","01","08","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:55744","<a href=http://data.rbge.org.uk/herb/E00048064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:48-03","E","E","48065","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","rufescens","Eriosorus rufescens","Hohenacker, W.R.F.","1905","01","24","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:55745","<a href=http://data.rbge.org.uk/herb/E00048065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048065","2255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:48-03","E","E","48066","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","rufescens","Eriosorus rufescens","Hohenacker, W.R.F.","1905","01","24","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:55746","<a href=http://data.rbge.org.uk/herb/E00048066 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048066","2255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3914222","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","R. C. Moran","2004","02","20","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198355' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914222","6912","Pteridophyta","Polypodiales","(Fée) Christenh.","Carchi","10 km de Triunfo via a Maldonado.","-77.92","0.78","3550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3914226","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","E. P. Killip","1922","08","02","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198359' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914226","9494","Pteridophyta","Polypodiales","(Fée) Christenh.","Tolima","Summit, above Volcancitos, Old Quindio Trail. Cordillera Central. Near S.",NA,NA,"3300","3500","NY03914226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3914231","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","H. H. van der Werff","1989","07","28","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198364' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914231","10680","Pteridophyta","Polypodiales","(Fée) Christenh.","Carchi","Along road Tulcan-Maldonado, W of Tufiño.",NA,NA,"3000","4000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3914224","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","H. H. van der Werff","2003","07","17","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198357' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914224","18519","Pteridophyta","Polypodiales","(Fée) Christenh.","Pasco","Road to Chacos","-75.1","-10.58","2400","2700",NA,"Oxapampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3914225","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","J. F. Macbride","1923","06","05","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198358' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914225","4302","Pteridophyta","Polypodiales","(Fée) Christenh.","Huánuco","Muña, Trail to Tambo de Vaca [Tambo de Vacas]",NA,NA,"2438",NA,"NY03914225_01","Pachitea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3914223","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","L. Valenzuela Gamarra","2003","02","21","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198356' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914223","1467","Pteridophyta","Polypodiales","(Fée) Christenh.","Cusco","Dist. Machu Pichu, Wiñay Wayna","-72.5064","-13.5111","2700","3923",NA,"Urubamba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03914220","PreservedSpecimen","Plantae","Pteridaceae","Jamesonia","rufescens","Jamesonia rufescens","B.R. Chambi","2006","04","06","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4198353' target='other'> <mi>dwc_moreinfo</mi></a>","NY03914220","278","Pteridophyta","Polypodiales","(Fée) Christenh.","Cusco","Cusco, Waiquichas.","-71.59","-13.19",NA,NA,NA,"Paucartambo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
