"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:32-03","UNESC","CRI","3112","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","Marcos Sobral","Robson dos Santos; Raquel Rejane Bonatto Negrelle","62","1993","12","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI004286","CRI004286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:32-03","UNESC","CRI","3262","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1883","1993","07","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004285","CRI004285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","11613","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","Guilherme Alves Elias","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","18","2015","12","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,"CRI008282","CRI008282","Floresta Ombrófila Densa de Terras Baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","1683","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","V. C. Zanette","V. Citadini-Zanette; C. M. Martinello & A. J. de Aguiar","1596","1993","03","30","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI004287","CRI004287","Habito: epífita","1993","04","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:32-03","UNESC","CRI","14262","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","Oliveira, AA de","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1108","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf. Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.118056","-27.006944","49º7'5''W","27º0'25''S","249","249","CRI013389","CRI013389","Epífita IFFSC e8001b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; Fruto rosa-avermelhado;","2010","04","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:41-03","UNESC","CRI","1544","PreservedSpecimen","Plantae","Melastomataceae","Pleiochiton","blepharodes","Pleiochiton blepharodes","(DC.) Reginato et al.","Maria Leonor de Souza D#?#el Rey","R. Negrelle",NA,"1993","01","21","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004042","CRI004042","Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00477837","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","blepharodes","Clidemia blepharodes","DC.","M. Reginato","P. K. H. Dusén","13761","1912","01","21","Brazil","Paraná","Lapa","Volta Grande","-49.7156","-25.7697",NA,NA,NA,NA,"NY00477837","NY00477837_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=175521' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145019","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","blepharodes","Clidemia blepharodes","DC.","M. Reginato","M. J. M. Christenhusz","4807","2008","02","20","Brazil","São Paulo","Santo André","Biological Reserva of Paranapiacaba. (Expedicão científica CNPq Proc. EXC no. 030/07-CR.)","-46.3","-23.77",NA,NA,"800","800","NY01145019","NY01145019_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301943' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00477840","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","blepharodes","Clidemia blepharodes","DC.","F. C. Hoehne","F. C. Hoehne","3671","1920","02","06","Brazil","São Paulo","Ribeirao Pires","Alto da Serra; Estaçao Biologica","-46.4097","-23.71",NA,NA,NA,NA,"NY00477840","NY00477840_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=175523' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","477842","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","blepharodes","Clidemia blepharodes","DC.","G. G. Hatschbach","G. G. Hatschbach","Ha13400","1966","01","04","Brazil","Paraná","Morretes","Prainhas","-48.8342","-25.4769",NA,NA,NA,NA,"NY00477842","NY00477842_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=175520' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
