"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01282039","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","W. R. Anderson","P. Fiaschi","1441","2003","04","02","South America","Brazil","Bahia","Belmonte","Estação Experimental Gregório Bondar","-39.25","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471262' target='other'> <mi>dwc_moreinfo</mi></a>","NY01282039","NY01282039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:19:05-03","UFBA","ALCB","61806","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","A.M.A. Amorim","Amorim, AMA","Guedes, ML; Rigueira, D","10259","2003","04","12","Southern America","Brasil","Bahia","Cairu","Baixo Sul, Garapuá, Caminho para a Mata do Abreu","-39.033333","-13.483333",NA,"escandente, com ramos ferrugíneos tomentosos. Folhas cartáceas, discolores. Inflorescência panícula com botões ferrugíneos, pétalas amarelas. Fruto sâmara ferrugínea.","ALCB040920",NA,"2014","-39.033333","-13.483333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:42-03","ESALQ","ESA","120371","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii",NA,"Almeida, R.F.","Flores, T.B.","1188.0","2012","08","01",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande - Estrada no meio da reserva.","-39.7322006225586","-18.5932998657227",NA,"Trepadeira, flores amarelas.","ESA120371","ESA120371","2013",NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:42-03","ESALQ","ESA","120373","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii",NA,"Almeida, R.F.","Flores, T.B.","1190.0","2012","08","01",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande - Estrada no meio da reserva.","-39.7322006225586","-18.5932998657227",NA,"Trepadeira, flores amarelas.","ESA120373","ESA120373","2013",NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:13-03","UFV","VIC","49335","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Saporetti, A W J","Saporetti, A W J","151","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Formação de ilhas com bromélias","-39","-17",NA,"Liana crescendo na beira de curso d'água preta; flores amarelas; altura aproximada de 2 metros; Espodossolo","VIC049335",NA,NA,"-39","-17",NA,NA,"42","42",NA,NA,NA,NA,NA
"6","2020-12-20 21:18:13-03","UFV","VIC","49336","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","André Amorim","Saporetti, A W J","152","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Muçununga Florestada","-39","-17",NA,"Liana crescendo na mata ciliar de curso d'água preta; botões florais amarelos; Espodossolo","VIC049336",NA,NA,"-39","-17",NA,NA,"42","42",NA,NA,NA,NA,NA
"7","2021-03-24 17:09:21-03","UFES","SAMES","9165","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Ribeiro, M.","Ribeiro, M.; Rozario, E.M.","1508","2019","07","26",NA,"Brasil","Bahia","Mucuri","Floresta Alta em regeneração. Área ensolarada imediatamente lado da estrada. Reserva Biológica de Córrego Grande","-39.5508003234863","-18.0863990783691",NA,"folhas discolores: verde-escuras (adaxial), verde com tons castanho-claro (abaxial). Frutos alados róseo-vermelho escuro com base da ala clara, glândulas esverdeadas. Mais de 7 indivíduos férteis em ca. 1 km de estrada. Habito: Liana","SAMES09165",NA,"2019","-398094444.0","-182433333.0","78440","auto","65","65","11","11",NA,NA,NA
"8","2021-03-24 17:09:21-03","UFES","SAMES","3112","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Amorim,A.M.A.","Ribeiro,M.; Fanticelle,B.S.;Amaral,M.V.","102","2010","03","27",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Mata alagada de Restinga Pleistocênica.","-39.8588981628418","-18.716100692749",NA,"Liana, raquis e ráquilas da infrutescência com tricomas marrom escuro, fruto vinoso escuro a tons rosado escuro.","SAMES03112",NA,"2012",NA,NA,"56510","auto",NA,NA,"02","14",NA,NA,NA
"9","2021-03-01 16:33:27-03","UNICAMP","UEC","133649","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Amorim, A","Amorim, AMA; Souza, GM; Fraga, CN","3359","2000","02","23",NA,"Brazil","Espírito Santo","Sooretama","Reserva Florestal da CVRD, mata prmanentemente inundada, próximo ao córrego São Pedro. Restinga","-40.0978012084961","-19.1968994140625",NA,"Liana, ca. 2-3m alt. Folhas verdes, brilhantes, a face superior mais escura. Raque e pedicelo ferrugíneo, nectário verde, pétalas amarel0o-vívido, glândulas verdes. Frutos imaturos róseo-vívidos, muito vistosos. Foto. Flores em alcool","UEC069910","UEC069910","2003",NA,NA,"33715","auto",NA,NA,NA,NA,"isotypus",NA,NA
"10","2020-04-27 16:10:19-03","UFES","VIES","17319","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Amorim, A.M.","Amorim, A.M.; Souza, G.M. & Fraga, C.N.","3346","2000","02","21",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES017319","VIES017319","2003",NA,NA,"28401","auto",NA,NA,"01","01",NA,NA,NA
"11","2020-04-27 16:10:19-03","UFES","VIES","10673","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","A.M. Amorim","Zambom, O.; Pereira, O.J.","336","1997","03","10",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"VIES010673","VIES010673","2003",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-04-27 16:10:19-03","UFES","VIES","24185","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Amorim, A.M.A.","Ribeiro, M.; Fanticelle, B.S. & Amaral, M.V.","102","2010","03","27",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade.","-39.8588981628418","-18.716100692749",NA,NA,"VIES024185","VIES024185","2012",NA,NA,"56510","auto",NA,NA,"02","14",NA,NA,NA
"13","2020-04-27 16:10:19-03","UFES","VIES","40141","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Wandekoken, D.T.","Wandekoken, D.T.","188","2017","03","20",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo Cesar Vinha. Floresta periodicamente inundada.","-40.423333","-20.598333",NA,NA,"VIES040141","VIES040141","2017","40º25'24''W","20º35'54''S",NA,NA,NA,NA,"04","20",NA,NA,NA
"14","2019-06-27 10:25:30-03","UFES","VIES","6557","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Amorim, A.","Pereira, O.J.","3063","1992","03","25",NA,"Brasil","Espírito Santo","Conceição da Barra","Área 213 da Aracruz Celulose S.A.","-39.7322006225586","-18.5932998657227",NA,NA,"VIES006557","VIES006557","2003",NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-04-27 16:10:19-03","UFES","VIES","15763","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Pessoa, C.","Pereira, O.J.; Assis, A.M.","6092","2000","03","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,"VIES015763","VIES015763","2015",NA,NA,"41644","auto",NA,NA,"06","12",NA,NA,NA
"16","2020-12-21 16:32:47-03","MBM","MBM","292290","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","oberdani","Heteropterys oberdani","Amorim","Amorim, A.M.","Amorim, A.M.; et al.; et al.","3359","2000","02","23","Southern America","Brazil","Espírito Santo","Sooretama","Próximo ao Córrego São Pedro","-40.0978012084961","-19.1968994140625",NA,NA,"MBM292290","MBM292290",NA,NA,NA,"33715","auto",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-25 10:12:51-03","CVRD","CVRD","6839","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","André M. Amorim","Folli, D.A.","3896","2001","04","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Mucunã vermelho","CVRD006839","CVRD006839","2002",NA,NA,"48094","auto",NA,NA,"10","09",NA,"Magnoliopsida",NA
"18","2021-02-25 10:12:51-03","CVRD","CVRD","10023","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","oberdanii","Heteropterys oberdanii","Amorim","Geovane S. Siqueira","Folli, D.A.","5510","2007","03","12","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Mucunã vermelho","CVRD010023","CVRD010023","2007",NA,NA,"48094","auto",NA,NA,"05","15",NA,"Magnoliopsida",NA
