"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","stateProvince","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","locality","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:41-03","E","E","68766","PreservedSpecimen","Plantae","Myristicaceae","Virola","sebifera","Virola sebifera","Quevedo, E., Gutierrez, E. & Mamani, F.","2586","1994","05","16","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:77479","<a href=http://data.rbge.org.uk/herb/E00068766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:41-03","E","E","373433","PreservedSpecimen","Plantae","Myristicaceae","Virola","sebifera","Virola sebifera",NA,"3566","1905","01","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:431381","<a href=http://data.rbge.org.uk/herb/E00373433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373433","isotype","Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:41-03","E","E","68765","PreservedSpecimen","Plantae","Myristicaceae","Virola","sebifera","Virola sebifera","Guillen, R. & Chore, V.","1839","1994","06","11","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:77474","<a href=http://data.rbge.org.uk/herb/E00068765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","66859","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066859","isotype",NA,"Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith","Brasilia","NY00066859_01 NY00066859_02 NY00066859_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","66861","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066861","isotype",NA,"Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith","Brasilia","NY00066861_01 NY00066861_02 NY00066861_03 NY00066861_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","66860","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066860","isotype","Goiás","Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith",NA,"NY00066860_01 NY00066860_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","66859","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066859","isotype",NA,"Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith","Brasilia","NY00066859_01 NY00066859_02 NY00066859_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","66861","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066861","isotype",NA,"Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith","Brasilia","NY00066861_01 NY00066861_02 NY00066861_03 NY00066861_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","66860","PreservedSpecimen","Plantae","Myristicaceae","Myristica","sebifera","Myristica sebifera cordifolia","G. Gardner","3566",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066860","isotype","Goiás","Magnoliophyta","Magnoliales","cordifolia","A.DC.","A. C. Smith",NA,"NY00066860_01 NY00066860_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","66951","PreservedSpecimen","Plantae","Myristicaceae","Virola","boliviensis","Virola boliviensis","H. H. Rusby","1216","1886","05",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=681997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066951","type","La Paz","Magnoliophyta","Magnoliales",NA,"Warb.","Unspecified Determiner",NA,"NY00066951_01","Larecaja","762.0","762.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
