"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","monthIdentified","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","3909691","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","F. Almeda","9175","2005","09","27","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. About 23 km from the bridge over the Rio Cipó on the road to Conceição do Mato Dentro.","-43.5530014","-19.25966644","1270","1270","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451433' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909691","NY03909691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03287776","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","F. A. O. Silveira","3","2009","08","01","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581660' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287776",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4218309","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","F. Almeda","8606","2001","10","24","South America","Brazil","Minas Gerais","Santana do Rioachii","Serra do Cipó. Km 118 along the road from Lagoa Santa to Conceição do Mato Dentro.","-43.55805588","-19.26333427","1227","1227","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451366' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3909692","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","F. Almeda","9185","2005","09","28","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. 22 km from the bridge over the Rio Cipó on the road from Serra do Cipó (formerly called Cardeal Mota) to Conceição do Mato Dentro.","-43.55091476","-19.26397133","1230","1230","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451437' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909692","NY03909692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:30-03","EAO","IAN","116411","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenberg","Maguire, B; Magalhães, MG","49009","1960","08","06","Southern America","Brasil","Minas Gerais",NA,"Occasional on sandstone, summit of Serra do Cipó, km 111-120, road from Hotel Chapéu do Sol.",NA,NA,"1200","1200",NA,"Flowers white, fragrant.","IAN116411",NA,NA,NA,"Goldenberg, R","2016","paratipo",NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:34-03","UNICAMP","UEC","169558","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9185","2005","09","28",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, 22 km from the bridge over the Rio Cipó on the road from Serra do Cipó (formely called Cardeal Mota) to Conceição do Mato Dentro.","-43.559167","-19.263972","1230","1230",NA,"Shrub 1 m tall. Petals reflexed, white like the stamens and style. Berries at first green turning blue-green to pink and ultimately purple. One plant seen.; Campo rupestre.","UEC010969","UEC010969",NA,NA,"Goldenberg, R","2015",NA,"-43.559167","-19.263972",NA,NA,NA,NA
"7","2021-03-01 16:34:34-03","UNICAMP","UEC","170562","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","Almeda, F; Martins, AB; Belinello, R; Almeda, MB","9175","2005","09","27",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. About 23km from the bridge over the Rio Cipó on the road to COnceição do Mato Dentro.","-43.553","-19.259667","1270","1270",NA,"Shrub to 0.5m tall. All floral parts white. Petals distinctly reflexed. Mature fruits +- compressed but few seen. Uncommon.; Campo rupestre.","UEC010126","UEC010126",NA,NA,"Goldenberg, R","2013",NA,"-43.553","-19.259667",NA,NA,NA,NA
"8","2021-03-01 16:34:34-03","UNICAMP","UEC","10766","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","Joly, AM; Müller, C","3451","1972","09","09",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rodovia Lagoa Santa, Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,NA,"Altura frutos; Estrada da Usina","UEC008674","UEC008674","31264","auto","Goldenberg, R",NA,"paratypus",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:34-03","UNICAMP","UEC","10799","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","Semir, J; Sazima, M; Giulietti, AM","4323","1973","09","03",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 126 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,NA,"Arbusto + ou - 1m de altura, folhas ferrugíneas; Mata ciliar","UEC050932","UEC050932","31264","auto","Goldenberg, R","2012",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:34-03","UNICAMP","UEC","118085","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","cipoensis","Miconia cipoensis","R.Goldenb.","Carmello-Guerreiro, SM; Semir, J; Sajo, MG; Belinello, R","45","2000","09","19",NA,"Brazil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,"Arbusto de 1,0 m, flores brancas entre pedras.","UEC060003","UEC060003","26557","auto","Semir, J",NA,NA,NA,NA,NA,NA,NA,NA
