"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","imagecode","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex","typeStatus"
"1","2020-09-23 10:36:37-03","E","E","143661","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","King, Thomas","65","Temperate South America","CL","Yerba Buena Chica.","herbarium specimen of unspecif","BGBASE:162483","<a href=http://data.rbge.org.uk/herb/E00143661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:37-03","E","E","143657","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Johnston, I.M.","5008","Temperate South America","CL","Vicinity of Copiapó.","herbarium specimen of unspecif","BGBASE:162477","<a href=http://data.rbge.org.uk/herb/E00143657 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143657","1925","11","16","Región III [Atacama]","Prov. de Copiapó","370","370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:37-03","E","E","143658","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Cuming, Hugh","267","Temperate South America","CL",NA,"herbarium specimen of unspecif","BGBASE:162479","<a href=http://data.rbge.org.uk/herb/E00143658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143658",NA,NA,NA,"Región V [Valparaíso]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:37-03","E","E","143660","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","King, Thomas","72","Temperate South America","CL","Carrizal Bajo.","herbarium specimen of unspecif","BGBASE:162482","<a href=http://data.rbge.org.uk/herb/E00143660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143660",NA,NA,NA,"Región III [Atacama]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:37-03","E","E","143655","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Gillies, John",NA,"Temperate South America","AR",NA,"herbarium specimen of unspecif","BGBASE:162475","<a href=http://data.rbge.org.uk/herb/E00143655 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:37-03","E","E","9992","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Instituto de Investigaciónes Ecológicas Chiloé (IIECH) and Royal Botanic Garden Edinburgh","587","Temperate South America","CL","Quebrada de Paipote.","herbarium specimen of unspecif","BGBASE:28211","<a href=http://data.rbge.org.uk/herb/E00009992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009992","1996","03","07","Región III [Atacama]","Prov. de Copiapo","1900","1900","-69.616667","-27.15","-69.616667","-27.150000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:37-03","E","E","143653","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Bridges, Thomas","318","Temperate South America","CL","Llai Llai.","herbarium specimen of unspecif","BGBASE:162473","<a href=http://data.rbge.org.uk/herb/E00143653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143653",NA,NA,NA,"Región V [Valparaíso]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:37-03","E","E","143659","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Ball, John",NA,"Temperate South America","CL","Caucuenes.","herbarium specimen of unspecif","BGBASE:162481","<a href=http://data.rbge.org.uk/herb/E00143659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143659",NA,NA,NA,"Región VI [Libertador Gral. Bdo. O'Higgins]",NA,"1","1524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:36:37-03","E","E","143654","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Cuming, Hugh","267","Temperate South America","CL",NA,"herbarium specimen of unspecif","BGBASE:162474","<a href=http://data.rbge.org.uk/herb/E00143654 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143654",NA,NA,NA,"Región V [Valparaíso]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:36:37-03","E","E","143652","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","curassavicum","Heliotropium curassavicum","Werdermann, Erich","711","Temperate South America","CL","Azapa.","herbarium specimen of unspecif","BGBASE:162470","<a href=http://data.rbge.org.uk/herb/E00143652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00143652",NA,NA,NA,"Región I [Tarapacá]","Prov. de Arica","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
