"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","dayIdentified","typeStatus","relatedCatalogItem","barcode","imagecode","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2019-10-09 11:10:41-03","UFBA","ALCB","114902","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Ogasawara, HA","2014","04","Ogasawara, HA","396","2014","03","24","Southern America","Brasil","Bahia","Cafarnaum","Próximo ao Parque Eólico Cristal.","-41.447778","-11.816944","-41.447778","-11.816944","857","857","ca. 70 cm alt. Folhas discolores; brácteas involucrais verde de ápice vináceo; corola roxa; pápus alvo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:41-03","UFBA","ALCB","114628a","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Marques, D","2017","09","Guedes, ML; Alunos de Botânica BIOC05","21888a","2014","06","14","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Três Morros.","-41.868333","-13.0575","-41.868333","-13.0575","1443","1443","viloso. Folhas sésseis, membranáceas, discolores. Inflorescência escorpióides, capítulos com filárias griseas, pappus cerdosos cremes. Flores róseas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:41-03","UFBA","ALCB","118656","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Ogasawara, HA","2014","09","Hurbath, F; Silva, OLM da; Seixas, FC","720","2014","08","27","Southern America","Brasil","Bahia","Rio de Contas","Subida para o Pico das Almas, Vale do Queiroz..","-41.951667","-13.522778","-41.951667","-13.522778","1547","1547","ca. 1,5 m alt. Folhas levemente discolores com tricomas prateados. Brácteas involucrais verdes com ápices roxos, flores roxas, papus alvos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:41-03","UFBA","ALCB","81974","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Marques, D","2017","09","Moraes, AO; França, F; Lima, CT de; Souza, D","297","2006","08","25","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, estrada para Várzea Nova.","-41.072778","-11.466389","-41.072778","-11.466389","910","910","ca. 2,0 m alt. Folhas membranáceas, discolores. Capítulos lilás.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:41-03","UFBA","ALCB","83053","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Marques, D","2017","11","Moraes, AO; França, F; Lima, CT de; Souza, D","307","2006","08","25","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, outro lado da estrada Várzea Nova (roça do Sr. Gileno)","-41.068889","-11.470278","-41.068889","-11.470278","895","895","1,5 m alt. Folhas membranáceas, discolores. Capítulos liláses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:41-03","UFBA","ALCB","119038","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Ogasawara, HA","2014","10","Ogasawara, HA; Oliveira, P","444","2014","10","02","Southern America","Brasil","Bahia","Campo Formoso","Serra do São Franciso","-40.874167","-96.386111","-40.874167","-96.386111","892","892","ca. 1m; folhas discolores; brácteas involucrais verdes de ápice vináceo; corola roxa; pápus creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:52:13-03","NBC","NL-BOTANY","U 0001358","PreservedSpecimen","Plantae",NA,"Compositae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N.Hind","Hind DJN","1989","05","Harley RM",NA,"1988","11","26","Southern America","Brazil","Bahia",NA,"Bahia. Mun.: Rio de Contas. Pico das Almas. Vertente norte. Area de campos e mata, noroeste do Campo do Queiroz","-41.966667","-13.516667","-41.966667","-13.516667",NA,NA,"Entre rochas e no campo, no vale.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001358 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","01","isotype","56309","NL-U0001358","NL-U0001358",NA,NA,NA,NA
"8","2020-11-04 11:02:44-03","ESALQ","ESA","90872","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","DNJHind","Dematteis, M.",NA,NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Tsuji, R.","5250.0","2005","02","01",NA,"Brasil","Bahia","Rio de Contas","Trilha da Estrada Real","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"Arbusto, flores róseas",NA,NA,NA,NA,NA,"ESA090872","ESA090872","49773","auto",NA,NA
"9","2021-03-01 16:26:02-03","UNICAMP","UEC","119450","S","Plantae","Magnoliopsida","Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N.Hind","Castro, MS","2016","06","Melo, E; França, F; Marques da Silva, B; Sena, L; Rodrigues, M","3364","2001","04","20",NA,"Brazil","Bahia","Morro do Chapéu","proximidades da Cachoeira do Ferro Doido.","-40.993889","-11.625278","-40.993889","-11.625278",NA,NA,"arbusto 1m.;folhas verde-acinzentadas; corola lilás. Material tratado com ácool comercial.; Mata ciliar.",NA,NA,"10",NA,NA,"UEC137032","UEC137032",NA,NA,NA,NA
"10","2020-12-21 16:16:19-03","MBM","MBM","300492","PreservedSpecimen","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Dematteis, M.","2005",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","78500","2004","11","25","Southern America","Brazil","Bahia","Caetité","Rodovia BR 430, Próximo ao trevo para Tanque Novo","-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,"Ereta, 70 cm, capítulo lilás.; Campo rupestre.",NA,NA,NA,NA,NA,"MBM300492","MBM300492","53684","auto",NA,NA
