"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","county","minimumElevationInMeters","identifiedBy","decimalLongitude","decimalLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:42:18-03","E","E","319976","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens","syntype","Spruce, Richard","3952","1905","01","28","W. Tropical South America","PE","Tarapoto","Prope Tarapoto","herbarium specimen of unspecif","BGBASE:327802","<a href=http://data.rbge.org.uk/herb/E00319976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01397947","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"J. M. Pires","51559","1961","10","08","South America","Brazil","Amapá","Rio Araguari. At mouth of Anicahy, above Camp 14.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1653778' target='other'> <mi>dwc_moreinfo</mi></a>","NY01397947","Magnoliophyta","Piperales","Ruiz & Pav.","NY01397947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4124470","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"J. M. Schunke-Vigo","3406","1969","09","09","South America","Peru","San Martín","Fundo La Campiña, 2 km abajo de Tocache Nuevo, margen derecha del río Huallaga","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443391' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124470","Magnoliophyta","Piperales","Ruiz & Pav.",NA,"Mariscal Cáceres","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1365321","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","22866","1929","05","10","South America","Peru","Ayacucho","Río Apurimac Valley, near Kimpitiki","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1725511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365321","Magnoliophyta","Piperales","Ruiz & Pav.","NY01365321_02",NA,"400","W. Trelease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4124466","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"Y. E. J. Mexia","6105","1931","11","14","South America","Peru","Loreto","Above Pongo de Manseriche, mouth of Rio Santiago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443387' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124466","Magnoliophyta","Piperales","Ruiz & Pav.",NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4124460","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","28382","1929","08","28","South America","Peru","Loreto","Balsapuerto (lower Río Huallaga basin)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443381' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124460","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124460_01",NA,"150",NA,"-76.560802","5.829872","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4124449","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","23613","1929","05","30","South America","Peru","Junín","Río Punedo, north of La Merced","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443370' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124449","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124449_01",NA,"700",NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4124456","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","23724","1929","05","29","South America","Peru","Junín","La Merced","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443377' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124456","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124456_01",NA,"700",NA,"-75.332995","-11.061082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4124459","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","28674","1929","08","28","South America","Peru","Loreto","Balsapuerto (lower Río Huallaga basin)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443380' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124459","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124459_01",NA,"150",NA,"-76.560802","5.829872","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4124454","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","25161","1929","06","16","South America","Peru","Junín","Along Río Perene, near Hacienda 3, Colonia Perene","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443375' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124454","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124454_01",NA,"600",NA,"-75.228336","-10.952343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
