"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","class","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","886330","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G.Clark","L. G. Clark","W. W. Thomas","12252","2000","10","14","South America","Brazil","Bahia","Boa Nova","Fazenda Sao José, 8.8 km east of Boa Nova then 1.4 km north on Fazenda road","-40.14608","-14.39033","850","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886330","NY00886330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886335","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G.Clark","L. G. Clark","W. W. Thomas","12634","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383","860","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886335","NY00886335_01 NY00886335_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01095842","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G.Clark","L. G. Clark","S. C. de Sant'Ana","1082","2003","03","07","South America","Brazil","Bahia","Boa Nova","Fazenda São José, a 8.8 km de Boa Nova, na estrada para Dario Meira, a 1.4 km do ramal à esquerda.","-40.13544","-14.38539","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095842","NY01095842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","651010","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G.Clark","L. G. Clark","L. G. Clark","726","1990","03","04","South America","Brazil","São Paulo",NA,"BR-116, ca. Km 517, heading N to Sao Paulo, Rio Braço Feio, ca. 60 km before spring","-48.25","-24.9","530","530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651010","NY00651010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","651009","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G.Clark","L. G. Clark","G. Davidse","10950","1976","03","08","South America","Brazil","São Paulo",NA,"Ca. 38 km SW of Jacupiranga along highway 116 to Curitiba",NA,NA,"680","680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651009","NY00651009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:40:13-03","MBM","MBM","196557","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G. Clark","Clark, L.G.","Clark, L.G.; Windisch, P.; Windisch, P.","726",NA,NA,NA,"Southern America","Brazil","São Paulo","São Paulo","Rod. BR-116, km 517, N de São Paulo, Rio Braço Feio","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"MBM196557","MBM196557","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:40:13-03","MBM","MBM","194531","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G. Clark","Clark, L.G.","Clark, L.G.; et al.; et al.","939",NA,NA,NA,"Southern America","Brazil","São Paulo","São Paulo","Rod. BR-116, km 517, Rio Braço Feio","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"MBM194531","MBM194531","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1360515","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G. Clark","L.G. Clark","Lynn G. Clark|W. Oliveira","Clark 939","1991","3","19","South America","Brazil","São Paulo",NA,"BR-116, ca Km 517, heading N to São Paulo, Rio Braço Fcio, ca. 60 km before the spring.","-48.31666","-24.95","560.00000000",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA
"9","2011-02-28 15:03:00-03","MO","MOBOT","2839093","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G. Clark","L.G. Clark","Lynn G. Clark|Paulo G. Windisch","Clark 726","1990","3","4","South America","Brazil","São Paulo",NA,"BR-116, ca. Km 517, heading N to Sao Paulo, Rio Braço Feio, ca. 60 km before spring,","-48.25","-24.9","530.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02728","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Chusquea","pulchella","Chusquea pulchella","L.G. Clark",NA,"L. Clark",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo","BR 116","km 517",NA,NA,NA,NA,NA,"Forest remnant on a small ridge above Rio Braço Feio.;",NA,NA,NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,NA
