"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","typeStatus","fieldNumber","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","591","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Elton. C. M. Leme","2011","08","Rafael de Oliveira;","Brasil","Rio de Janeiro","Teresópolis","Soberbo (bairro?)","-42.9655990600586","-22.4122009277344","38539","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","95152","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","H. E. Luther",NA,NA,"W. W. Thomas","Brazil","Bahia","Ilhéus","2.2 km north of Banco da Vitória on road leading to west edge of Mata da Esperança","-39.0911111","-14.7772222",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189486' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"10991","1995","05","22","South America","sheet","NY00095152","NY00095152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400548","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","L. B. Smith",NA,NA,"R. Callejas Posada","Brazil","Bahia","Una","Area de CEPLAC. Estaçao experimental Djalma, 2 km NW de Una","-39.0753","-15.2933",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189487' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1783","1983","11","22","South America","sheet","NY00400548","NY00400548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","884583","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","H. E. Luther",NA,NA,"A. M. Amorim","Brazil","Bahia","Itacaré","Estrada Itacaré-Ubaitaba. Ramal de acesso à Torre da Embratel.","-39.2713273","-14.4201153",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961662' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3424","2000","06","07","South America","sheet","NY00884583","NY00884583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:27-03","MN","R","233010","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"Kessous, I.M.","Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662","61245",NA,NA,"auto","212","2015","03","25",NA,NA,"R010045358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:35-03","MBM","MBM","153132","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaud.","Costa, A.",NA,NA,"Callejas, R.; et al.; et al.","Brazil","Bahia","Una","Estação Experimental Djalma","-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","1783","1983","11","22","Southern America",NA,"MBM153132","MBM153132",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-28 20:14:15-03","MNHN","RECOLNAT_MNHN_P","P00753335","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Mez",NA,NA,"Gaudichaud, C.","Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753335' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","P00753335","P00753335_01","type",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-28 19:02:20-03","MNHN","RECOLNAT_MNHN_P","P00753336","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Mez",NA,NA,"Gaudichaud, C.","Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753336' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","P00753336","P00753336_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 21:19:13-03","MNHN","RECOLNAT_MNHN_P","P02176480","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"Blanchet","Peru",NA,NA,"Cusco. Peru",NA,NA,NA,NA,". s.d. Specimen in monographia Bromeliacearum citatum <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176480' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"hb","P02176480","P02176480_01",NA,"2084",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:18:25-03","UFPR","UPCB","48007","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","(Klotzsch.) L.B.Smith","Kersten, R.","2003","01","Kersten, R.","Brasil","Paraná","Pinhão","Rio São Jerônimo","-51.6596984863281","-25.6956005096436","37408",NA,"Epífita muito frequente em floresta ombrófila mista altomontana aluvial. Alt.: ca. 1100m s.n.m..","auto","606","2003","03","20",NA,NA,NA,NA,NA,NA,"01",NA,NA,NA,NA,NA,NA
