"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","class"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2998","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Daniela Zappi","2009","11","14","Carlos Alberto F. Jr.;","2009","11","14","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Capitação - Fazenda Tocan Cipó","43°45.533'","19°00.370'","802","802","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1588","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Carlos A. Ferreira Jr.","2011","07","14","Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis","2011","07","14","Brasil","Minas Gerais","Santana do Riacho","Área da nova estrada que liga Santana do Riacho a Serro.","43°38'18.08","19°20'16.15",NA,NA,"1","254","CAF336","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3026","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Daniela Zappi",NA,NA,NA,"Carlos Alberto F. Jr.;","2010","03","10","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Capitação - Fazenda Tocan Cipó","43°45.747'","19°00.486'","702","702","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1589","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Carlos A. Ferreira Jr.","2011","07","14","Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis","2011","07","14","Brasil","Minas Gerais","Santana do Riacho","Área da nova estrada que liga Santana do Riacho a Serro.","43°38'18.08","19°20'16.15",NA,NA,"1","254","CAF336","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","898680","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","L. B. Smith",NA,NA,NA,"B. Maguire","1960","08","06","Brazil","Minas Gerais",NA,"Summit of Serra do Cipo, along road from Hotel Chapeu between Km. 111 and 120",NA,NA,"1200","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976745' target='other'> <mi>dwc_moreinfo</mi></a>","49049","-43.554488","-19.288549",NA,NA,"South America","sheet","NY00898680","NY00898680_01",NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","247997","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"B. Maguire","1959","12","19","Brazil","Minas Gerais",NA,"Serra Cipó, 3.5 miles from Hotel Chapeu de Sol.",NA,NA,"1127.8","1127.8",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212595' target='other'> <mi>dwc_moreinfo</mi></a>","44690",NA,NA,NA,NA,"South America","sheet","NY00247997","NY00247997_01","type",NA
"7","2021-03-15 16:37:00-03","NY","NYBG","898679","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"A. B. Joly","1973","10","18","Brazil","Minas Gerais","Jaboticatubas","Km 113 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976742' target='other'> <mi>dwc_moreinfo</mi></a>","4517","-43.7447","-19.5136",NA,NA,"South America","sheet","NY00898679","NY00898679_01",NA,NA
"8","2021-01-15 14:42:37-03","MN","R","107878","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Smith","Smith, L.B.","1985","11",NA,"Vidal, J.","1953","02",NA,"Brasil","Minas Gerais","Serra do Cipó","Chapéu do Sol",NA,NA,NA,NA,NA,NA,"II - 6323",NA,NA,NA,NA,NA,NA,"R010057774,R010057792,R010057797","R010057774 R010057792 R010057797",NA,NA
"9","2016-02-02 14:39:16-02","BGBM","B","B 10 0248658","S","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"B. Maguire, C. K. Maguire & J. Murca Pires","1959","12","19","Brazil",NA,NA,"Serra Cipó, 3-1/2 miles from Hotel Chapeu de Sol, alt. 3700 feet.",NA,NA,"1231","1231",NA,"photo and fragments of leaf; photo of typ ein United States National Herbarium no. 2340342 <a href=http://herbarium.bgbm.org/object/B100248658 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","44690",NA,NA,NA,NA,"Middle and South America",NA,"B100248658","B100248658","isotype",NA
"10","2019-08-20 10:01:50-03","UNICAMP","UEC","17506","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","1973","10","18","Brazil","Minas Gerais","Diamantina","km 113 ao longo da rodovia Lagoa Santa -",NA,NA,NA,NA,NA,"flor, Arbusto até 1,5 m, foto. Flores brancas ou lilases","4517","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,"UEC000843","UEC000843",NA,NA
"11","2019-08-20 10:01:50-03","UNICAMP","UEC","179356","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","1973","10","18","Brazil","Minas Gerais","Diamantina","km 113 ao longo da rodovia Lagoa Santa -",NA,NA,NA,NA,NA,"flor, Arbusto até 1,5 m, foto. Flores brancas ou lilases","4517","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,"UEC042682","UEC042682",NA,NA
"12","2019-08-20 10:01:50-03","UNICAMP","UEC","17507","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Sazima, M","1973","10","28","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma",NA,NA,NA,NA,NA,"flor","8539","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,"UEC000844","UEC000844",NA,NA
"13","2019-08-20 10:01:50-03","UNICAMP","UEC",NA,"S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Semir, J; Sazima, M","1973","10","30","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, MG 010, km 114.",NA,NA,NA,NA,NA,"flor, Flores brancas e roxo claro","4728","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,"UEC000841",NA,NA,NA
"14","2019-08-20 10:01:50-03","UNICAMP","UEC","17505","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Semir, J; Sazima, M","1973","10","30","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, MG 010, km 114.",NA,NA,NA,NA,NA,"flor, Flores brancas e roxo claro","4728","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,"UEC000842","UEC000842",NA,NA
"15","2020-12-21 16:46:49-03","MBM","MBM","31167","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.","Menezes, N.L.",NA,NA,NA,"Menezes, N.L.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Km 127, Serra do Cipó",NA,NA,NA,NA,NA,NA,"310",NA,NA,NA,NA,"Southern America",NA,"MBM031167","MBM031167",NA,NA
"16","2020-12-21 16:46:49-03","MBM","MBM","59206","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"Joly, A.B.; et al.; et al.",NA,NA,NA,"Brazil","Minas Gerais","Jaboticatubas","Km 113 ao longo da rodovia Lagoa Santa",NA,NA,NA,NA,NA,NA,"s.n.","-43.7449989318848","-19.513599395752","31264","auto","Southern America",NA,"MBM059206","MBM059206",NA,NA
"17","2020-12-11 11:45:28-03","UFMG","BHCB","43719","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:45:28-03","UFMG","BHCB","47281","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:45:28-03","UFMG","BHCB","49910","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
