"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","class","order","occurrenceRemarks","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","preparationType"
"1","2021-03-30 12:53:52-03","EAO","IAN","68021","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","Guglieri, A","2002","11","Dutra, J","588","Southern America","Brasil","Rio Grande do Sul","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","IAN068021","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:09:16-03","CPAN-UFMS","COR","15763","PreservedSpecimen","Plantae",NA,"Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","Guglieri-Caporal, A.",NA,NA,"Guglieri-Caporal, A.; Caporal, F.J.M.","3022",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.8824996948242","-21.6989002227783","185577",NA,"auto","2010","01","19","BR-267, Km 671, Fazenda Retiro Conceição. Área de Chaco alterado.; ;.","87","87",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.3803964","PreservedSpecimen","Plantae",NA,"Gramineae","Panicum","pedersenii","Panicum pedersenii","Zuloaga",NA,NA,NA,"Pedersen TM",NA,"Southern America","Argentina",NA,NA,NA,NA,NA,"NL-L3803964",NA,"1982","12","30","Dep. Concepcion Prov. Corrientes.",NA,NA,"Magnoliopsidae","Poales","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3803964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3803964",NA,NA,NA,NA,NA
"4","2020-02-08 10:18:58-03","NBC","NL-BOTANY","WAG.1179988","PreservedSpecimen","Plantae",NA,"Gramineae","Panicum","pedersenii","Panicum pedersenii","Zuloaga",NA,NA,NA,"Pedersen TM",NA,"Southern America","Argentina",NA,NA,NA,NA,NA,"NL-WAG1179988",NA,"1982","12","30","Dep. Concepcion Prov. Corrientes.",NA,NA,"Magnoliopsidae","Poales","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1179988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1179988",NA,NA,NA,NA,NA
"5","2020-11-04 12:18:45-03","ESALQ","ESA","69689","PreservedSpecimen","Plantae","Magnoliophyta","Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","Guglieri, A.",NA,NA,"Krieger, L.",NA,NA,"Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","ESA069689","auto","1988","01","20",NA,NA,NA,NA,NA,NA,"ESA069689",NA,NA,NA,NA,NA
"6","2020-11-04 12:18:45-03","ESALQ","ESA","17458","PreservedSpecimen","Plantae","Magnoliophyta","Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","Guglieri, A.",NA,NA,"Lacorte, A.J.F.",NA,NA,"Brasil","São Paulo","Pitangueiras","-48.2200012207031","-21","21470","ESA017458","auto","1994","12","11",NA,NA,NA,NA,NA,NA,"ESA017458",NA,NA,NA,NA,NA
"7","2021-04-07 11:47:35-03","UFMS","CGMS","43608","PreservedSpecimen","Plantae",NA,"Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","A. Guglieri-Caporal","2010","05","A. Guglieri-Caporal; F.J.M. Caporal","3201",NA,"Brasil","Mato Grosso do Sul","Figueirão","-53.6469444","-18.6727778",NA,"CGMS1073587",NA,"2010","05","01","Córrego do Mato.","373","373",NA,NA,"Abundante. Habitat: Margem de córrego, próximo à vereda. Habito: Erva.",NA,"01","-53,6469444","-18,6727778",NA,NA
"8","2021-04-07 11:47:35-03","UFMS","CGMS","42972","PreservedSpecimen","Plantae",NA,"Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","A. Guglieri-Caporal","2010","01","A. Guglieri-Caporal; F.J.M. Caporal","3022",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-54.7627778","-21.6894444",NA,"CGMS1072904",NA,"2010","01","19","BR-267, km 671, Fazenda Retiro Conceição.","87","87",NA,NA,NA,NA,"19","-54,7627778","-21,6894444",NA,NA
"9","2021-04-07 11:47:35-03","UFMS","CGMS","19616","PreservedSpecimen","Plantae",NA,"Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","A. Pott; G.A. Damasceno-Júnior; A. Guglieri",NA,NA,"W.M. Ramos; A.M.R. Oliveira; D.R. Neves; C.B. Silva","112",NA,"Brasil","Mato Grosso do Sul","Corumbá","-57.0433333","-19.4877777",NA,"CGMS1048929",NA,"2007","08","01","Curva do Leque.",NA,NA,NA,NA,NA,NA,NA,"-57,0433333","-19,4877777",NA,NA
"10","2021-04-07 11:47:35-03","UFMS","CGMS","26773","PreservedSpecimen","Plantae",NA,"Poaceae","Panicum","pedersenii","Panicum pedersenii","Zuloaga","A. Guglieri","2009","06","A. Guglieri; F.J.M. Caporal","2689",NA,"Brasil","Mato Grosso do Sul","Água Clara","-52.8266667","-20.44",NA,"CGMS1056235",NA,"2009","06","20","Estrada vicinal da BR-262; ca. 9km da rodovia.","353","353",NA,NA,NA,NA,"20","-52,8266667","-20,44",NA,NA
