"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","fieldNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00898532","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Comanthera","suberosa","Comanthera suberosa","(Giul.) L.R.Parra & Giul.","L. Echternacht","R. de Mello-Silva","417","1991","06","10","South America","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina Fazenda Vargem do Anjo. Morro Espigão do Meio.","-43.0594","-18.1422","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898532","NY00898532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00277807","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"A. M. Giulietti","CFCR4463","1984","06","14","South America","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina. Morro do Ambrósio","-43.044518","-18.106432","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277807","NY00277807_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:23:44-03","MBM","MBM","212676","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Mello-Silva, R.; Salatino, M.L.F.; Salatino, A.; Affonso, P.; Salatino, M.L.F.; Salatino, A.; Affonso, P.","417","1991","03","10","Southern America","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina, Fazenda vargem do Anjo. Morro Espigão do Meio","-43.0092010498047","-18.2936000823975",NA,"Plantas no areião, heliófilas, associadas a cupim; Planta heliófila associada a cupim.; No areião.","MBM212676","MBM212676","PARATYPE","26996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:23:44-03","MBM","MBM","212671","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.","Giulietti, A.M.","Giulietti, A.M.; Varanda, E.; Furlan, A.; Harley, R.M.; Wanderley, M.G.; Varanda, E.; Furlan, A.; Harley, R.M.; Wanderley, M.G.","CFCR4463","1984","07","14","Southern America","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrósio","-43.0092010498047","-18.2936000823975",NA,"Exportada. Folhas em roseta mais ou menos eretas, folhas velhas caem deixando caule liso até 10 cm mais ou menos 3cm diam., cortiça muito desenvolvida, raízes pouco desenvolvidas. No carrasco, no areal.; Exportada. Folhas em roseta m","MBM212671","MBM212671",NA,"26996","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:43:59-03","UFMG","BHCB","137984","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","suberosa","Comanthera suberosa","(Giul.) L.R.Parra & Giul.",NA,"Echternacht, LA; Bastos, TV; Almeida, TE; Santos, AMO","2139","2010","04","01","Southern America","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra., Na borda da estrada que segue para a antena, a leste da Serra","-42.70125","-17.991389",NA,"NULL; Erva. Caule espessado, ca. 3 a 4 cm larg., ramificado ou não. Espatas esbranqui~cadas com estrias castanhas. Escapos verdes. Brácteas involucrais externas castanhas, internas cremes. População abundante por toda a Serra; Campo l","BHCB022362",NA,NA,NA,NA,"2015","02","-42.70125","-17.991389","1094","1094",NA,NA,NA,NA
"6","2020-12-11 11:43:59-03","UFMG","BHCB","137995","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Comanthera","suberosa","Comanthera suberosa","(Giul.) L.R.Parra & Giul.",NA,"Echternacht, LA; Bastos, TV; Almeida, TE; Santos, AMO","2150","2010","04","01","Southern America","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra., No alto da Serra, na porção leste, próximo à antena, na direção do Barro Preto.","-42.741472","-18.008806",NA,"Folhas verdes, ciliadas. Espatas glaucescens. Pedúnculos esverdeados com pilosidade levemente serícea. Brácteas involucrais castanhas; Folhas verdes, ciliadas. Espatas glaucescens. Pedúnculos esverdeados com pilosidade levemente serícea. Brácteas inv",NA,NA,NA,NA,NA,NA,NA,"-42.741472","-18.008806","1556","1556",NA,NA,NA,NA
"7","2020-12-11 11:44:10-03","UFMG","BHCB","102177","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Viana, PL; Leite, FSF; Lopes, LE; Ferreira, M","2446","2006","01","10","Southern America","Brasil","Minas Gerais","Rio Vermelho","Serra do Ambrósio.","-43.038889","-18.107778",NA,"Plantas do Brasil.; Ocasionalmente cespitoso.; Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,"-43.038889","-18.107778","1480","1480",NA,NA,NA,NA
"8","2020-12-11 11:44:10-03","UFMG","BHCB","102253","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Viana, PL; Leite, FSF; Lopes, LE; Ferreira, M","2522","2006","06","10","Southern America","Brasil","Minas Gerais","Felício dos Santos","APA Felício, Cachoeira do Sumidouro.","-43.25","-18.233333",NA,"Plantas do Brasil.; Às vezes cespitosa.; Área arenosa, antrópica, em Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,"-43.25","-18.233333","900","900",NA,NA,NA,NA
"9","2020-12-11 11:44:10-03","UFMG","BHCB","10612","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Pimenta, HR","s.n.","1986","11","03","Southern America","Brasil","Minas Gerais","Penha de França",NA,NA,NA,NA,"Herbáceo.; Em areia em campo rupestre. Areal de quartzo.","BHCB035955",NA,NA,NA,NA,"2016","06",NA,NA,NA,NA,"16",NA,NA,NA
"10","2020-12-11 11:44:10-03","UFMG","BHCB","123162","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Mota, NFO; Viana, PL; Giorni, VT; Novaes, RML","1362","2008","08","26","Southern America","Brasil","Minas Gerais","Rio Vermelho","Distrito de Pedra Menina. Serra da Pedra Redonda.","-43.137778","-18.115833",NA,"Planta armazenada no álcool.; Herbáceo terrestre. Capítulos imaturos dourados. Lâminas com tricomas alvos nas margens.; Campo arenoso.",NA,NA,NA,NA,NA,NA,NA,"-43.137778","-18.115833","1530","1530",NA,NA,NA,NA
"11","2020-12-11 11:44:10-03","UFMG","BHCB","138003","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Echternacht, LA; Bastos, TV; Almeida, TE; Santos, AMO","2158","2010","04","03","Southern America","Brasil","Minas Gerais","Felício dos Santos","Cachoeira do Sumidouro., Na estrada que vai para cachoeira, antes da antena.","-43.210694","-18.197639",NA,"NULL; Capítulos velhos. Espatas acinzentadas, escapos esverdeados. Brácteas involucrais externas cast.anho-claras, internas cremes.; Campo limpo arenoso vegetação herbácea. Solo de areia grossa e seca, branca.",NA,NA,NA,NA,NA,NA,NA,"-43.210694","-18.197639","979","979",NA,NA,NA,NA
"12","2020-12-11 11:44:10-03","UFMG","BHCB","29950","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Poliquesi, CB; Cruz, JM da","223","1995","03","09",NA,NA,NA,NA,NA,NA,NA,NA,"Flora do Cerrado/ Campo rupestre - Campos de Areias Quartzosas.; Relativamente frequente. Planta rizomatosa de ca. 0,5m.; Solo de areia grossa, profunda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA
"13","2020-12-11 11:44:10-03","UFMG","BHCB","90547","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Viana, PL; Mota, NFO; Salino, A; Santos, FMG; Almeida, TE; Bispo, H","1908","2004","10","08","Southern America","Brasil","Minas Gerais","Felício dos Santos","APA Felício","-43.283333","-18.166667",NA,"Plantas do Brasil.; Campo rupestre com solo arenoso.",NA,NA,NA,NA,NA,NA,NA,"-43.283333","-18.166667","1000","1400",NA,NA,NA,NA
"14","2020-12-11 11:44:10-03","UFMG","BHCB","150701","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Neves, ACO; Giorni, VT","1","2008","07","02","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Borda da trilha para o Córrego da Lapa","-43.3908004760742","-18.0041999816895",NA,"Material sem flor. Dúvida na identificação; Planta no fim da estação reprodutiva (somente um capítulo); Na beira da mata, em terreno arenoso","BHCB035941",NA,NA,"26697","auto","2016","06",NA,NA,NA,NA,"15",NA,NA,NA
"15","2020-12-11 11:44:10-03","UFMG","BHCB","39787","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Giulietti, AM; Varanda, E; Furlan, A; Harley, RM; Wanderley, MGL","4463","1984","07","14","Southern America","Brasil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrósio","-43.0092010498047","-18.2936000823975",NA,"Vive simpatricamenrte com 4460.; Exportada. Folhas em roseta +- eretas, folhas velhas caem deixando caule liso até 10 cm compr. +- 3 cm de diâmetro, cortiça muito desenvolvida, raízes pouco desenvolvidas.; No carrasco, no areal.","BHCB000124","BHCB000124 BHCB000124_01","Isotypus","26996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-15 15:30:17-03","UNESP-RC","HRCB","63694","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","suberosa","Comanthera suberosa","(Giul.) L.R.Parra & Giul.",NA,"Dugarte",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio","-43.046194","-18.136083",NA,NA,NA,NA,NA,NA,NA,NA,NA,"43°02'46.3W","18°08'09.9S",NA,NA,NA,NA,NA,NA
"17","2020-06-15 15:30:17-03","UNESP-RC","HRCB","63697","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera","suberosa","Comanthera suberosa","(Giul.) L.R.Parra & Giul.",NA,"Dugarte",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.701361","-17.991333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42°42'04.9W","17°59'28.8S",NA,NA,NA,NA,NA,NA
"18","2021-03-15 18:26:47-03","USP","SPF","33278","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Giulietti, AM; Varanda, EM; Furlan, A; Giulietti, AM; Harley, RM; et al.","CFCR4463","1984","07","14",NA,"Brasil","Minas Gerais","Rio Vermelho","Morro do Ambrósio, Pedra Menina. No carrasco, no areal.","-43.0092010498047","-18.2936000823975",NA,"Exportada. Folhas em roseta mais ou menos eretas, folhas velhas caem deixando caule liso até 10 cm. de comprimento. Mais ou menos 3 cm. de diâmetro. Cortiça muito desenvolvida, raizes pouco desenvolvidas. Vive simpatrica/ com 4460.","SPF00033278",NA,"holotype","26996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:21:30-03","UEFS","HUEFS","32325","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","suberosus","Syngonanthus suberosus","Giul.",NA,"Mello-Silva, R.","10273","1986","09","09",NA,"Brasil","Minas Gerais","Rio Vermelho","Pedra Minina. Platô Pedra Minina.","-43.0092010498047","-18.2936000823975",NA,NA,"HUEFS0032325","HUEFS0032325","Parátipo","26996","auto",NA,NA,NA,NA,"1570","1570",NA,"Lilianae",NA,NA
