"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","498000","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","P. C. Boyce","A. M. V. de Carvalho","4350","1994","02","09","South America","Brazil","Bahia","Itajuípe","Distrito de Uniao Queimada. Ca. 4 km na estrada de Uniao Queimada para Pimenteira","-39.375","-14.6783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498000","NY00498000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686056","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","T. B. Croat","J. G. Jardim","2990","2000","04","21","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú Rodovia Serra Grande/Uruçuca, 9.4 km. Serra do Conduru vertente E.","-39.2842","-14.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686056","NY00686056_01","250","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3802568","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"J. L. Luteyn","6317","1978","11","18","South America","Venezuela","Bolívar","Gran Sabana","Km. 191.4 along El Dorado - Sta. Elena road",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106555' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802568",NA,"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498001","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","G. S. Bunting","R. M. Harley","18132","1977","01","20","South America","Brazil","Bahia","Porto Seguro","Reserva Biologica do Pau Brasil (CEPLAC) 17 km W from Porto Seguro on road to Eunápolis","-39.18","-16.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498001","NY00498001_01",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","497999","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","S. J. Mayo","A. M. Amorim","1558","1993","11","28","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497999","NY00497999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498100","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"T. B. Croat","56560","1983","05","08","South America","Colombia","Antioquia",NA,"Rio Claro, along hwy. between Pto. Triumfo and Medellin, along rocky cliffs and banks near the river S of the hwy, ca 1 km","-74.85","5.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498100","NY00498100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","872986","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","T. B. Croat","N. A. Rosa","2805","1978","12","01","South America","Brazil","Maranhão","Turiaçu","Km 6 da BR 106 Maracaçumé-Sta. Helena, fazenda Maracaçumé Agro Industrial Grupo Mesbla.","-45.3717","-1.6633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872986","NY00872986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","870018","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"T. B. Croat","85238","2001","11","15","South America","Brazil","Acre","Porto Walter","Municipio Porto Walter; along Rio Juruá Mirim; Communidade Estremo, left bank of river; disturbed primary forest.","-72.9466667","-8.20222222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870018","NY00870018_02","230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","498003","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","S. J. Mayo","A. M. Amorim","364","1991",NA,NA,"South America","Brazil","Bahia","Uruçuca","Distrito Serra Grande. Estrada Ilhéus/Serra Grande","-39.2842","-14.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498003","NY00498003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3802566","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"J. A. Steyermark","90699","1962","01","05","South America","Venezuela","Bolívar",NA,"Bosque a lo largo de la frontera Venezolano-Brasilera, moreste de la Serranía Pia-soi (Pia-shauhy, Pia-sAVI)","-62.77","3.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106553' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802566",NA,"650","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","498101","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"T. B. Croat","59338","1984","11","26","South America","Venezuela","Amazonas",NA,"Vicinity of Cerro Neblina base camp on Río Mawarinuma","-66.17","0.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498101","NY00498101_01","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","885875","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","T. B. Croat","W. W. Thomas","13442","2003","03","19","South America","Brazil","Bahia","Ibirapitanga","23 km N of Itamarati on BR 101, then 6.8 km E on road to Embratel Tower. Reserva Municipal Cachoeira do Pau","-39.4592","-13.8908",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=455250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885875","NY00885875_01","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","498002","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","S. J. Mayo","J. G. Jardim","512","1994","07","28","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una, Picada do Marimbondo","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498002","NY00498002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3802564","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"B. Maguire","46128A","1961","09","07","South America","Guyana",NA,NA,"Southern Pakaraima Mountains, en route to Chimapu from Kopinang Falls",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106551' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3802570","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"H. L. Clark","6809","1978","09","28","South America","Venezuela","Amazonas",NA,"San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare. Small wooded island in Rio Negro, near mouth of Cano Marimajare, ca. 2 km S of San Carlos","-67.05","1.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106557' target='other'> <mi>dwc_moreinfo</mi></a>","NY03802570",NA,"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
