"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","imagecode","identifiedBy","scientificNameAuthorship","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3832416","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","A. M. Navaro","254","1991","06","06","South America","Ecuador","Napo","Road from Tena to Baeza, 45 km N of Tena.","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113089' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3832407","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","Collector unknown","B.T.468",NA,NA,NA,"South America","Colombia",NA,"Minas",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113080' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3832418","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","A. L. Monteagudo Mendoza","8025","2005","01","29","South America","Peru","Pasco","Dist. Huancabamba. Sector Santa Barbara. Parque Nacional Yanachaga-Chemillén.","3200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113091' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832418","Oxapampa","-75.38","-10.2","3300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3832371","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","M. T. Murillo-Pulido","403","1961","10","14","South America","Colombia","Cundinamarca","Zipáquirá, Alto del Aguila.","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113044' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832371",NA,NA,NA,"3200","NY03832371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3832386","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","J. A. Steyermark","129271","1983","03","30","South America","Venezuela","Amazonas","Departamento Atabapo: CERRO MARAHUACA: Cumbre, extremo noreste.","2580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113059' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832386",NA,"-65.47","3.83","2600","NY03832386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3832499","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","G. W. Harling","21959","1985","02","12","South America","Ecuador","Zamora-Chinchipe","Loja-Zamora Road at the pass","2900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113172' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3832365","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","A. Vasco","594","2006","08","07","South America","Colombia","Caldas","PNN los Nevados, Alto del Cisne.","4127","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113038' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832365",NA,"-75.36764","4.85475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3832443","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","H. H. Rusby","451","1885",NA,NA,"South America","Bolivia","La Paz","Near Yungas","1219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113116' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832443",NA,NA,NA,NA,"NY03832443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3832508","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","W. H. Camp","E699","1944","10","10","South America","Ecuador","Loja","Loma de Oro, just south of Saraguro.","3200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113181' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3832488","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","W. H. Camp","E5247","1945","09","04","South America","Ecuador","Azuay","Ridge between El Pan and Guachapala.","2286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113161' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832488",NA,NA,NA,"2987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","3832414","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","E. P. Killip","34192","1939","03","16","South America","Colombia","Cundinamarca","Boquer­ón de Chipaque.","3150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113087' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832414",NA,NA,NA,"3250","NY03832414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3832396","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","W. D. Rodríguez-Duque","5536A","2005","10","03","South America","Colombia","Antioquia","Mpio. Bello. Corregimiento de San Félix, Alto de Las Baldías, sector Antenas de el Colombiano.","2950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113069' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832396",NA,"-75.6483","6.3439","3050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3832470","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","J. L. Jaramillo","13103","1990","10","10","South America","Ecuador","Sucumbíos","Sendero hacia el Volcán El Reventador.","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113143' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832470",NA,NA,NA,"2280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3832489","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","W. H. Camp","E69","1944","06","28","South America","Ecuador",NA,"Prov. Santiago-Zamora (Oriente): Valley of the rio Zamora, east of Loja. Along trail between rio Sabanilla and Canillones Tambo.","1372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113162' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832489",NA,NA,NA,"2134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3832415","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Diphasium","jussiaei","Diphasium jussiaei","I. Jiménez-Pérez","2143","2004","04","16","South America","Bolivia","La Paz","PN-ANMI Cotapata, Estación Biológica de Tunquini, senda antigua a la mina","2340","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4113088' target='other'> <mi>dwc_moreinfo</mi></a>","NY03832415","Nor Yungas","-67.88","-16.18",NA,"NY03832415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
