"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02086645","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","P. J. M. Maas","9147","2001","10","22","South America","Brazil","Acre","Cruzeiro do Sul","BR-364, km 70, Unidade de Assentamento Santa Luzia, Ramal 3, Gleba 1","-72.4514","-7.6717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230158' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086645","NY02086645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2086515","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. A. Black","51-12708","1951","08","18","South America","Brazil",NA,NA,"Territorio do Rio Branco. Campo, a 3 km de Bôa Vista.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230178' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086515","NY02086515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","902579","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J.-J. de Granville","11379","1991","04","21","South America","French Guiana",NA,NA,"D.Z. de Haut-Kourcibo, Bassin de Sinnamary","-53.2883","4.4731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902579",NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","902586","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","S. A. Mori","23091","1993","08","04","South America","French Guiana",NA,"Saul","Route de Balizon. Between Eaux Claires and entrance to Layon Biche.","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902586",NA,"200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2086517","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J. M. Pires","52325","1962","08","04","South America","Brazil","Amapá",NA,"Coastal Region, edge of Iragapé Ariramba.","-51.05","1.216667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230180' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086517","NY02086517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","902578","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","B. Hoffman","2535","1992","09","11","South America","Guyana","Pomeroon-Supenaam",NA,"Akawini River, 0.5 km downstream from Waikinipu Creek mouth.","-58.78","7.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902578",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00686526","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","R. M. Harley","17980","1977","01","16","South America","Brazil","Bahia",NA,"Between Alcobaça & Prado, on the coast road 12 km N of Alcobaça.","-39.22","-17.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686526","NY00686526_01",NA,NA,"H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2086511","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","T. C. Plowman","9122","1980","02","24","South America","Brazil","Pará","Conceição do Araguaia","2 km west of town along highway PA-287","-49.3","-8.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230174' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086511","NY02086511_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00686521","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","A. P. Duarte","6070","1961","08","27","South America","Brazil","Bahia","Porto Seguro","Porto Seguro, Pedro Deiró","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686521","NY00686521_01",NA,NA,"H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00898512","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","R. M. Harley","11219",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,"Just South of the Rio Suia Missu ferry, about 40 km. NW of base camp","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898512","NY00898512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01369553","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","W. D. Richardson","506","1959","02","04","South America","Trinidad and Tobago",NA,NA,"Aripo Savanna. Trinidad.","-61.193151","10.611195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01369553","NY01369553_01","30.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2086508","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. T. Prance","5839","1968","07","10","South America","Brazil","Rondônia",NA,"Basin Rio Madeira; Km 216-219 Madeira-Mamoré railroad near Abunã.","-65.2821538","-9.7949164","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230171' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086508","NY02086508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2086650","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. Martinelli","6818","1980","06","09","South America","Brazil","Pará","Oriximiná","Campos de Ariramba, próximo ao igarapé de Jaramacurú.","-55.58","-1.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230163' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086650","NY02086650_01","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","902585","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","M. J. Jansen-Jacobs","6250","2003","01","26","South America","Suriname","Marowijne",NA,"Nassau Mts., Plateau C, lateritic rocky soil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902585",NA,"500","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2086639","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J. T. Baldwin Jr.","3227","1944","03","03","South America","Brazil","Amazonas",NA,"Marabitantas, Rio Negro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230152' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086639","NY02086639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2086643","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. T. Prance","1746","1965","10","28","South America","Brazil","Pará",NA,"Banks of Rio Piria, North of Km 90.","-46.591256","-1.736043","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230156' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086643","NY02086643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","902598","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J. S. de la Cruz","s.n.","1923","05","10","South America","Guyana",NA,NA,"Wanama River; Northwest District","-60.25","7.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","03330523","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J. C. Betancur","9949","2003","03","18","South America","Colombia","Vaupes","Mitu","Rio Cuduyari, entre raudal Tukano y poco despues de Arara Cuduyari","-70.6436","-1.3819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3638659' target='other'> <mi>dwc_moreinfo</mi></a>","NY03330523","NY03330523_01","380","410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","902599","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","L. P. Kvist","109","1987","10","08","South America","Guyana","Potaro-Siparuni",NA,"Kaieteur Falls,vicinity of Kaieteur airstrip","-59.48","5.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902599",NA,"450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00898514","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. G. Hatschbach","62954","1995","08","11","South America","Brazil","Minas Gerais",NA,"Mun. Pedro Canário, Rod. BR-101, 1 km S de Pedro Canário",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898514","NY00898514_01",NA,NA,"S. F. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02086501","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","R. Spruce","s.n.","1849","07",NA,"South America","Brazil","Pará",NA,"In vicinibus Para",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230164' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086501","NY02086501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","902576","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. S. Jenman","3718","1887","04",NA,"South America","Guyana",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01132198","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","M. J. G. Andrade","614","2004","02","24","South America","Brazil","Pernambuco","Recife","Reserva de Dois Irmãos, numa área alagada próximo ao açude do prata.","-34.8808","-8.0542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132198","NY01132198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2086503","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","J. L. Zarucchi","2972","1983","07","07","South America","Brazil","Amazonas",NA,"Axinim. Rio Abacaxis, along Petrobras road from Igarapé Axinim.","-58.72","-4.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230166' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086503","NY02086503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01369552","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","N. L. Britton","1069","1920","03","27","South America","Trinidad and Tobago","Siparia",NA,"Border of Pitch Lake.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01369552","NY01369552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","902583","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","A. Raynal-Roques","19824","1978","01","13","South America","French Guiana",NA,NA,NA,"-52.2667","4.6917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00898510","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","D. C. Daly","D201","1980","09","22","South America","Brazil","Maranhão","Zé Doca","Km 155 of Br 316.","-45.67","-3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898510","NY00898510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2086636","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","B. W. Nelson","918","1980","12","21","South America","Brazil","Amazonas","Manaus","Rio Branquinho, perto do rio Cuieras.-Igapó arenoso do Rio Branquinho, perto do Rio Cuieiras. Água Clara, baixa. Sobre areia branca.","-60.3200886","-2.5451154","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230149' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086636","NY02086636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","902588","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. Cremers","13001","1993","02","14","South America","French Guiana",NA,NA,"Layon Eaux Claires - Region de Saul","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902588",NA,"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","902582","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","Á. Fernández","3007","1987","02",NA,"South America","Venezuela","Bolivar","Piar","Orilla de quebrada. Las Patillas.","-62.57","7.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","902580","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","M.-F. Prévost","3861","2000","05","23","South America","French Guiana",NA,"Montsinery","Pres de Montsinery","-52.5","4.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1027852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00902580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00898509","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","F. E. Drouet","2558","1935","10","04","South America","Brazil","Ceará","Fortaleza","At east end of Avenida Heradito Graça, Fortaleza","-38.5431","-3.7172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898509","NY00898509_01",NA,NA,"L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00686525","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. Gardner","?6010","1836",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686525","NY00686525_01",NA,NA,"H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00103718","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis obtusifolia","Moldenke","N. Y. Sandwith","1042","1937","08","12","South America","Guyana",NA,NA,"Mazaruni station",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=178014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103718","NY00103718_01",NA,NA,"H. N. Moldenke","obtusifolia","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02086510","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Tonina","fluviatilis","Tonina fluviatilis","Aubl.","G. T. Prance","15242","1971","10","14","South America","Brazil","Amazonas",NA,"Rio Negro between Ilha Uabetuba & Ilha da Silva.","-64","-0.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2230173' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086510","NY02086510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
