"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2020-09-23 10:43:50-03","E","E","79696","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","Fay, Alice & Fay, Louis","3626","1992","07","14","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:88161","<a href=http://data.rbge.org.uk/herb/E00079696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00079696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","79697","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","Fay, Alice & Fay, Louis","3626","1992","07","14","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:88162","<a href=http://data.rbge.org.uk/herb/E00079697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00079697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","230039","PreservedSpecimen","Plantae","Thelypteridaceae","Meniscium","angustifolium","Meniscium angustifolium","D. C. Daly","8764","1995","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230039","Pteridophyta","Polypodiales","Willd.","J. Prado; R. Y. Hirai","Acre","Tarauacá","Basin of Rio Juruá, Rio Tarauacá, left bank, Reserva Indígena Praia do Carapaná, Seringal Universo, Colocaçao Samaúma.","-71.2878","-8.3839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4026582","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","E. P. Killip","25260","1929","06","19","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335054' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026582","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"Junín",NA,"Río Paucartambo Valley, near Perene Bridge","-75.222957","-10.951349","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4026575","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","H. H. Smith","1053","1898",NA,NA,"South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335047' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026575","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,NA,NA,"Santa Marta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4026578","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","M. T. Murillo-Pulido","587","1962","02","07","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335050' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026578","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"Tolima",NA,"Qbra. de La Picota, entre Mariquita y Hondo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","920319","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","H. G. P. Santos","387","1994","09","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00920319","Pteridophyta","Polypodiales","(Willd.) Proctor","R. C. Moran","Goiás","Caldas Novas","Córrego Gameleira, próximo a cachoeira","-48.62","-17.73","686","686","NY00920319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","482504","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","M. Silveira","1292","1996","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482504","Pteridophyta","Polypodiales","(Willd.) Proctor","R. C. Moran","Acre","Mâncio Lima","Bacia do Alto Juruá, Rio Moa, Parque Nacional da Serra do Divisor, 45 min subindo após foz do Ramón.","-73.7242","-7.5144",NA,NA,"NY00482504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4026574","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","H. H. Smith","1053","1899","05",NA,"South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335046' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026574","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,NA,NA,"Santa Marta. Cacagualito.",NA,NA,"457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4026579","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","W. D. Rodríguez-Duque","4353","2003","11","16","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335051' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026579","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"Antioquia",NA,"Mpio: Anorí. Vereda Madre Seca, quebrada Espíritu Santo","-75.05164","7.26347","685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02708146","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","A. L. Monteagudo Mendoza","14245","2007","07","12","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994337' target='other'> <mi>dwc_moreinfo</mi></a>","NY02708146","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"Pasco","Oxapampa","Distrito Palcazú. Parque Nacional Yanachaga-Chemillén, trocha desde la estación biológica de Paujil a Pozo Tigre.","-75.2667","-10.3319","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4026559","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","R. S. Williams","1194","1902","02","05","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335031' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026559","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"La Paz","Franz Tamayo","Iridia",NA,NA,"1219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4026560","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","R. S. Williams","1194","1902","02","05","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335032' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026560","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,"La Paz","Franz Tamayo","Iridia",NA,NA,"1219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4026564","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","angustifolia","Thelypteris angustifolia","H. H. Smith","2713","1898",NA,NA,"South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4335036' target='other'> <mi>dwc_moreinfo</mi></a>","NY04026564","Pteridophyta","Polypodiales","(Willd.) Proctor",NA,NA,NA,"Santa Marta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
