"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","order","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02331336","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","W. R. Buck","26853","1994","10","27","South America","Brazil","Bahia","Rio de Contas","Chapada Diamantina, lower slopes of Pico das Almas, ca. 15 km NW of Rio de Contas on road to Brumadinho","-41.87","-13.47","1250","1510","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2516282' target='other'> <mi>dwc_moreinfo</mi></a>","NY02331336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1833304","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","D. M. Vital","11939","1984","09","19","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira Casca D'Anta.","-46.52","-20.3","1000",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833304","NY01833304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1833312","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","S. P. Churchill","18687","1995","01","10","South America","Colombia","Antioquia","Sonsón","Vereda San Francisco. Cordillera Central. Alto de Palomas (Paramo de Sonson).","-75.23","5.73","2775","3245","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040480' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01833315","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum purpurascens","Warnst.","H. A. Crum","D. M. Vital","19814","1991","07","06","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia, Vale dos Lirios, along entry road near border with Minas Gerais near Km 15.","-44.7","-22.37","2400",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833315",NA,"purpurascens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1833303","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.",NA,"D. H. Vitt","21024","1977","09","04","South America","Brazil","Santa Catarina",NA,"North of Curitibanos. Km. 215.3 of BR 116. 24 km N of junction with SC 453 to Lebon Regis.","-50.28","-26.87","1010",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040471' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833303","NY01833303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1833310","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","R. Espinosa","E866","1946","06","11","South America","Ecuador",NA,NA,"Hac. Horta-Naque.",NA,NA,"3100",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1833305","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","D. M. Vital","11929","1984","09","19","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira Casca D'Anta.","-46.52","-20.3","1200",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833305","NY01833305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03912032","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","W. R. Buck","W. W. Thomas","15035","2009","12","15","South America","Brazil","Paraíba","Mamanguape","Reserva Biológica Guaribas, Area 1, Capim Azul.","-35.1239","-6.6953","158",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330954' target='other'> <mi>dwc_moreinfo</mi></a>","NY03912032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1833313","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","D. F. Fares","A. Sehnem","239","1942","01","14","South America","Brazil","Rio Grande do Sul",NA,"Bom Jesús.",NA,NA,"1100",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01833313","NY01833313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02331335","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","aciphyllum","Sphagnum aciphyllum","Müll.Hal.","H. A. Crum","W. R. Buck","27035","1994","10","31","South America","Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó, along trail from Tronqueira to Terreirao, along Rio José Pedro","-41.73","-20.43","1970","2350","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2516281' target='other'> <mi>dwc_moreinfo</mi></a>","NY02331335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
