"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","1488215","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","G. Davidse","D. C. Daly","11060","2001","10","25","South America","Brazil","Acre","Santa Rosa do Purus","Rio Purus, left bank, Colocaçao Santa Helena; trail to Rio Envira.","-70.1769","-9.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01488215","NY01488215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","772563","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"C. E. Calderón","2042","1968","01","13","South America","Brazil","Bahia","Ubaitaba","Km 5, rodovía Lages-Ubaitaba","-39.325","-14.3092","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772563","NY00772563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01093072","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","P. Gonçalves","J. R. Pirani","1023","1985","01","09","South America","Brazil","Rio de Janeiro","Armaçao dos Búzios","Estrada para Barra de São João.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246871' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093072","NY01093072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","772556","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","T. R. Soderstrom","D. S. D. de Araújo","1712","1977","05","26","South America","Brazil","Rio de Janeiro",NA,"Restinga de Marambaia, Gaeta",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772556","NY00772556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02618512","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"H. T. Beck","286","1987","11","04","South America","Brazil","Pará",NA,"Cuanta do Anajás. Rio Anajás, between Anajás and Vista Alegre.","-49.8","-0.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2924061' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618512","NY02618512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","772557","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","G. Davidse","R. Callejas Posada","1638","1983","11","04","South America","Brazil","Bahia","Porto Seguro","Km 14 da estrada Porto Seguro-Eunápolis. (BR 367)","-39.08","-16.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772557","NY00772557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","865738","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","G. Davidse","G. T. Prance","7813","1968","10","04","South America","Brazil","Acre","Sena Madureira","East of Rio Iaco, +/- 10 km above Sena Madureira","-68.676216","-9.116428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865738","NY00865738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3107184","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"J. L. Clark","9506","2006","06","25","South America","Ecuador","Napo",NA,"Yasuni Biosphere Reserve. Tiputini Biodiversity Station (owned by the Universidad San Francisco, Quito). Sendero Harpi to Los Puentes.","-76.1493611","-0.6363053","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2909104' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107184","NY03107184_01","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 02:08:00-03","NY","NYBG","772569","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius",NA,"E. J. Judziewicz","D. A. Neill","6043","1985","03","10","South America","Ecuador","Napo",NA,"9 km rio abajo de Puerto Misahualli y 2 km al Sur de la cuenca del Rio Chinguipino","-77.6","-1.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772569",NA,"430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","772565","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"C. E. Calderón","2048","1968","01","18","South America","Brazil","Bahia","Porto Seguro","Km 12 Pôrto Seguro para Euriápolis","-39.17","-16.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772565","NY00772565_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","772568","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","L. G. Clark","W. W. Thomas","9227","1992","05","08","South America","Brazil","Bahia","Ilhéus","Along rd from Ilhéus to Serra Grande, 16.6 km S of Serra Grande (ca. 19 km N of Ilhéus), just N of Tulha","-39.15","-14.68","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772568","NY00772568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","772571","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","G. Davidse","J. C. Solomon","6421","1981","09","25","South America","Bolivia","El Beni","Vaca Díez","20.8 km E of Riberalta on road to Guayaramerin","-65.9","-11.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772571",NA,"230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","772567","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"C. E. Calderón","2203","1972","04","06","South America","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal: Monte Pascoal","-39.4","-16.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772567","NY00772567_01","210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00896160","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","E. J. Judziewicz","N. A. Rosa","2170","1977","06","23","South America","Brazil","Mato Grosso","Aripuanã","Margem direita do R. Juruena, fazenda Ariel, SC 21 VC","-58.3804411","-11.0249185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896160","NY00896160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","772566","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"C. E. Calderón","2211","1972","04","09","South America","Brazil","Bahia","Itamarajú","Riverao de Fora: 4 km S. of Itamarajú City on road Itamarajú-Teixeira de Freitas","-39.33","-17.075","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772566","NY00772566_01","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","684422","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","G. Davidse","W. W. Thomas","12355","2001","03","18","South America","Brazil","Bahia","Itanhém","Fazenda Pedra Grande, 16.2 km west of Itanhém on road to Batinga, then 0.6 km north to Fazenda (owner Otevaldo Resende da Silva)","-40.4214","-17.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684422","NY00684422_01","260","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","772564","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"C. E. Calderón","2032","1968","01","11","South America","Brazil","Bahia","Ubaitaba","Km 5 rodovía Lages-Ubaitaba, lado norte","-39.325","-14.3092","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772564","NY00772564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","772562","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.","L. G. Clark","A. M. V. de Carvalho","4383","1994","02","10","South America","Brazil","Bahia","Una","9 km from BR-101 along road from S. José to Una","-39.28","-15.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772562","NY00772562_01","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02618509","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pharus","latifolius","Pharus latifolius","L.",NA,"B. A. Krukoff","6461","1934","10","05","South America","Brazil","Amazonas","Humaitá","Near Tres Casas.","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2924049' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
