"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00713912","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","myuros","Mimosa myuros","Barneby","A. Savassi-Coutinho","isotype","J. Vidal","2149","1948","11","South America","Brazil","Minas Gerais","Faxenda Sao Bento, Passa Quatro, Serra da Mantiquiera [details from protologue]","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00713912","NY00713912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1043462","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","myuros","Mimosa myuros","Barneby","A. Savassi-Coutinho","not a type","A. F. M. Glaziou","8651",NA,NA,"South America","Brazil","Minas Gerais","Fda. do Rio Preto",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2063265","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","myuros","Mimosa myuros","Barneby",NA,NA,"A. Savassi-Coutinho","1232","2007","12","South America","Brazil","Minas Gerais","Estrada Sapucaí Mirim-Monte Verde. Beira da estrada.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364913' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063265","NY02063265_01","20","Sapucaí-Mirim","-45.7425003051758","-22.7478008270264","23877","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:10:00-03","ESALQ","ESA","123269","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,NA,NA,"Ribeiro, R.D.","554.0","2005","11",NA,"Brasil","Rio de Janeiro","Salinas, Alto do Vale dos Deuses.",NA,NA,NA,NA,"ESA123269",NA,"27","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:10:00-03","ESALQ","ESA","114171","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,"Savassi-Coutinho, A.P.",NA,"Kuhlmann, J.G.","2908.0","1953","11",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA114171","ESA114171","06","Sapucaí Mirim",NA,NA,NA,NA,"2010","09","25",NA,NA,NA,NA
"6","2020-11-04 11:10:00-03","ESALQ","ESA","113989","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,"Savassi-Coutinho, A.P.",NA,"Savassi-Coutinho, A.P.","1177.0","2006","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA113989","ESA113989","08","Passa Quatro","-44.9667015075684","-22.3903007507324","17293","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:10:00-03","ESALQ","ESA","113988","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,"Savassi-Coutinho, A.P.",NA,"Savassi-Coutinho, A.P.","1232.0","2007","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA113988","ESA113988","20","Sapucaí Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:10:00-03","ESALQ","ESA","113867","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,"Savassi-Coutinho, A.P.",NA,"Ribeiro, R.D.","430.0","2005","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"ESA113867","ESA113867","08","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","2010","09","25",NA,NA,NA,NA
"9","2020-11-04 11:10:00-03","ESALQ","ESA","113868","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros",NA,"Savassi-Coutinho, A.P.",NA,"Ribeiro, R.D.","429.0","2005","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"ESA113868","ESA113868","08","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","2010","09","25",NA,NA,NA,NA
"10","2019-11-21 14:36:55-03","UFJF","CESJ","61508","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Mimosa","myuros","Mimosa myuros","Barneby","A.P.Savassi-Coutinho",NA,"A.P.Savassi-Coutinho; C.E.B.Coutinho, CRodrigues","1232","2007","12","América do Sul","Brasil","Minas Gerais","Estrada Sapucaí Mirim-Monte Verde., Beira de estrada, mata ciliar.",NA,NA,NA,"Árvore, ca. 6m alt. Corola verde e filetes brancos. Em mata ciliar, na borda de rio.","CESJ061508",NA,"20","Sapucaí Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
