"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","county","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:56-03","E","E","259149","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens","unspecified kind of","Spruce, Richard","2569","E. Tropical South America","BR","Amazonas","Near Panure and Rio Uaupes","herbarium specimen of unspecif","BGBASE:266416","<a href=http://data.rbge.org.uk/herb/E00259149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","312429","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","peltata","Utricularia peltata","isotype","R. Spruce","2569","South America",NA,NA,"[South America:] Prope Panurè ad Rio Uaupes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312429","Magnoliophyta","Lamiales","Spruce","1852","10","-68.5121369","0.2251762","NY00312429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","312431","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","puberula","Utricularia puberula","isotype","G. Gardner","s.n.","South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312431","Magnoliophyta","Lamiales","Benj.","1836",NA,NA,NA,"NY00312431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3857660","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"J. A. Steyermark","93","South America","Venezuela","Bolívar","Along west branch of headwaters of Río Tirica above Upper Falls","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135438' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857660","Magnoliophyta","Lamiales","Sm.","1955","01",NA,NA,NA,"17","2900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3857658","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"J. A. Steyermark","438","South America","Venezuela","Bolívar","along Río Tirica between Middle Falls of Río Tirica and Summit Camp","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135436' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857658","Magnoliophyta","Lamiales","Sm.","1955","02",NA,NA,NA,"05","1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3857651","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"O. Huber","10017","South America","Venezuela","Bolívar","altiplanicie que rodea la cumbre del Uei-tepui (Cerro del Sol), sector occidental, por encima del valle del Río Arabopó","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135429' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857651","Magnoliophyta","Lamiales","Sm.","1985","01","-60.62","5",NA,"22","2150","Roscio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3857654","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"B. Maguire","53705","South America","Venezuela","Bolívar","Alto Río Cuyuni, Río Chicanán, Qubrada Pitón, Cerro Pitón, Cordillera Epicara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135432' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857654","Magnoliophyta","Lamiales","Sm.","1962","09",NA,NA,NA,"09","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01171663","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"J. M. Poole","1892","South America","Brazil","Amazonas","Along Rio Marié at Manauná; near waterfall in side stream","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171663","Magnoliophyta","Lamiales","Sm.","1979","07","-66.75","-0.67","NY01171663_01","06",NA,"Manaus","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3857653","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"B. Maguire","42224","South America","Venezuela","Amazonas","Banks of Canon Grande, east of cumbre camp, Cerro de la Neblina, Rio Yatua","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135431' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857653","Magnoliophyta","Lamiales","Sm.","1957","11",NA,NA,NA,"24","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01171664","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","pubescens","Utricularia pubescens",NA,"G. T. Prance","9798","South America","Brazil","Roraima","Vicinity of Auaris: upper slopes of Serra Parima, south of Auaris","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171664","Magnoliophyta","Lamiales","Sm.","1969","02","-64.37","4.05","NY01171664_01","10","1400",NA,"P. G. Taylor","1520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
