"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","minimumElevationInMeters","maximumElevationInMeters","individualCount","county","class","order"
"1","2021-03-15 16:37:00-03","NY","NYBG","1672664","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","W. C. Steere","26609","1983","10","21","South America","Ecuador","PROV. CARCHI: Cordillera Occidental, Paramo de El Angel, Tulcan-El Angel road, in elfin forest; alt. ca. 12,000 ft","-77.933333","0.7","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672664","NY01672664_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1672668","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","B. M. Thiers","5503","1988","10","20","South America","Colombia","Depto. Cundinamarca. Paramo El Tablazo, 3500 m. Paramo vegetation with Espeletia barclayana, shrubs and gallery forest.",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672668","NY01672668_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1672666","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","W. R. Buck","10245","1983","12","22","South America","Ecuador","ca. 12 Km N of El Angel town square","-77.92","0.75","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672666","NY01672666_01","B. M. Thiers","Carchi","3730","3730",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1672665","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","W. R. Buck","10226","1983","12","22","South America","Ecuador","ca. 12 Km N of El Angel town square","-77.92","0.75","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672665","NY01672665_01","B. M. Thiers","Carchi","3730","3730",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1672669","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","B. M. Thiers","5489","1988","10","20","South America","Colombia","Depto. Cundinamarca. Paramo El Tablazo, 3500 m. Paramo vegetation with Espeletia barclayana, shrubs and gallery forest.",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672669","NY01672669_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1672667","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","D. G. Griffin","PV-865","1985","02","14","South America","Venezuela","ESTADO MERIDA: paramo de la Culata, Sierra del Norte, con Espeletia schultzii. Alt. 3.000 m.",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672667","NY01672667_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1672663","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M.Schust.","W. R. Buck","10000","1983","12","16","South America","Ecuador","1 km E of mountain pass on road between Quito and Baeza.","-78.17","-0.42","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1958642' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672663","NY01672663_01","B. M. Thiers","Napo","4000",NA,NA,NA,NA,NA
"8","2016-11-28 10:10:00-02","MO","MOBOT","100939716","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","H. Bischler","Bischler 2898","1959","6",NA,"South America","Colombia","Nevado del Cocuy. Corralitos. Salto de San Pablino.","-72.3","6.4166667",NA,NA,NA,NA,"S.R. Gradstein","Boyacá","4000.00000000",NA,"1",NA,NA,NA
"9","2016-11-28 10:06:00-02","MO","MOBOT","100939715","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Peter J. Grubb|D.A. Guymer","Grubb B44","1957","7","29","South America","Colombia","Sierra Nevada de Cocuy. Rio San Pablin valley.","-72.3333333","6.45",NA,NA,NA,NA,"S.R. Gradstein","Boyacá","3400.00000000",NA,"1","El Cocuy",NA,NA
"10","2016-11-28 10:14:00-02","MO","MOBOT","100939718","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 1990","1972","2","28","South America","Colombia","Páramos al NW de Belén, cabeceras Quebrada Minas, Hoya Clla. Larga, vertiente N del valle.","-72.95","6.0333333",NA,NA,NA,NA,"S.R. Gradstein","Boyacá","3820.00000000",NA,"1","Belen",NA,NA
