"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:55-03","UNESC","CRI","2549","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Kuhlm.","L. B. Smith","1977","R. M. Klein","1974","05","11","Brasil","Santa Catarina","Blumenau","-49.066389","-26.92","49º3'59''W","26º55'12''S","63","63","CRI010011","CRI010011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","306258","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Kuhlm.","M. H. Nee",NA,"M. H. Nee","1998","03","01","Bolivia","Santa Cruz","Ichilo","-64","-17.4",NA,NA,"350","350","NY00306258",NA,"Magnoliophyta","Poales","48547","South America","2.5 km SW of turnoff at Villa San Isidro from new highway from Buena Vista to Río Ichilo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-26 16:37:00-03","NY","NYBG","630607","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius",NA,"G. Davidse",NA,"G. Davidse","1980","06","19","Venezuela","Zulia","Perijá","-72.6","9.43",NA,NA,"40","40","NY00630607",NA,"Magnoliophyta","Poales","18248","South America","2 km N of the intersection of the Río Aricuaisá and the Maracaibo-La Fria Hwy. (Hwy. 6)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603044' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 15:52:00-03","NY","NYBG","630566","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius",NA,"L. B. Smith",NA,"J. Brinker","1990","12","26","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"NY00630566","NY00630566_01","Magnoliophyta","Poales","7473","South America","Rainha do Mar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603051' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02597343","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Kuhlm.",NA,NA,"G. H. H. Tate","1927","10","30",NA,NA,NA,NA,NA,NA,NA,"1219","1219","NY02597343",NA,"Magnoliophyta","Poales","159","South America","British Guiana and Northern Brazil. Mt. Roraima: Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2886844' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 15:52:00-03","NY","NYBG","630606","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius",NA,"G. Davidse",NA,"M. A. Baker","1985","03",NA,"Ecuador","Pastaza",NA,"-78.03","-1.48",NA,NA,"1100","1100","NY00630606",NA,"Magnoliophyta","Poales","5625","South America","Shell; alrededores del pueblo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603045' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 15:52:00-03","NY","NYBG","630605","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius",NA,NA,NA,"G. Davidse",NA,NA,NA,"Venezuela","Barinas",NA,NA,NA,NA,NA,"1000","1000","NY00630605",NA,"Magnoliophyta","Poales","3195","South America","43 km NW of the Merida intersection (outside of Barinas) along road to Merida","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603052' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","192482","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Kuhlm.","G. Davidse",NA,"B. C. Bennett","1988","11","05","Ecuador","Morona-Santiago",NA,"-78.17","-3.5",NA,NA,"950","1000","NY00192482",NA,"Magnoliophyta","Poales","3500","South America","Centro Shuar Yukutais. South of Centro","sheet","Shuar Voucher <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603047' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:06-03","EAO","IAN","111874","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Hitchc.",NA,NA,"Solis, MA","1949","04","29","Equador",NA,NA,NA,NA,NA,NA,"600","600","IAN111874",NA,"Monocotiledônea",NA,"12340","Southern America","El Achiotal. Prov. Imabura.",NA,"Gramínea estolonica, alva y delicada de espigas subaspigadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:06-03","EAO","IAN","111948","PreservedSpecimen","Plantae","Poaceae","Axonopus","scoparius","Axonopus scoparius","(Flüggé) Hitchc.",NA,NA,"García-Barriga, H","1944","02","01","Colômbia",NA,NA,NA,NA,NA,NA,"2100","2100","IAN111948",NA,"Monocotiledônea",NA,"11046",NA,"Departamento Cundinamarca. San Francisco Cordillera Oriental. Finca El Carmero El Tablazo entre Subachoque y San Francisco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
