"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00498732","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","R. M. Harley","G. G. Hatschbach","53437","1989","09","18","South America","Brazil","Bahia","Rio de Contas","Cachoeira do Fraga","-41.829003","-13.59829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498732","NY00498732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00498815","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","R. M. Harley","R. M. Harley","CFCR6774","1984","12","13","South America","Brazil","Bahia","Rio de Contas","Rio de Contas. Campo arenoso, a cerca de 3 km da cidade","-41.8114","-13.5792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498815","NY00498815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:17:53-03","UFBA","ALCB","035633","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, RM","Hind, DJN; Harley, RM; Bautista, HP","PCD&nf;4272","1996","11","14","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Estrada Rio de Contas-Livramento de Brumado","-41.811667","-13.609167",NA,"folhas verdes, glabras. Flores com tubo do cálice vinho-escuro na base, amarelo-esverdeado acima. Ocasional.",NA,NA,"1996","11","-41.811667","-13.609167","940","940",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:17:53-03","UFBA","ALCB","035619","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, RM","Roque, N; Bautista, HP; Hind, DJN; Harley, RM","PCD&nf;4512","1996","11","19","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra do Tombador","-41.799722","-13.634167",NA,"2,50 m, pouco ramificado, caules superiores atro-vináceos com camada de cêra branca. Folhas coiráceas, verdes. Flores com cálice vináceo na base, verde-aamrelado no ápice; corola em botão amarelo, antese lilás a violeta, lábio inferior amarelo no ápi",NA,NA,"1996","11","-41.799722","-13.634167","1380","1380",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:17:53-03","UFBA","ALCB","035644","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Schliewe, MA","Harley, RM; Giulietti, AM; Hind, DJN","PCD&nf;3352","1996","07","03","Southern America","Brasil","Bahia","Jacobina","Piemonte da Diamantina, Serra da Maricota, perto da Serra do Vento","-40.513889","-11.245278",NA,"2,0 m, delgado, ramificado. Folhas discolores, face adaxial verde-escuro, brilhante, abaxial cinza. Flores de cálice vináceo-nigrescente, corola lilás. Frequente.; Faixas de mata nas altitudes mais baixas. Arenito.",NA,NA,"2018","10","-40.513889","-11.245278","728","728",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:17:53-03","UFBA","ALCB","68750","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Guedes, ML","Guedes, ML; Cruz, FG; Martins, DV; Gomes, DF; et al.","11404","2004","09","18","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina","-41.880278","-13.060833",NA,"de ca 2m. com bastante óleo essencial. Folhas crassas, discolores. Inflorescência paniculata com flores liláses. Ocasional.",NA,NA,"2005","05","-41.880278","-13.060833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:17:53-03","UFBA","ALCB","55875","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, RM","Ganev, W","1278","1992","10","19","Southern America","Brasil","Bahia","Piatã","Abaíra: Samambaia, próximo ao Salão, Estrada Catolés - Barra de Catolés.","-41.866667","-13.266667",NA,"De até 2,5m. Folhas verdes, pedúnculo verde vináceo, pedicelo vináceo, cálice verde, corola rosa claro, filetes alvos com pilosidade rosa claro, anteras amarela, estilete vináceo.; Carrasco com solo arenoso.",NA,NA,"1999",NA,"-41.866667","-13.266667","1180","1180",NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:40:35-02","IPA","IPA","54511","S","Plantae","Plantae",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, R.M.","Harley, R.M.; Giulietti, A.M.; et al.; Giulietti, A.M.; et al.","6774","1984","12","13","Southern America","Brasil","Bahia","Rio de Contas","ca. 3km SW da cidade.","-41.8114013671875","-13.5789003372192",NA,"Campo arenoso.","IPA0054511",NA,"1991","08",NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA
"9","2019-02-15 11:40:35-02","IPA","IPA","56460","S","Plantae","Plantae",NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, R.M.","Alves, M.; et al.; et al.","1272","1997","10","21","Southern America","Brasil","Bahia","Rio de Contas","margem e arredores do Rio Brumadinho, próximo ao vilarejo de Mato Grosso.","-41.8114013671875","-13.5789003372192",NA,"Subarbusto ca. 1,8m de altura, com ramos decumbentes; flores liláses, ocasional.; Mata ciliar e cerrado.","IPA0056460",NA,"2001","03",NA,NA,NA,NA,"49773","auto","28",NA,NA,NA,NA
"10","2020-12-21 16:30:07-03","MBM","MBM","131207","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Eriope","luetzelburgii","Eriope luetzelburgii","Harley","Harley, R.M.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","53437","1989","09","18","Southern America","Brazil","Bahia","Rio de Contas","Cachoeira do Fraga","-41.8114013671875","-13.5789003372192",NA,NA,"MBM131207","MBM131207",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA
