"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2715330","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","taxifolia","Huperzia taxifolia","(Sw.) Trevis.","A. L. Monteagudo Mendoza","15164","2007","09","20","South America","Peru","Pasco","Oxapampa","Distrito Oxapampa. Zona de Amortiguamiento del Parque Nacional Yanachaga-Chemillén, borde de carretera Oxapampa-Huancabamba.","-75.4886","-10.4022","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3039750' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02173277","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","taxifolia","Huperzia taxifolia","(Sw.) Trevis.","B. M. Boom","6006","1985","02","26","South America","Venezuela","Amazonas","Río Negro","Neblina Massif, Camp 12, Venezuelan-Brazilian frontier.",NA,NA,"1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2851630' target='other'> <mi>dwc_moreinfo</mi></a>","NY02173277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01204336","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","taxifolia","Huperzia taxifolia","(Sw.) Trevis.","B. Wallnöfer","13483","1997","11","11","South America","French Guiana","Saint-Laurent-du-Maroni",NA,"Saül and vicinity: south-side of summit of the northwestern peak of Mont Galbao.","-53.2914","3.6133","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01204336","B. Wallnöfer","720","NY01204336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02532202","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","taxifolia","Huperzia taxifolia","(Sw.) Trevis.","N. Y. Paniagua Zambrana","8619","2012","11","02","South America","Peru","La Libertad","Bolívar","Dist. Uchumarca. Cloud forest, east of Laguna Huayllabamba","-77.7186","-6.9917","3140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823708' target='other'> <mi>dwc_moreinfo</mi></a>","NY02532202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02553672","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","taxifolium","Lycopodium taxifolium","Sw.","R. S. Cowan","38291","1954","11","13","South America","Brazil","Amapá",NA,"Along Estrada Nova, Porto Terezinha.",NA,NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803809' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553672",NA,"150","NY02553672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02553671","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","taxifolium","Lycopodium taxifolium","Sw.","N. A. Rosa","3543","1979","09","24","South America","Brazil","Roraima",NA,"As proximidades da divisa com a Venezuela, km 11-2 do marco BV-9. Cordilheira Paracaima","-61.526572","4.043111","3440.00","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803808' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553671",NA,"3440.00","NY02553671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3835268","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","J. R. Johnston","156","1903","07","02","South America","Venezuela",NA,NA,"The Island of Margarita. San Juan Mt.",NA,NA,"600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123700' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835268",NA,NA,"NY03835268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3835275","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","M. H. Nee","17946","1979","08","27","South America","Venezuela","Miranda",NA,"Parque Nacional Guatupo, along S end of La Macanilla trail, 32 km. (by air) NW of Altagracia de Orituco.","-66.52","10.12","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123707' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3835273","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","H. H. Smith","2601","1898","12","21","South America","Colombia",NA,NA,"Santa Marta. Horqueta Mountains.",NA,NA,"1981","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123705' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835273",NA,NA,"NY03835273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03835284","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","F. J. Ortega Mendoza","2946","1985","11","24","South America","Venezuela","Mérida",NA,"Dtto. Campo Elias, La Carbonera, en la localidad conocida como El Palmarito","-71.35","8.65","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123718' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","04199360","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","É. André","645","1880","03","11","South America","Colombia","Cauca",NA,"Rio del Molino.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4534093' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199360","B. Øllgaard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3835276","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","J. M. Beitel","85172","1985","02","10","South America","Venezuela","Amazonas",NA,"CAMP VII: Cerro de la Nebllna, 5.1 m NE Pico Phelps (=Neblína) (21.5 km E Neblína Base Camp), east side of Caño Gardner (opposite bank from streamside camp), on west-facing slope almost up to base of escarpment of east wall of valley.","-65.9694","0.8444","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123708' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3835287","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","H. H. Smith","2601","1898",NA,NA,"South America","Colombia",NA,NA,"Santa Marta.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123722' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835287",NA,NA,"NY03835287_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3835279","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","D. Clarke","8281","1999","09","08","South America","Guyana","Upper Takutu-Upper Essequibo",NA,"Wassarai Mts., summit of highest peak, 14 km S of S. Kassikaityu R.","-59.2397","1.5278","1135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123711' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3835288","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","N. L. Britton","1274","1920","04","03","South America","Trinidad and Tobago",NA,NA,"Trinidad. Mount Tocuche","-61.409","10.739203",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123723' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835288",NA,NA,"NY03835288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3835280","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","C. Ulloa Ulloa","1063","2003","01","09","South America","Ecuador","Azuay","Cuenca","Parque Nacional Cajas, km 32.1 desde redondel Cuenca-Molleturo. Abajo de la casa de información, Laguna La Toreadora.","-79.2239","-2.7822","3880","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123712' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3835271","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","H. H. Smith","2471","1898","08","26","South America","Colombia",NA,NA,"Santa Marta. Sierra de Onaca.",NA,NA,"1524","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123703' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835271",NA,NA,"NY03835271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3835267","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","J. A. Steyermark","74947","1953","04","13","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Estado Bolívar. Northwestern part of summit of Abácapa-tepuí.",NA,NA,"2125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123699' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835267",NA,"2300","NY03835267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3835274","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","G. A. Tipaz","1179","1992","06","18","South America","Ecuador","Imbabura","Cotacachi","Plaza Gutierrez. Sector Tabla Chupa.","-78.42","0.22","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123706' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3835270","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","H. H. Smith","2471","1898","08","26","South America","Colombia",NA,NA,"Santa Marta. Sierra de Onaca.",NA,NA,"1524","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123702' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835270",NA,NA,"NY03835270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","3835298","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","T. B. Croat","59416","1984","11","29","South America","Venezuela","Amazonas",NA,"Cerro Neblina; camp #7, south slopes of Canon Grande. Vicinity of landing pad.","-66","0.92","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123733' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3835292","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","H. H. van der Werff","1211","1974","05","23","South America","Ecuador","Galápagos","Isabela Island","Isabela, E. Rim of Vulcan Alcedo.",NA,NA,"1128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123727' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","3835291","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","taxifolius","Phlegmariurus taxifolius","(Sw.) Á.Löve & D.Löve","S. A. Mori","18605","1987","07","30","South America","French Guiana",NA,NA,"Saul. La Fumée Mountain Trail. Near Antenne Nord junction. La Fumée Ouest.","-53.2","3.62","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4123726' target='other'> <mi>dwc_moreinfo</mi></a>","NY03835291",NA,NA,"NY03835291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
