"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","phylum","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","typeStatus","continentOcean","verbatimLongitude","verbatimLatitude","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","monthIdentified","dayIdentified"
"1","2020-12-20 21:19:38-03","UFV","VIC","033946","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.","Valente, G.E.; et al.","2531","2009","04","04","Brasil","Minas Gerais","Serra do Cipó, Trilha de acesso ás vellozia gigantea N.L. Menezes & mello-Silva,campo rupestre.","Planta de cerca de 4 m de altura de fruto e flor de corola roxa.","VIC033946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:19:38-03","UFV","VIC","041619","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.","Coutinho, I.A.C.; Pereira, T.A.R.","186","2013","04","25","Brasil","Minas Gerais","Serra do Cipó","Cerca de 3- 5 m,sépalas e pétalas roxas, recptaculo verde ,poucos individuos floridos, solo pedregoso-arenoso tipico de campo rupestre,resina amarela na base das folhas.","VIC041619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:20:48-03","UNICAMP","UEC","110603","S","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.Menezes & Mello-Silva","Vitta, FA; Passos, LC","249","1995","06","16","Brazil","Minas Gerais","Serra do Cipó, Parque Nacional Serra do Cipó. Afloramento das Vellozias gigantes.","Planta até 5m alt. Abundante no local.","UEC000768","Liliopsida","Vitta, FA","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","UEC000768","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:46:51-03","MBM","MBM","243796","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L. Menezes & Mello-Silva","Mello-Silva, R.; Pirani, J.R.; Meguro, M.; Pirani, J.R.; Meguro, M.","CFSC11319","1989","03","24","Brazil","Minas Gerais","Parque Nacional da Serra do Cipó, Próximo à sede do Alto do Palácio","Indivíduos até 5m alt. Folhas espiraladas. Hipanto verde. Tépalas, filetes e apêndices estaminais roxos. anteras e estigma amarelos. Estilete alvo.; Sobre e entre rochas.","MBM243796",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","MBM243796","auto","ISOTYPE","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:45:29-03","UFMG","BHCB","102622","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.Menezes & Mello-Silva","Ribeiro","503","2006","02","26","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Casa de Tábuas","Indivíduo com 2 metros de altura, porte ereto, intensamente florido, atingido por incêndio em outubro de 2005. Flor com pétalas e sépalas homogeneamente lilases, em tom desbotado, perdem coloração com o tempo. Estames e estigma amarel","BHCB044561","Monocotyledon",NA,"Itambé do Mato Dentro","-43.481639","-19.358833",NA,NA,NA,NA,"Southern America","-43.481639","-19.358833",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:45:29-03","UFMG","BHCB","22071","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.Menezes & Mello-Silva","Lucca, M; Pereira, M","998","1993","03","08","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó","Flores isoladas roxas c/ estames de filete lilás transparente e anteras, estilete e estigma amarelos.; Campo rupestre (afloramento rochoso)","BHCB005826","Monocotyledon",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,"auto","Paratypus","Southern America",NA,NA,"1999","1400","1400",NA,NA,NA,NA,NA
"7","2020-12-11 11:45:29-03","UFMG","BHCB","22070","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.Menezes & Mello-Silva","Lucca, M","76","1993","01","05","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Coletada a 3Km da Portaria Alto Palácio do IBAMA. Região das Canelas de Eam Gigantes.","Flor rosa. Estames amarelos. &nf;; Campo Rupestre (afloramento rochoso)","BHCB005825","Monocotyledon",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,"auto","Paratypus","Southern America",NA,NA,"1999","1400","1400",NA,NA,NA,NA,NA
"8","2020-12-11 11:45:29-03","UFMG","BHCB","22068","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L.Menezes & Mello-Silva","Lucca, M; et al.","74","1993","01","05","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Coletada a 3 km da portaria Alto Palácio do IBAMA, região das canelas-de-ema-gigantes.","Arbustivo (ca. 100 mm). Botões florais de cor roxa, indivíduo pequeno.; Campo rupestre (afl. rochoso).","BHCB000438","Monocotyledon",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,"auto","Paratypus","Southern America",NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA
"9","2011-03-02 11:02:00-03","MO","MOBOT","1783819","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L. Menezes & Mello-Silva","Renato de Mello-Silva|José R. Pirani|M. Meguro","Mello-Silva 11319","1989","3","24","Brazil","Minas Gerais","Brasil. Minas Gerais. Santana do Riacho. Serra do Cipó. Parque Nacional da Serra do Cipó. Próximo à sede do Alto do Palácio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2833273","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","gigantea","Vellozia gigantea","N.L. Menezes & Mello-Silva","N. L. Menezes, J. Semir, M. Sajo, M. Mamede, R. Altikes & M. C. E. Amaral","12054","1979","12","18","Brazil","Minas Gerais","Serra do Cipó. Parque Estadual da Serra do Cipó",NA,"US01328661",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","US01328661_01","auto",NA,"South America - Neotropics",NA,NA,NA,NA,NA,"Monocotyledonae","Liliales","1",NA,NA
