"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2016-10-28 13:44:00-02","NY","NYBG","1018910","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","thomista","Mimosa thomista","G. P. Lewis","R. de Mello-Silva","1606","1999","02","21","South America","Brazil","Minas Gerais","São Tomé das Letras","Afloramentos rochosos próximos à ciadade, ao fim da rua João Batista Neves.","-44.9853","-21.7222","1210","1210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018910","NY01018910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957745","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","thomista","Mimosa thomista","R. C. Barneby","G. G. Hatschbach","51196","1987","03","22","South America","Brazil","Minas Gerais","São Thomé das Letras","S. Thomé das Letras, arredores","-44.965327","-21.740845","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957745","NY00957745_01","Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 04:37:00-03","NY","NYBG","3091","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","thomista","Mimosa thomista",NA,"W. R. Anderson","11612","1975","02","28","South America","Brazil","Minas Gerais","São Thomé das Letras","Vicinity of Sao Tomé.","-44.9852981567383","-21.7222003936768",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003091","NY00003091_01",NA,"isotype","16076","auto",NA,NA,NA,NA,NA,NA,NA
"4","2016-10-28 14:21:00-02","NY","NYBG","00957746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","thomista","Mimosa thomista","R. C. Barneby","J. R. Pirani","CFCR5769","1984","11","02","South America","Brazil","Minas Gerais",NA,"Sao Thomé das Letras. Morro do Gaviao",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1017711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957746","NY00957746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 04:37:00-03","NY","NYBG","3090","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","thomista","Mimosa thomista",NA,"W. R. Anderson","11612","1975","02","28","South America","Brazil","Minas Gerais","São Thomé das Letras","Vicinity of Sao Tomé.","-44.9852981567383","-21.7222003936768",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=588658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003090","NY00003090_01",NA,"isotype","16076","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:38-03","UFV","VIC","37693","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Dutra, V.F.","Teixeira, E.M.","s.n.","2001","02","21",NA,"Brasil","Minas Gerais","São Tomé das Letras","Pico do Gavião, Campo Rupestre.","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Arbustivo.","VIC037693",NA,"Barneby",NA,"16076","auto","2006","07","20",NA,NA,NA,NA
"7","2020-02-18 09:34:18-03","UNICAMP","UEC","47650","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Dutra, VF","Leitão Filho, HF; Santin, DA; Franco, ADC; Francini, R; Grombone-Guaratini, MT; Meira Neto, JAA","19360","1987","07","01",NA,"Brazil","Minas Gerais","São Tomé das Letras",NA,"-44.9852981567383","-21.7222003936768","1300","1300",NA,"Subarbusto 60 cm, com frutos.","UEC063265",NA,"Barneby",NA,"16076","auto","2008","03","28",NA,NA,NA,NA
"8","2020-01-09 19:12:58-03","UFES","VIES","46070","S","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista",NA,"Jordão, L.S.B.","444","2019","02","25",NA,"Brasil","Minas Gerais","Luminárias","Distrito de Luminárias. Trilha do Defunto, nas proximidades do Poço de Jade.","-44.929167","-21.636944","1374","1374",NA,NA,"VIES046070","VIES046070","Barneby",NA,NA,NA,NA,NA,NA,"44º55'45''W","21º38'13''S",NA,NA
"9","2020-12-21 16:27:34-03","MBM","MBM","113580","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Barneby, R.","Hatschbach, G.; Cervi, A.C.; Cordeiro, J.; Cervi, A.C.; Cordeiro, J.","51196B","1987","03","22","Southern America","Brazil","Minas Gerais","São Tomé das Letras","Arredores","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Ereta, simples, xilopodífera. Campo rupestre, solo arenoso. Unicata; Ereta, simples, xilopodífera.; Campo rupestre, solo arenoso.","MBM113580","MBM113580","Barneby","PARATYPE","16076","auto","1987",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:27:34-03","MBM","MBM","113581","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Barneby, R.","Hatschbach, G.; Hatschbach, M.; Cervi, A.C.; Guimarães, O.; Hatschbach, M.; Cervi, A.C.; Guimarães, O.","51196A","1987","03","22","Southern America","Brazil","Minas Gerais","São Tomé das Letras","Arredores","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Campo rupestre, solo arenoso; Campo rupestre, solo arenoso.","MBM113581","MBM113581","Barneby","PARATYPE","16076","auto","1987",NA,NA,NA,NA,NA,NA
