X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,typeStatus,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,fieldNumber,individualCount,relatedCatalogItem,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.5499992370605,-24.7000007629395,"30",2020-11-04 11:14:28-03,ESALQ,ESA,"135789",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,"Valdemarin, K.S.",C.P. Caliari,"2545.0","2009","07","10",NA,Brasil,São Paulo,NA,NA,NA,ESA135789,NA,iguape,-47.5499992370605,-24.7000007629395,NA,NA,"55628",auto,NA,NA,NA,"2019","10","31",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"269",2019-11-13 16:04:53-03,UNISANTA,HUSC,"2412",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,"Kawasaki, M.L.","Lima, E.S.; Sampaio, P.S.P.","36","2000","02","10",NA,Brasil,São Paulo,"Guaratuba, Fazenda Três Marias, estrada de captação.",NA,"Arvoreta com 3m de altura. Flores alvas.; Sub-bosque. Floresta de Restinga Seca Alta.",NA,NA,Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"37616",auto,NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"270",2019-11-13 16:04:53-03,UNISANTA,HUSC,"1951",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,NA,"Magenta, M.A.G.; Sampaio, P.S.P.","174","1999","05","27",NA,Brasil,São Paulo,Praia do Itaguaré,NA,"Árvore, 5m de altura. Frutos verdes imaturos.; Floresta de restinga alta.",NA,NA,Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"37616",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"292",2021-03-04 15:45:21-03,IF,SPSF,"25343",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,Osny T. Aguiar,S.J.Gomes da Silva & M.Sugiyama & S.Ferreira & D.F.Pereira & L.Rossi,"208","1991","08","13",América do Sul,Brasil,SP,"E.Ecol.Jureia-Itatins, Serra da Jureia",NA,"COLETA: XLS: SPSFAntigo&nf;Restinga&nf;Árvore 3m altura ramificada; frutos imatruros verdes, passando a vináceos quase negros.; GEOGRAFIA: Restinga entre o Rio Verde e a Trilha do Imperador.;",NA,NA,Iguape,-47.5499992370605,-24.7000007629395,NA,NA,"55628",auto,NA,NA,NA,"2017","09","01",Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"293",2021-03-04 15:45:21-03,IF,SPSF,"25353",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,Osny T. Aguiar,M.A.Carvalhaes & M.R.F.Melo,"28","1991","04","25",América do Sul,Brasil,SP,"E.Ecol.Jureia-Itatins, Serra da Jureia",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore com ramos prostrados sobre o rio, frutos imaturos verdes.; GEOGRAFIA: Margem do Rio Verde, em direção à Foz.;",NA,NA,Iguape,-47.5499992370605,-24.7000007629395,NA,NA,"55628",auto,NA,NA,NA,"2017","09","01",Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.4199981689453,-23.8899993896484,"294",2021-03-04 15:45:26-03,IF,SPSF,"12625",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Eugenia,velutiflora,Eugenia velutiflora,Kiaersk.,M.L.Kawasaki,O.T. Aguiar,"281","1988","11","29",América do Sul,Brasil,SP,"Parque Estadual da Serra do Mar, Núcleo Pilões",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,Cubatão,-46.4199981689453,-23.8899993896484,NA,NA,"15123",auto,NA,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"298",2021-02-08 12:43:49-03,UFRGS,ICN,"098735",S,Plantae,Dicotyledon,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,"Sobral, M","Kuhlmann, M",s.n.,"1963","05",NA,América do Sul,Brasil,SP,Margem do Rio Itaguaré,NA,"Arbusto esguio de 4m de altura.; Na mata da varzea litoranea.",NA,NA,Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"37616",auto,NA,NA,NA,"1993",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"309",2019-11-21 10:11:18-03,IBt,SP,"84170",S,Plantae,NA,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,"Sobral, M","Kuhlmann, M",s.n.,"1963","05",NA,NA,Brasil,São Paulo,Margem do rio Itaguaré.,NA,Na mata da várzea litorãnea. Arbusto esguio de 4m alt.,SP006193,SP006193,Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"37616",auto,NA,NA,NA,"1992",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"310",2019-11-21 10:11:18-03,IBt,SP,"329915",S,Plantae,NA,NA,Myrtaceae,Eugenia,bahiensis,Eugenia bahiensis,DC.,"Sobral, M","Sobral, M; Gianotti, A","7455","1992","01",NA,NA,Brasil,São Paulo,Estação Ecológica Juréia-Itatins,NA,"Arvoreta 4m, em interior de mata, frutos imaturos",SP011842,SP011842,Peruíbe,-46.9900016784668,-24.3199996948242,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"318",2019-11-21 10:11:46-03,IBt,SP,"344969",S,Plantae,NA,NA,Myrtaceae,Eugenia,velutiflora,Eugenia velutiflora,Kiaersk.,"Kawasaki, ML","Lima, ES; Sampaio, PSP","36","2000","02","10",NA,Brasil,São Paulo,"Guaratuba, Fazenda Três Marias, estrada da captação.",NA,NA,SP057147,SP057147,Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"37616",auto,NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
