X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,typeStatus,fieldNumber,individualCount,class,relatedCatalogItem,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.068056,-23.325278,"7",2021-03-01 16:35:45-03,UNICAMP,UEC,"166771",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,Peixoto,"Padgurschi, MCG; Tamashiro, JY; Belinello, R","694","2008",NA,NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,PESM. Núcleo Santa Virgínia. Parcela K.,-45.068056,-23.325278,"1054","1093",NA,"K0781 Árvore, ca. 9,5 m, sem flores ou frutos.&nf;Abundância: 4 ind ha(-1).; Floresta Ombrófila Densa Montana.",UEC039895,UEC039895,NA,NA,"2009","-45.068056","-23.325278",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366389,"9",2021-03-01 16:35:45-03,UNICAMP,UEC,"148913",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Aranha, BA","Aranha, BA","553","2007","01","09",NA,Brazil,São Paulo,Ubatuba,"Fazenda Capricórnio, Parcela J",-45.084167,-23.366389,"380","380",NA,Individuo regenerante no sobosque.,NA,NA,NA,NA,"2008","-45.084167","-23.366389",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.536111,-23.605833,"10",2021-03-01 16:35:45-03,UNICAMP,UEC,"167027",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Lirio, EJ","Stefani, EJF; Belinello, R; Galvão, JC","187","2011","06","28",NA,Brazil,São Paulo,Paraibuna,Parque Estadual da Serra do Mar.,-45.536111,-23.605833,"800","900",NA,"Árvore com 7 m.; Mata Atlântica.",UEC059329,UEC059329,NA,NA,"2016","-45.536111","-23.605833",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.535833,-23.5925,"11",2021-03-01 16:35:45-03,UNICAMP,UEC,"167061",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, JC","223","2011","06","29",NA,Brazil,São Paulo,Paraibuna,Parque Estadual da Serra do Mar.,-45.535833,-23.5925,"800","900",NA,"Árvore com 9 m.; Mata Atlântica.",UEC059367,UEC059367,NA,NA,"2011","-45.535833","-23.5925","10",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"12",2021-03-01 16:35:45-03,UNICAMP,UEC,"200202",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,NA,"Padgurschi, MCG; Belinello, R",M1047,"2009",NA,NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",NA,Parcela M - Projeto Biota-FAPESP. Árvore com 6 metros de altura. Frequência da espécie na parcela: n=17,UEC177696,NA,NA,NA,NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.816944,-23.3025,"13",2021-03-01 16:35:45-03,UNICAMP,UEC,"173748",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Sanchez, M","Sanchez, M; Pedroni, F; Laps, RR; Belinello, R","1763","1997","05","29",NA,Brazil,São Paulo,Ubatuba,"Picinguaba, Morro do Corisco.",-44.816944,-23.3025,"600","600",NA,"Árvore 656 com 8m de altura, vegetativo.; Mata Atlântica de Encosta.",UEC089624,UEC089624,NA,NA,NA,"-44.816944","-23.3025",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"14",2021-03-01 16:35:45-03,UNICAMP,UEC,"160412",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Lirio, EJ","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","595","2011","11","30",NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.945278,-23.330333,"999","999",NA,"Material vegetativo. Cerca de 9 m de altura e 1 indivíduo distribuído em 1 ha.; Floresta Ombrófila Densa Montana.",UEC009950,UEC009950,NA,NA,"2016","-45.945278","-23.330333",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"16",2021-03-01 16:35:45-03,UNICAMP,UEC,"189037",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Lirio, EJ","Silva, BG","39","2010","10","07",NA,Brazil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho. 41º06#?#55#?##?#24º14#?#41#?#s18º47#?#18#?##?#48º07#?#17#?#w,-47.9900016784668,-23.8700008392334,"800","800",NA,Floresta Ombrófila Densa,UEC119334,UEC119334,"27904",auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"17",2021-03-01 16:35:45-03,UNICAMP,UEC,"162746",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Lirio, EJ","Ivanauskas, NM; Toniato, MTZ; Polisel, RT; Souza, D; Silva, CO; Fogaça, PD","6153","2006","08","29",NA,Brazil,São Paulo,São Miguel Arcanjo,"PECB, Trilha do Turvinho 2 (SAD 69, Zona 23 J)",-47.9900016784668,-23.8700008392334,"816","816",NA,"Arvoreta, 4m alt., botões florais verdes.",UEC019748,UEC019748,"27904",auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"18",2019-08-20 10:20:36-03,UNICAMP,UEC,"174965",S,Plantae,Magnoliopsida,NA,Monimiaceae,Mollinedia,gilgiana,Mollinedia gilgiana,Perkins,"Lirio, EJ","Sanchez, M; Pedroni, F","417","1992","11","09",NA,Brazil,São Paulo,Ubatuba,NA,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,UEC029755,UEC029755,"34265",auto,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
