X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,phylum,order,typeStatus,continentOcean,preparationType,coordinatePrecision,geoFlag,class,previousCatalogNumber,relatedCatalogItem,relationshipType,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.454379,-22.673246,"3",2021-03-15 16:37:00-03,NY,NYBG,"00853890",PreservedSpecimen,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,M. H. Nee,NA,NA,NA,M. de J. Robim,"352","1985","11","21",Brazil,São Paulo,Campos do Jordão,"P. E. Campos do Jordão, Instituto Florestal.",-45.454379,-22.673246,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093162' target='other'> <mi>dwc_moreinfo</mi></a>,NY00853890,NY00853890_01,Magnoliophyta,Solanales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.522399,-22.766664,"12",2021-03-15 16:37:00-03,NY,NYBG,"686882",PreservedSpecimen,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,NA,NA,NA,NA,M. Kuhlmann,"2206","1949","11","27",Brazil,São Paulo,Campos do Jordao,Subida para o Pico do Itapeva,-45.522399,-22.766664,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845414' target='other'> <mi>dwc_moreinfo</mi></a>,NY00686882,NY00686882_01,Magnoliophyta,Solanales,NA,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.59,-22.73,"27",2015-07-02 14:04:23-03,JBP,HPL,"11022",S,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B. Sm. & Downs) Bohs,J.R. Stehmann,"2007","10","20",M.J. Robim,"352","1985","11","21",Brasil,SP,Campos do Jordão,"Coletado no Parque Estadual, na trilha da Cachoeira; em área de mata de pinhais.",-45.59,-22.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"107",2021-01-09 21:48:55-03,UNICENTRO,HUCO,"2253",S,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B. Sm. & Downs) Bohs,"Stehmann, J.R.","2007","09","20","Robim, M.J.","352","1985","11","21",Brasil,São Paulo,campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"Permuta SPSF, 9570; Flor roxa com estames amarelos; DESC: Flor roxa com estames amarelos",HUCO002253,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8425,-24.5094,"136",2020-04-07 16:32:50-03,IAC,IAC,"36540",S,Plantae,Solanaceae-8.Solanoideae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,J.R. Stehmann & L.L. Giacomin,"2011","09","13","F. Chung; J. Matos; M. Schmidt; F.B. Gandara; N.M. Ivanauskas; A. Vanini; V.C. Souza; J.Y. Tamashiro & R.R. Rodrigues","128","1997","12","13",Brasil,São Paulo,Apiaí,estrada do Pinhalzinho 11 km de Bom Sucesso de Itararé,-48.8425,-24.5094,"-48.8425","-24.5094",NA,NA,"coordenadas do material: 24°20#?#07#?##?#S, 49°04#?#38#?##?#W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.681111,-23.413056,"139",2021-03-04 15:46:47-03,IF,SPSF,"39494",PreservedSpecimen,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,J.R.Stehmann,"2008","07","03",F. A. R. D. P. Arzolla & F.E.S.P.Vilela,"1263","2008","02","22",Brasil,SP,São Paulo,"Parque Estadual da Cantareira, Morro do Pavão",-46.681111,-23.413056,NA,NA,"1057","1057","COLETA: Arbusto escandente, frutos.;",NA,NA,Magnoliophyta,Solanales,NA,América do Sul,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"140",2021-03-04 15:46:47-03,IF,SPSF,"09570",PreservedSpecimen,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,J.R.Stehmann,"2007","09","20",M.J.Robim,"352","1985","11","21",Brasil,SP,Campos do Jordão,P.E. de Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;mata de pinhais&nf;Arbusto flores roxas e estames amarelos; GEOGRAFIA: Trilha da Cachoeira.;",NA,NA,Magnoliophyta,Solanales,NA,América do Sul,NA,"21048",auto,Magnoliopsida,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"148",2020-02-06 10:42:11-03,IBt,SP,"51755",S,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,"Mentz, LA","2006","10",NA,"Kuhlmann, M","2168","1949","11","25",Brasil,São Paulo,Campos do Jordão,Fazenda da Guarda,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,SP116923,SP116923,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"149",2020-02-06 10:42:11-03,IBt,SP,"51742",S,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,"Mentz, LA","2006","10",NA,"Kuhlmann, M","2206","1949","11","27",Brasil,São Paulo,Campos do Jordão,Subida para o Pico do Itapeva,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,SP116925,SP116925,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.689998626709,-20.3500003814697,"150",2019-11-21 10:19:34-03,IBt,SP,"15243",S,Plantae,Solanaceae,Solanum,pinetorum,Solanum pinetorum,(L.B.Sm. & Downs) Bohs,"Bohs, L","1989",NA,NA,"Loefgren, A",CGG3483,"1896","12","22",Brasil,São Paulo,São Francisco,"Capoeira, beira caminho para serra.",-50.689998626709,-20.3500003814697,NA,NA,NA,NA,"Arbusto sublenhoso piloso subviscoso, flores azul-ferrete.",SP008557,SP008557,NA,NA,NA,NA,NA,"9856",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
