X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,year,month,day,minimumElevationInMeters,maximumElevationInMeters,typeStatus,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,dayIdentified,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-52.1599998474121,-22.5300006866455,"11",2020-11-04 11:14:33-03,ESALQ,ESA,"16461",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Fernandes, T.M.","Tamashiro, J.Y.; Gabrielli, A.C.; Santos, F.A.M.; Rodrigues, R.R.","18815.0",NA,Brasil,São Paulo,Teodoro Sampaio,NA,-52.1599998474121,-22.5300006866455,NA,NA,ESA016461,ESA016461,"1986","12","02",NA,NA,NA,NA,NA,"2011",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"12",2020-11-04 11:14:33-03,ESALQ,ESA,"16444",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Fernandes, T.M.","Tamashiro, J.Y.; Gabrielli, A.C.; Santos, F.A.M.; Rodrigues, R.R.","18815.0",NA,Brasil,São Paulo,Teodoro Sampaio,NA,-52.1599998474121,-22.5300006866455,NA,NA,ESA016444,ESA016444,"1986","12","02",NA,NA,NA,NA,NA,"2011",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.3499984741211,-23.7700004577637,"13",2020-11-04 11:14:33-03,ESALQ,ESA,"128843",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,NA,"Souza, V.C.","Colletta, G.D.","1208.0",NA,Brasil,São Paulo,Ilhabela,"Trilha de Castelhanos, próximo a guarita",-45.3499984741211,-23.7700004577637,NA,"Árvore, 7m, botões alvos",ESA128843,NA,"2013","06","15",NA,NA,NA,NA,NA,"2013",NA,"23719",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"26",2021-03-01 16:36:15-03,UNICAMP,UEC,"45017",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Mazine, FF","Tamashiro, JY; Gabrielli, AC; Santos, FAM; Rodrigues, RR","18815",NA,Brazil,São Paulo,Teodoro Sampaio,Reserva do Morro do Diabo,-52.1599998474121,-22.5300006866455,NA,"Arvoreta de 6m, frutos maduros amrelos e imaturos verdes.",UEC065911,NA,"1986","12","02",NA,NA,NA,NA,NA,"2013","04","54606",auto,NA,NA,"16",NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"27",2021-03-01 16:36:19-03,UNICAMP,UEC,"86971",S,Plantae,Magnoliopsida,NA,Myrtaceae,Eugenia,klappenbachiana,Eugenia klappenbachiana,Mattos & D.Legrand,"Sobral, M","Franco, GADC","1308",NA,Brazil,São Paulo,Teodoro Sampaio,"Parque Estadual do Morro do Diabo, estrada do 7000, na margem do caminho.",-52.1599998474121,-22.5300006866455,NA,"Arvoreta 3m alt., frutos imaturos verdes e maduros amarelados.",NA,NA,"1994","12","07",NA,NA,NA,NA,NA,"2003",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"72",2019-11-13 11:26:45-03,USP,SPF,"97140",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,klappenbachiana,Eugenia klappenbachiana,Mattos & D.Legrand,"Sobral, M","Franco, GADC","1308",NA,Brasil,São Paulo,Teodoro Sampaio,Parque Estadual Morro do Diabo,-52.1599998474121,-22.5300006866455,NA,NA,SPF00097140,NA,"1994","12","07",NA,NA,NA,NA,NA,"2004",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"73",2019-11-13 11:26:45-03,USP,SPF,"46631",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,klappenbachiana,Eugenia klappenbachiana,Mattos & D.Legrand,"Sobral, M","Dias, AC",s.n.,NA,Brasil,São Paulo,Teodoro Sampaio,Parque Estadual Morro do Diabo,-52.1599998474121,-22.5300006866455,NA,NA,SPF00046631,NA,"1980","10","21",NA,NA,NA,NA,NA,"2004",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"74",2019-11-13 11:26:45-03,USP,SPF,"97125",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Eugenia,klappenbachiana,Eugenia klappenbachiana,Mattos & D.Legrand,"Sobral, M","Baitello, JB","727",NA,Brasil,São Paulo,Teodoro Sampaio,Parque Estadual Morro do Diabo,-52.1599998474121,-22.5300006866455,NA,NA,SPF00097125,NA,"1994","12","07",NA,NA,NA,NA,NA,"2004",NA,"54606",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.883333,-22.583333,"98",2020-11-04 17:29:57-03,UEM,HUEM,"16341",S,Plantae,NA,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Romagnolo, MB","Pascotto, CR","31",NA,Brasil,Paraná,Diamante do Norte,"Estação Ecológica do Caiuá, Mata do Ribeirão Conceição.",-52.883333,-22.583333,NA,"Arbórea, ca. 4m de altura, botões de coloração creme, flores de coloração branca.; Floresta Estacional Semidicidual.",HUEM000008376,HUEM000008376,"2009","09","11","272","272",NA,"-52.883333","-22.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.883333,-22.583333,"99",2020-11-04 17:29:57-03,UEM,HUEM,"16357",S,Plantae,NA,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Romagnolo, MB","Barragam, F","9",NA,Brasil,Paraná,Diamante do Norte,"Estação Ecológica do Caiuá, Mata do Ribeirão Conceição.",-52.883333,-22.583333,NA,"Arbusto, ca. 1m de altura, flores de coloração creme.; Floresta Estacional Semidicidual.",HUEM000008377,HUEM000008377,"2009","09","11","292","292",NA,"-52.883333","-22.583333","2009","11",NA,NA,NA,NA,"20",NA,NA,"35",São Paulo,SP,Sudeste
-52.883333,-22.583333,"100",2020-11-04 17:29:57-03,UEM,HUEM,"16412",S,Plantae,NA,NA,Myrtaceae,Eugenia,gracillima,Eugenia gracillima,Kiaersk.,"Romagnolo, MB","Pascotto, CR","37",NA,Brasil,Paraná,Diamante do Norte,"Estação Ecológica do Caiuá, Estrada do Ribeirão Conceição.",-52.883333,-22.583333,NA,"Arvoreta, ca. 2m de altura, botões de coloração verde, flores de coloração branca, frutos imaturos de coloração verde.; Floresta Estacional Semidicidual.",HUEM000011401,HUEM000011401,"2009","12","04",NA,NA,NA,"-52.883333","-22.583333","2009","12",NA,NA,NA,NA,"09",NA,NA,"35",São Paulo,SP,Sudeste
