X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,typeStatus,class,individualCount,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.25,-24.9,"4",2021-03-15 16:37:00-03,NY,NYBG,"651010",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G.Clark,L. G. Clark,L. G. Clark,"726","1990","03","04",South America,Brazil,São Paulo,NA,"BR-116, ca. Km 517, heading N to Sao Paulo, Rio Braço Feio, ca. 60 km before spring",-48.25,-24.9,"530","530",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683429' target='other'> <mi>dwc_moreinfo</mi></a>,NY00651010,NY00651010_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"6",2020-12-21 16:40:13-03,MBM,MBM,"196557",PreservedSpecimen,Plantae,NA,NA,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,"Clark, L.G.","Clark, L.G.; Windisch, P.; Windisch, P.","726",NA,NA,NA,Southern America,Brazil,São Paulo,São Paulo,"Rod. BR-116, km 517, N de São Paulo, Rio Braço Feio",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM196557,MBM196557,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"7",2020-12-21 16:40:13-03,MBM,MBM,"194531",PreservedSpecimen,Plantae,NA,NA,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,"Clark, L.G.","Clark, L.G.; et al.; et al.","939",NA,NA,NA,Southern America,Brazil,São Paulo,São Paulo,"Rod. BR-116, km 517, Rio Braço Feio",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM194531,MBM194531,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.31666,-24.95,"8",2008-05-27 22:02:00-03,MO,MOBOT,"1360515",PreservedSpecimen,Plantae,NA,NA,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,L.G. Clark,Lynn G. Clark|W. Oliveira,Clark 939,"1991","3","19",South America,Brazil,São Paulo,NA,"BR-116, ca Km 517, heading N to São Paulo, Rio Braço Fcio, ca. 60 km before the spring.",-48.31666,-24.95,"560.00000000",NA,NA,NA,NA,NA,NA,NA,Isotype,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.25,-24.9,"9",2011-02-28 15:03:00-03,MO,MOBOT,"2839093",PreservedSpecimen,Plantae,NA,NA,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,L.G. Clark,Lynn G. Clark|Paulo G. Windisch,Clark 726,"1990","3","4",South America,Brazil,São Paulo,NA,"BR-116, ca. Km 517, heading N to Sao Paulo, Rio Braço Feio, ca. 60 km before spring,",-48.25,-24.9,"530.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.3167,-24.95,"11",2020-09-12 05:00:02-03,US,US,"3278485",PreservedSpecimen,Plantae,NA,Cyperales,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,NA,L. G. Clark & W. de Oliveira,"939","1991","3","19",South America - Neotropics,Brazil,São Paulo,NA,"BR-116, ca. km 517, heading N to Sao Paulo, Rio Braco Feio, ca. 60 km before spring.",-48.3167,-24.95,"560","560",NA,NA,US00432983,US00432983_01,NA,NA,Isotype,Monocotyledonae,"1",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.25,-24.9,"12",2020-09-12 05:00:02-03,US,US,"3310691",PreservedSpecimen,Plantae,NA,Cyperales,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G. Clark,NA,L. G. Clark & P. G. Windisch,"726","1990","3","4",South America - Neotropics,Brazil,São Paulo,NA,"N of sao paulo, rio braco feio",-48.25,-24.9,"530","530",NA,NA,US00519929,US00519929_01,NA,NA,NA,Monocotyledonae,"1",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.208611,-24.877778,"14",2019-10-07 09:21:48-03,UEFS,HUEFS,"229910",PreservedSpecimen,Plantae,Angiospermae,Poales,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G.Clark,NA,"Mota, A.C.","407","2011","08","02",NA,Brasil,São Paulo,Jacupiranga,Margem do Rio da Grota Funda.,-48.208611,-24.877778,"520","520",NA,NA,HUEFS0229910,NA,NA,NA,NA,Lilianae,NA,48W12'31'',24S52'40'',NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.205833,-24.876944,"15",2019-10-07 09:21:48-03,UEFS,HUEFS,"229842",PreservedSpecimen,Plantae,Angiospermae,Poales,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G.Clark,NA,"Mota, A.C.","316","2009","10","02",NA,Brasil,São Paulo,Jacupiranga,Rio do Braço Feio.,-48.205833,-24.876944,"555","555",NA,NA,HUEFS0229842,NA,NA,NA,NA,Lilianae,NA,48W12'21'',24S52'37'',NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.25,-24.9,"16",2019-11-21 10:15:09-03,IBt,SP,"238267",S,Plantae,NA,NA,Poaceae,Chusquea,pulchella,Chusquea pulchella,L.G.Clark,"Clark, LG","Clark, L; Windisch, P","726","1990","03","04",NA,Brasil,São Paulo,Cajati,"BR-116, ca. Km 517, heading N to São Paulo, Rio Braço Feio, ca. 60 km before the spring. Forest remnant on a small ridge above Rio Braço Feio",-48.25,-24.9,"530","530",NA,"Small, delicate bamboo, culms to 2-3 mm diam., to 2-3 m long, trailing and hanging, mostly at edge of forest patch, but also entering the woods. Branching infravaginal; central branch usually developing. Foliage leaf sheaths hispid",SP001241,SP001241,NA,NA,Paratype,NA,NA,"-48.25","-24.9","1994","01","14","35",São Paulo,SP,Sudeste
