X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,identifiedBy,county,imagecode,maximumElevationInMeters,infraspecificEpithet,typeStatus,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,dayIdentified,class,verbatimLongitude,verbatimLatitude,relatedCatalogItem,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.9199981689453,-24.3799991607666,"62",2020-11-04 11:21:14-03,ESALQ,ESA,"114184",PreservedSpecimen,Plantae,Pteridophyta,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,NA,"Breier, T.B.","684.0","2002","09","27",NA,Brasil,São Paulo,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA114184,"Gonzatti, F.",Sete Barras,NA,NA,NA,NA,"2017","12","34059",auto,"14",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"71",2020-12-21 16:37:35-03,IAP,PACA-AGP,"104946",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Brade, A.C.","8358","1925","09",NA,NA,Brasil,SP,"Serra Paranapiacaba, Felswand, am Salto do Rio Temivel.",-47.5499992370605,-24.7000007629395,NA,NA,HASU 9262.,PACA104946,Rosenstock,Iguape,NA,NA,NA,NA,NA,NA,"55628",auto,NA,Filicopsida,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"72",2020-12-21 16:37:35-03,IAP,PACA-AGP,"104947",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Brade, A.C.","6618","1913","08",NA,NA,Brasil,SP,Urwald epiphyt.,-46.6300010681152,-23.5400009155273,NA,NA,HASU 9261.,PACA104947,A. C. Brade,São Paulo,NA,NA,NA,NA,NA,NA,"53584",auto,NA,Filicopsida,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.916667,-24.166667,"73",2019-11-21 14:52:47-03,UFJF,CESJ,"67893",PreservedSpecimen,Plantae,Polypodiopsida,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"T.B. Breier; V.A.O. Dittrich","684","2002","09","27",América do Sul,Brasil,São Paulo,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.",-47.916667,-24.166667,NA,NA,Epífita a 1-2 m.,CESJ067893,F. Gonzatti,Sete Barras,NA,NA,NA,NA,"2017","02",NA,NA,NA,NA,"-47.916667","-24.166667",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.616639,-22.733889,"91",2021-03-16 17:56:20-03,UCS,HUCS,"49227",PreservedSpecimen,Plantae,Pteridophyta,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Gonzatti, F.","4343","2018","04","29",NA,Brasil,São Paulo,"Serra de Bocaina, Parque Nacional",-44.616639,-22.733889,"1513",NA,"Erva rastejante no solo e em base de Cyathea, em barranco de arroio, solo arenoso, à sombra",HUCS005309,"Gonzatti, F.",São José do Barreiro,HUCS005309,"1513",NA,NA,"2019","02",NA,NA,NA,NA,"-44.616639","-22.733889",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.616639,-22.733889,"92",2021-03-16 17:56:20-03,UCS,HUCS,"49228",PreservedSpecimen,Plantae,Pteridophyta,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Gonzatti, F.","4374","2018","04","30",NA,Brasil,São Paulo,"Serra de Bocaina, Parque Nacional",-44.616639,-22.733889,"1513",NA,"Erva epífito e terrestre em solo humoso e úmido, pendente, em mata ciliar de arroio ambiente úmido",HUCS005322,"Gonzatti, F.",São José do Barreiro,HUCS005322,"1513",NA,NA,"2019","02",NA,NA,NA,NA,"-44.616639","-22.733889",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.312972,-23.775639,"102",2020-12-21 16:29:30-03,MBM,MBM,"429667",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spr.,"Canestraro, B.K.; Lozano, E.D.; Lozano, E.D.","1215","2018","06","01",Southern America,Brazil,São Paulo,"Reserva Biológica Alto da Serra de Paranapiacaba, trilha 9",-46.312972,-23.775639,"780",NA,"Epífita em Cyathea, interior de floresta, beira da trilha, ciófita.; Floresta Ombrófila Densa.",MBM429667,"Canestraro, B.K.",Santo André,NA,"780",NA,NA,"2018",NA,NA,NA,NA,NA,"-46.312972","-23.775639",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"106",2020-12-21 16:29:30-03,MBM,MBM,"35039",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spr.,"Brade, A.C.","8357","1925","10",NA,Southern America,Brazil,São Paulo,"Serra de Paranapiacaba, Rio Travessão",-47.5499992370605,-24.7000007629395,NA,NA,NA,MBM035039,Rosenstock,Iguape,MBM035039,NA,NA,NA,NA,NA,"55628",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.39578,-24.09481,"146",2021-02-11 17:19:12-03,UFPR,UPCB,"94012",PreservedSpecimen,Plantae,NA,NA,Hymenophyllceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Nunes, M.G. | Westphal, T.","224","2018","04","15",NA,Brasil,Paraná,Parque Estadual do Cerrado,-49.39578,-24.09481,"734",NA,Próximos a cachoeira do ribeirão Santo Antônio. Rupícola em formações areníticas.,UPCB0042030,"Nunes, M.G.",Jaguariaíva,UPCB0042030,"734",NA,NA,NA,NA,NA,NA,NA,NA,"-49.39578","-24.09481",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.088667,-23.324222,"254",2021-01-12 15:24:14-03,UFMG,BHCB-SL,"65023",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Salino, A; Dittrich, VAO; Morais, PO; Carvalho, FA; Teixeira, LCRS; Oliveira, AM","7770","2001","10","31",América,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, Base de Itamambuca. Floresta Ombrófila Densa Montana.",-45.088667,-23.324222,"800",NA,Rupícola em margem de rio.,NA,"Salino, A",São Luiz do Paraitinga,NA,"850",NA,NA,"2001","11",NA,NA,NA,NA,"-45.088667","-23.324222",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
