X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,identifiedBy,locality,phylum,yearIdentified,monthIdentified,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,coordinatePrecision,geoFlag,class,order,typeStatus,continentOcean,imagecode,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.738611,-22.9,"1",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"14519",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Bicudo, L.R.H.","310","1986","01","15",Brasil,São Paulo,Botucatu,-48.738611,-22.9,48°44'19w,22°54's,"Planta de 30 cm de altura, inflorescência com botões vermelhos aveludados, sem odor",BOTU014519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.284722,-22.8,"2",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"14514",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Bicudo, L.R.H.","1648","1986","11","01",Brasil,São Paulo,Botucatu,-48.284722,-22.8,48°17'5w,22°48's,"Trepadeira, botões vermelho-abóbora",BOTU014514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.733333,-22.8,"3",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"27966",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Ishara, K.L.","77","2008","03","19",Brasil,São Paulo,Pratânia,-48.733333,-22.8,48°44'w,22°48's,"Trepadeira,flores amarelas, frutos verdes e amarelos",BOTU027966,"Ishara, K.L.",Fazenda Palmeira da Serra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.743278,-22.813944,"4",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"23762",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Campos, C.J.","176","2003","01","08",Brasil,São Paulo,Pratânia,-48.743278,-22.813944,"48°44'35,8w","22°48'50,2s","Cerrado; 0,60m de altura; flores e botões vermelhos, frutos verdes.; Coleção: Biota - Cerrado Pratânia",BOTU023762,NA,Reserva Particular Palmeira da Serra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.733333,-22.8,"5",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"27967",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Ishara, K.L.","39","2008","01","09",Brasil,São Paulo,Pratânia,-48.733333,-22.8,48°44'w,22°48's,"Trepadeira, frutos verdes, pedúnculo floral vermelho",BOTU027967,"Ishara, K.L.",Fazenda Palmeira da Serra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.916667,-22.916667,"7",2021-02-08 11:10:28-03,UNESP-IBB,BOTU,"30911",PreservedSpecimen,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Bicudo, L.R.H.","1795","1996","03","27",Brasil,São Paulo,Botucatu,-48.916667,-22.916667,48°55'w,22°55's,NA,BOTU030911,NA,"Mata do Moro da Igreja de Santo Antonio Rubião, distrito de Rubião Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8699989318848,-23.9799995422363,"11",2021-03-01 16:42:49-03,UNICAMP,UEC,"88732",S,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Souza, VC; Yamamoto, K; Stehmann, JR; Dutilh, JHA","4654","1994","11","26",Brazil,São Paulo,Itapeva,-48.8699989318848,-23.9799995422363,NA,NA,"Trepadeira. Botões avermelhados.; Área de campo alagável com cerrado adjacente. Campo.",NA,"Scaramuzza, CAMR","Rodovia Itararé-Itapeva, Próximo à ponte do Rio Verde.",Magnoliopsida,"1995","01",NA,NA,"23","42926",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4199981689453,-21.9899997711182,"28",2020-08-13 18:03:04-03,IBt,SP,299213A,S,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Aragaki, S","318","1995","03","31",Brasil,São Paulo,Pirassununga,-47.4199981689453,-21.9899997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4199981689453,-21.9899997711182,"29",2020-08-13 18:03:04-03,IBt,SP,299214A,S,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Batalha, MA","77","1995","05","04",Brasil,São Paulo,Pirassununga,-47.4199981689453,-21.9899997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4199981689453,-21.9899997711182,"30",2020-08-13 18:03:04-03,IBt,SP,299212A,S,Plantae,Vitaceae,Cissus,inundata,Cissus inundata,(Baker) Planch.,"Aragaki, S","205","1994","11","24",Brasil,São Paulo,Pirassununga,-47.4199981689453,-21.9899997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
