X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,occurrenceRemarks,phylum,order,continentOcean,preparationType,infraspecificEpithet,coordinatePrecision,geoFlag,relationshipType,relatedCatalogItem,class,fieldNumber,typeStatus,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.400278,-24.6525,"6",2020-06-29 11:29:58-03,UFRJ,RFA,"42971",PreservedSpecimen,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,Bernardo Nunes da Silva,"A. Oriani; J.I.N. Miachir; M.L.S. Carvalho; M.R.A. Muniz; V. Korman; V.C. Souza; R.R. Rodrigues; N.M. Ivanauskas; R.G. Udulutsch; T. Breier","526","2005","03","23",Brasil,São Paulo,Eldorado,"Parque estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Bugio",-48.400278,-24.6525,48º24'1''W,24º39'9''S,"400","400",RFA40787,NA,"2011","06","16",Hemiepífitas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4599990844727,-24.2800006866455,"19",2020-11-04 10:55:24-03,ESALQ,ESA,"116758",PreservedSpecimen,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,NA,"Leal, E.","Souza, V.C.","36240.0","2012","01","01",Brasil,São Paulo,Miracatu,NA,-47.4599990844727,-24.2800006866455,NA,NA,NA,NA,ESA116758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43974",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"36",2019-08-20 09:59:31-03,UNICAMP,UEC,"40236",S,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,"Spina, AP","Leitão Filho, HF; Tamashiro, JY","18001","1985","12","03",Brazil,São Paulo,Cananéia,Ilha do Cardoso,-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,UEC057267,UEC057267,"1994","11",NA,"fruto, Escandente robusta, sobre árvore de 15-20m, frutos verdes.",Liliopsida,NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"37",2019-08-20 09:59:31-03,UNICAMP,UEC,"21718",S,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,"Spina, AP","Leitão Filho, HF","10790","1979","12","11",Brazil,São Paulo,Cananéia,Ilha do Cardoso,-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,UEC057270,UEC057270,"1994","11",NA,Planta escandente.,Liliopsida,NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"38",2019-08-20 09:59:31-03,UNICAMP,UEC,"67924",S,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,NA,"Koch, I","29889","1993","11","14",Brazil,São Paulo,Ubatuba,Caminho da Praia do Tenório,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,UEC057268,UEC057268,NA,NA,NA,"fruto, Epífita sobre ficus. Infrutescência verde. Mata de encosta.",Liliopsida,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8400001525879,-24.4799995422363,"88",2020-12-21 16:21:50-03,MBM,MBM,"83273",PreservedSpecimen,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,"Hatschbach, G.","Hatschbach, G.","46285","1983","05","10",Brazil,São Paulo,Registro,Rodovia para Sete Barras,-47.8400001525879,-24.4799995422363,NA,NA,NA,NA,MBM083273,MBM083273,NA,NA,NA,NA,NA,NA,Southern America,NA,NA,"25922",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"128",2020-06-15 15:30:07-03,UNESP-RC,HRCB,"25529",PreservedSpecimen,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,(Hand.-Mazz.) Harling,"Gomes, F.P.","Izar, P.","1682","1997","03","17",Brasil,São Paulo,Sete Barras,Parque Intervales,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,NA,NA,"1997","03","26","Epífita coletada a + ou - 2 m de altura, com estrutura fértil imatura de coloração verde. Caule de 80 cm de comprimento, folha bipartida e sanfonada, com pecíolo longo, lembrando um folha de palmeir",NA,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"138",2020-09-12 05:00:02-03,US,US,"3673573",PreservedSpecimen,Plantae,Cyclanthaceae,Asplundia,polymera,Asplundia polymera,NA,NA,"E. L. Barbosa, J. M. Silva & J. Vaz",NA,"2004","2","27",Brazil,São Paulo,Barra do Turvo,Cachoeira Dito Salu.,-48.5046997070312,-24.7563991546631,NA,NA,NA,NA,US01916596,US01916596_01,NA,NA,NA,NA,NA,Cyclanthales,South America - Neotropics,NA,NA,"38172",auto,NA,NA,Monocotyledonae,NA,NA,"1","35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"157",2019-11-21 10:03:22-03,IBt,SP,"159800",S,Plantae,Cyclanthaceae,Asplundia,brachypus,Asplundia brachypus,(Drude) Harling,"Leal, E","De-Grande, DA; Lopes, EA; Barros, F",254b,"1979","02","22",Brasil,São Paulo,Cananéia,"Ilha do Cardoso, Trilha de acesso à captação de água, próximo ao Rio Pereque",-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,NA,NA,"2017","05","12",NA,NA,NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4599990844727,-22.9200000762939,"158",2019-11-21 10:03:22-03,IBt,SP,"294091",S,Plantae,Cyclanthaceae,Asplundia,brachypus,Asplundia brachypus,(Drude) Harling,"Leal, E","Nicolau, SA; Souza Franco, AC","843","1994","04","03",Brasil,São Paulo,Pindamonhangaba,Fazenda São Sebastião do Ribeirão Grande,-45.4599990844727,-22.9200000762939,NA,NA,NA,NA,NA,NA,"2017","05",NA,NA,NA,NA,NA,NA,NA,"24176",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
