X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,phylum,order,typeStatus,recordNumber,continentOcean,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,class,relatedCatalogItem,yearIdentified,coordinatePrecision,geoFlag,monthIdentified,dayIdentified,individualCount,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.35,-24.97,"5",2021-03-15 16:37:00-03,NY,NYBG,"884646",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,NA,L. G. Clark,"1992","02","17",Brazil,São Paulo,NA,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraiso, between Rio Barreiro and Rio Caapora. In secondary forest of the W side of the highway just before the gas station (heading toward Curitiba).",-48.35,-24.97,NA,NA,NY00884646,NY00884646_01,Magnoliophyta,Poales,NA,"1027",South America,"620","620",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963189' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48,-24,"13",2020-12-20 21:18:53-03,UFV,VIC,"45825",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,T.S.Filgueiras,"R.T.Shirasuna; T.S.Filgueiras","2009","10","05",Brasil,São Paulo,Barra do Turvo,"Parque Estadual de Jacupiranga., Margem de pequeno córrego de mata atlântica.",-48,-24,"-48","-24",VIC045825,VIC045825,NA,NA,NA,"2565",NA,"670","670",NA,"Bambu lignificado com aproximadamente 6 m de altura; folhas estreitas; estéril; rara.; Folhas estreitas; estéril.; Bambu lignificado com aproximadamente 6 m de altura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.2875,-24.934167,"15",2021-03-01 16:20:22-03,UNICAMP,UEC,"171824",S,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,"Santos, AG","Santos, AG; Matsemeoto, K; Belinello, R","2002","02","23",Brazil,Paraná,Curitiba,"Morro dos perdidos, próximo do posto a polícia civil de barra do turvo sentido PR-SP.",-48.2875,-24.934167,"-48.2875","-24.934167",UEC016922,UEC016922,Liliopsida,NA,NA,"411",NA,NA,NA,NA,Bambu lignificado coletadona estrada BR 116.,NA,NA,"2002",NA,NA,"02",NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.35,-24.9666667,"28",2010-12-02 14:45:00-02,MO,MOBOT,"1775757",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B. Sm.,E. Ruiz-Sanchez,Lynn G. Clark,"1992","2","17",Brazil,São Paulo,NA,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraiso, between Rio Barreiro and Rio Caapora. In secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)",-48.35,-24.9666667,NA,NA,NA,NA,NA,NA,NA,Clark 1027,South America,"620.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-48.35,-24.9667,"42",2020-09-12 05:00:02-03,US,US,"3289647",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B. Sm. in Reitz,NA,"L. G. Clark, X. Londoño & W. De Oliveira","1992","2","17",Brazil,São Paulo,NA,"Km 528 of br116, just across the highway from posto alto da serra paraiso, between rio barreiro and rio caapora",-48.35,-24.9667,NA,NA,US00452380,US00452380_01 US00452380_02,NA,Cyperales,NA,"1027",South America - Neotropics,"620","620",NA,NA,Monocotyledonae,NA,NA,NA,NA,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-48.35,-24.9667,"52",2020-09-12 05:00:02-03,US,US,"3289648",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B. Sm. in Reitz,NA,"L. G. Clark, X. Londoño & W. De Oliveira","1992","2","17",Brazil,São Paulo,NA,"Km 528 of br116, just across hwy from posto alto da serra paraiso, between rio barreiro and rio caapora",-48.35,-24.9667,NA,NA,US00502399,US00502399_01 US00502399_02,NA,Cyperales,NA,"1027",South America - Neotropics,"620","620",NA,NA,Monocotyledonae,NA,NA,NA,NA,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-48.2875,-24.934444,"75",2020-08-20 14:59:28-03,UFSC,FLOR,"64023",PreservedSpecimen,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,"Filgueiras, T.S.","Shirausa, R.T.; Filgueiras, T.S.","2009","10","05",Brasil,São Paulo,Barra do Turvo,Parque Estadual da Jucupiranga.,-48.2875,-24.934444,48º17'15''W,24º56'4''S,FLOR0064023,FLOR0064023,NA,Poales,NA,"2565",NA,NA,NA,NA,"Bambu lignificado; Folhas estreitas; Estéril; Coletadas mudas para o IBT. N.P: Taraquaruçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.35,-24.966667,"85",2019-11-21 10:14:41-03,IBt,SP,"358569",S,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,FFESP,"Clark, L; Londoño, X; Oliveira, W","1992","02","17",Brasil,São Paulo,Barra do Turvo,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraíso, between Rio Branco and Rio Caapora. Secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)",-48.35,-24.966667,"-48.35","-24.966667",SP040541,SP040541,NA,NA,NA,"1027",NA,"620","620",NA,Treated with 70% EtOH,NA,NA,"2001",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.35,-24.966667,"86",2019-11-21 10:14:41-03,IBt,SP,358569a,S,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,FFESP,"Clark, L; Londoño, X; Oliveira, W","1992","02","17",Brasil,São Paulo,Barra do Turvo,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraíso, between Rio Branco and Rio Caapora. Secondary forest on the W side of the highway just before the gas station (heading toward Curitiba)",-48.35,-24.966667,"-48.35","-24.966667",SP040542,SP040542,NA,NA,NA,"1027",NA,"620","620",NA,Treated with 70% EtOH,NA,NA,"2001",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.2875,-24.934167,"87",2019-11-21 10:14:41-03,IBt,SP,"415202",S,Plantae,Poaceae,Apoclada,simplex,Apoclada simplex,McClure & L.B.Sm.,"Filgueiras, TS","Shirasuna, RT; Filgueiras, TS","2009","10","05",Brasil,São Paulo,Barra do Turvo,"Parque Estadual de Jacupiranga, Mata de pequeno córrego de Mata Atlântica",-48.2875,-24.934167,"-48.2875","-24.934167",SP040538,SP040538,NA,NA,NA,"2565",NA,"670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
