"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02715746","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","pseudota","Paullinia pseudota","Radlk.","P. Acevedo-Rodríguez","A. M. Amorim","3071","1999","05","12","South America","Brazil","Bahia","Una","REBIO de Una. Coletas efetuadas na estrada de acesso a Reserva","-39.0753","-15.2933","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687559' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715746","NY02715746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","514191","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","G. V. Somner","310","1982","12","21","South America","Brazil","Rio de Janeiro","Cabo Frio","Entre Unamar e Barra de Sao Joao, estrada que vai para Sao Pedro da Aldeia.","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514191","NY00514191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","514190","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","G. V. Somner","176","1982","05","24","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514190","NY00514190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687384","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","J. C. Gomes","3629","1965","04","03","South America","Brazil","São Paulo",NA,"Ilha Vitória.","-45.017173","-23.748254","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687384","NY00687384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","514189","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","C. Farney","751","1985","06","09","South America","Brazil","Rio de Janeiro","Saquarema","Restinga de Itaúna.","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514189","NY00514189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00749663","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","P. Acevedo-Rodríguez","W. W. Thomas","11625","1997","07","18","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. North of Barra Velha.","-39.1441667","-16.8752778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749663","NY00749663_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","887308","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","H. C. H. Silva","17","2001","06","28","South America","Brazil","Pernambuco","Igarassu","Mata da Usina São José.","-35.0028","-7.8389","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887308","NY00887308_01","25","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","514188","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. M. Barroso; G. V. Somner","D. S. D. de Araújo","4982","1982","04","27","South America","Brazil","Rio de Janeiro","Macaé","Na estrada para Lagoa Comprida.","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514188","NY00514188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","514240","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","H. T. Beck","S. A. Mori","16603","1984","07","07","South America","Brazil","Bahia","Ilhéus","Ilhéus/Una Highway, 12 km S of Ilhéus.","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514240","NY00514240_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","514184","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","racemosa","Paullinia racemosa","Wawra","G. V. Somner","E. de Souza Ferreira da Rocha","1057","1983","01","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga do Gumari.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514184","NY00514184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
