"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","phylum","class","order","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","relatedCatalogItem"
"1","2020-04-27 16:10:19-03","UFES","VIES","16711","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amoria, A.","2015","06","12","Pereira, O.J.; Espindula, E.","6289","2000","07","19","Brasil","Espírito Santo","Domingos Martins","Sítio Rosa Freitas.","-40.6591987609863","-20.3633003234863","48150","VIES016711","VIES016711","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:32:45-03","MBM","MBM","169845","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, A.",NA,NA,NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","61181","1994","10","09","Brazil","Espírito Santo","Domingos Martins","Domingos Martins, arredores","-40.6591987609863","-20.3633003234863","48150","MBM169845","MBM169845","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:32:45-03","MBM","MBM","171527","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, A.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61604","1995","01","17","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul","-40.6591987609863","-20.3633003234863","48150","MBM171527","MBM171527","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:32:45-03","MBM","MBM","171531","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, A.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61419","1995","01","14","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447","MBM171531","MBM171531","auto","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-15 09:03:51-03","UESC","UESC","9995","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim",NA,NA,NA,NA,"Amorim, A.M.","3316","2000","02","15","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813","UESC0009995",NA,"auto",NA,"Angiospermae","Dicotyledoneae","Florideophycidae","Liana ca. 10 m alt.; Foto.",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:37:37-03","UFMG","BHCB","116688","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim",NA,"2012",NA,NA,"Lucas, EJ; Mazine, FF; Leoni, L; Brummitt, CP; Campos, OR; Flores, TB; Jennings, LVS; Samp","736","2006","11","27","Brasil","Espírito Santo","Santa Teresa","São Antônio, Sítio do Boza","-40.59","-19.910278",NA,"BHCB027986",NA,NA,"Southern America","Dicotyledon",NA,NA,"Trepadeira; Floresta ombrófila densa, perturbada. População sobre afloramento","-40.59","-19.910278","780","780",NA,NA,NA
"7","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22254",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2003",NA,NA,NA,"A. M. Amorim; et al","3319","2000","02","15","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"MBML022254","MBML022254",NA,NA,NA,NA,NA,"Liana robusta, ca. 10m alt. Frequente na vegetação arbórea acompanhando o rio. Coleta testemunha para trabalho de Tese. Estéril. Foto.","40W36'27","19S55'53",NA,NA,NA,NA,NA
"8","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","32678",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2008",NA,NA,NA,"L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen","1550","2006","10","31","Brasil","Espírito Santo","Santa Leopoldina","Bragança, Mata do Tyrol, propr.: Assunta Salvador.","-40.550833","-20.134167",NA,"MBML032678","MBML032678",NA,NA,NA,NA,NA,"Liana. Flores amarelas. Borda da mata. Beira de estrada.","40W33'3","20S8'3","560","560",NA,NA,NA
"9","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","34961",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim",NA,NA,NA,NA,"C. N. de Fraga; et al","2026","2008","05","05","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas","-40.533333","-20.266667",NA,"MBML034961","MBML034961",NA,NA,NA,NA,NA,NA,"40W31'60","20S16'0",NA,NA,NA,NA,NA
"10","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","4451",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2003",NA,NA,NA,"H. Q. Boudet Fernandes","2417","1988","03","21","Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.620556","-19.931111",NA,"MBML004451","MBML004451",NA,NA,NA,NA,NA,"Trepadeira sobre árvore à beira de córrego, inflorescência e ramos com indumento castanho, semi-sombra.","40W37'14","19S55'52",NA,NA,"PARATIPO","2",NA
