"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","typeStatus","coordinatePrecision","geoFlag","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145260","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.","F. Almeda","F. Almeda","9029","2004","11","30","South America","Brazil","Minas Gerais","Pico do Itambé. Trail to the summit from Santo Antônio do Itambé.","-43.3175","-18.40164","1442","1442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145260","NY01145260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02736627","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.",NA,"F. Almeda","9663","2009","03","02","South America","Brazil","Minas Gerais","Parque Estadual do Pico do Itambe; Santo Antonio do Itambe","-43.34817","-18.39686","1367","2038","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244520' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02703356","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.",NA,"J. R. Pirani","5934","2009","02","10","South America","Brazil","Minas Gerais","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próximo à Ponte do Rebentão (pequena ponte suspensa)","-43.34064","-18.39878","1804",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3002190' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703356","NY02703356_01","Santo Antônio de Itambé",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909970","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.","J. J. Wurdack","W. R. Anderson","35853","1972","02","12","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.392","-18.43185","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909970","NY00909970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:23-03","EAO","IAN","14281","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","(Mart. & Schrank) DC.","Barreto, M","Magalhães, MG","1645","1942","05","05","Southern America","Brasil","Minas Gerais","Campo arenoso, úmido, alto Pico do Itambé, muito frequente.",NA,NA,NA,NA,NA,NA,"IAN014281","IAN014281 IAN014281_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:03-03","UNICAMP","UEC","169537","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","Mart. & Schrank ex A.DC.","Martins, AB","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9694","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.&nf;Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests. &nf;Growi","-43.589333","-18.674111","1367","2038",NA,NA,"UEC010981","UEC010981","Santo Antônio do Itambé","2013","-43.589333","-18.674111",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:34:03-03","UNICAMP","UEC","169536","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","Mart. & Schrank ex A.DC.","Martins, AB","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9695","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.&nf;Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests. &nf;Growi","-43.589333","-18.674111","1367","2038",NA,NA,"UEC010982","UEC010982","Santo Antônio do Itambé","2013","-43.589333","-18.674111",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:03-03","UNICAMP","UEC","169535","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","Mart. & Schrank ex A.DC.","Martins, AB","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9693","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.&nf;Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests. &nf;Growi","-43.589333","-18.674111","1367","2038",NA,NA,"UEC010979","UEC010979","Santo Antônio do Itambé","2013","-43.589333","-18.674111",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:03-03","UNICAMP","UEC","169563","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","Mart. & Schrank ex A.DC.","Martins, AB","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9680","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambé, from the Fazenda at 1367 m to the summit of Pico do Itambé at 2038 m, along the main trail.","-43.589333","-18.674111","1367","2038",NA,"Shrub 2 m tall.; Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests.","UEC010972","UEC010972","Santo Antônio do Itambé","2013","-43.589333","-18.674111",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:34:03-03","UNICAMP","UEC","169533","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","Mart. & Schrank ex A.DC.","Martins, AB","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9691","2009","03","02",NA,"Brazil","Minas Gerais","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.&nf;Campo rupestre and campo limpo vegetation interspersed with wooded areas around rock outcrops and gallery forests. &nf;Growi","-43.589333","-18.674111","1367","2038",NA,NA,"UEC010977","UEC010977","Santo Antônio do Itambé","2013","-43.589333","-18.674111",NA,NA,NA,NA,NA,NA
