"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00940258","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti; S. A. T. Graham","J. R. Pirani","2255","1988","02","14","South America","Brazil","Minas Gerais","Itacambira","Itacambira, Serra de Itacambira, a 45 km de Juramento.","-43.3089","-17.0647","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940258","NY00940258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00940259","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti; S. A. T. Graham","J. R. Pirani","2270","1988","02","14","South America","Brazil","Minas Gerais","Itacambira","Itacambira, 2 Km W da cidade, na Rodovia para Juramento, no alto da serra.","-43.3","-17.07","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940259","NY00940259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00941152","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","T. B. Cavalcanti","2301","1997","04","24","South America","Brazil","Minas Gerais","Gouveia","BR 529. Diamantina-Curvelo, 2 km. da BR na estrda para a represa da CEMIG.","-43.7407989501953","-18.4543991088867","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941152","NY00941152_01","37970","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03090991","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.",NA,"T. B. Cavalcanti","CFCR-9596","1986","02","25","South America","Brazil","Minas Gerais","Grão Mogol","Margens de córrego à saída da cidade, na estrada para o Rio Ventania","-42.8897018432617","-16.5594005584717","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3384008' target='other'> <mi>dwc_moreinfo</mi></a>","NY03090991","NY03090991_01","67219","auto","isotype",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00941153","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","T. B. Cavalcanti","2332","1997","04","30","South America","Brazil","Minas Gerais","Itacambira","Estrada Itacambira-Montes Claros; 4 km. de Itacambira, subindo a chapada.","-43.3088989257812","-17.0646991729736","1383","1383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941153","NY00941153_01","48089","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-29 19:07:11-03","UFJF","CESJ","28896","PreservedSpecimen","Plantae","Angiosperma",NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.Cavalcanti","T.B. Cavalcanti","T.B. Cavalcanti; J. Kirkbride; W. Roath; G.P. da Silva","278","1989","02","18","América do Sul","Brasil","Minas Gerais","Grão Mogol","na saída da cidade, em sentido ao Rio Ventania. Córrego dos Bois","-42.9","-16.566667",NA,NA,NA,"Campo rupestre, solo arenoso, montanhoso. Ocasional. Arbusto até 60cm alt, flor rosa magenta. Apendices patentes.","CESJ028896",NA,NA,NA,NA,"1990","-42.9","-16.566667",NA,NA,NA
"7","2020-12-21 16:32:20-03","MBM","MBM","182162","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B. Cavalc.","Cavalcanti, T.B.","Cavalcanti, T.B.; Kirkbride, J.H.; Roath, W.; Silva, G.P.; Kirkbride, J.H.; Roath, W.; Silva, G.P.","278","1989","02","18","Southern America","Brazil","Minas Gerais","Grão Mogol","Córrego dos Bois, Na saída da cidade em sentido ao Rio Ventania.","-42.9","-16.566667","1000","1000",NA,"Subarbusto 60cm alt. Flor rosa-magenta. Campo rupestre. Solo arenoso. Relevo montanhoso. apêndices patentes. Ocasional.; Subarbusto até 60cm alt. Flor rosa-magenta. Apêndices patentes.; Campo rupestre, solo arenoso, relevo montanhoso","MBM182162","MBM182162",NA,NA,"PARATYPE","1990","-42.9","-16.566667",NA,NA,NA
"8","2020-12-21 16:32:20-03","MBM","MBM","57991","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B. Cavalc.","Cavalcanti, T.B.","Hatschbach, G.","41409","1978","04","23","Southern America","Brazil","Minas Gerais","Grão Mogol","Arredores","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Arbusto 1,20m, flor rosada. Solo arenoso, junto aos afloramentos de arenito; Arbusto 1,20m, flor rosada.; Solo arenoso junto aos afloramentos de arenito.","MBM057991","MBM057991","67219","auto","PARATYPE","1994",NA,NA,NA,NA,NA
"9","2020-12-21 16:32:20-03","MBM","MBM","136097","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B. Cavalc.","Cavalcanti, T.B.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54290","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Trilha dos Garimpeiros","-42.8897018432617","-16.5594005584717","1250","1250",NA,"Subarbusto 70 cm, pétalas rosadas. Campo rupestre, solo arenoso do alto do morro; Subarbusto 70cm, pétalas rosadas.; Campo rupestre, solo arenoso do alto do morro.","MBM136097","MBM136097","67219","auto","PARATYPE","1994",NA,NA,NA,NA,NA
"10","2020-12-11 11:37:19-03","UFMG","BHCB","181148","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.",NA,"Cavalcanti, TB; Semir, J; Chukr, NS; Menezes, NL de; Mello-Silva, R de","s.n.","1986","02","25","Southern America","Brasil","Minas Gerais","Grão Mogol","Saída da cidade, na estrada para Rio Ventania","-42.8897018432617","-16.5594005584717","900","1000",NA,"Arbusto de 1,5m de altura. Ramos jovens avermelhados, flores roxas, estames amarelos; Margem de córrego","BHCB035312","BHCB035312","67219","auto","Isotypus",NA,NA,NA,NA,NA,NA
