"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1599108","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","J. J. Wurdack","B. A. Stein","2564","1985","04","22","South America","Ecuador","Napo","20 km W of Coca, south side of Río Napo, via de los Zorros.","-77.05","-0.58","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1910091' target='other'> <mi>dwc_moreinfo</mi></a>","NY01599108","NY01599108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521304","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","A. J. Ribeiro","S. A. Mori","12027","1979","06","15","South America","Brazil","Bahia","Estrada que liga a torre de Embratel com a estrada BR-101/Itacaré, a 5.8 km da entrada. Cerca de 25 km a SE de Ubaitaba","-39.2713273","-14.4201153",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521304","NY00521304_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 14:27:00-03","NY","NYBG","01855841","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma",NA,"F. A. Michelangeli","E. Narvaez","937","2004","03","08","South America","Ecuador","Esmeraldas","Parroquia Teleuvi. Cristóbal Colón. Cooperativa Tesoro Escondido. Zona del Río Gualpi. Bosque Húmedo Tropical. Bosque primario colinado.","-79.1333333","0.5166667","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2145107' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855841","NY01855841_01","Eloy Alfaro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1487970","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","Z. Cordero P.","D. Cárdenas-López","22768","2009","06","03","South America","Colombia","Vaupés","Comunidad indígena Acaricuara, camino la Floresta aTamacuari.","-70.19777778","0.645277778","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2352148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487970","NY01487970_01","Mitú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521299","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","J. J. Wurdack","J. G. Jardim","554","1994","08","26","South America","Brazil","Bahia","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una Regiao da Mata Higrúfila Sul Baiana. Picada Paralela ao Rio","-39.08","-15.15",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521299","NY00521299_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3270630","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin",NA,"B. Øllgaard","38957","1982","05","30","South America","Ecuador","Napo","Añangu; Parque Nacional Yasuní, in the area of SEF project","-76.38","-0.52","260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3583295' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270630",NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3677564","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","F. A. Michelangeli","R. Vásquez Martínez","32474","2007","06","25","South America","Peru","Pasco","Distrito Villa Rica. Bosque de Protección San Matías-San Carlos, Sector Yulculmas. Bosque primario.","-75.0697223","-10.5891666","1100","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3914984' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677564","NY03677564_01","Oxapampa","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3270618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin",NA,"B. A. Krukoff","10859","1939","09","12","South America","Bolivia","La Paz","Tuiri, near Mapiri, on left bank of Rio Mapiri.",NA,NA,"490","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3583281' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270618",NA,"Larecaja","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3270657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin",NA,"E. P. Killip","35670","1939","04","20","South America","Colombia","Chocó","Mediosanjuan, Andagoya",NA,NA,"70","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3583322' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270657",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3785764","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","centrodesma","Miconia centrodesma","Naudin","F. A. Michelangeli","R. D. Rojas Gonzales","8444","2012","06","30","South America","Peru","Pasco","Dist. Palcazu. Comunidad Nativa Alto Lagarto - Reserva Comunal Yanesha.","-75.3683334","-10.1344444","500","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4143652' target='other'> <mi>dwc_moreinfo</mi></a>","NY03785764","NY03785764_01","Oxapampa","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
