"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","locality","occurrenceRemarks","recordNumber","phylum","order","continentOcean","preparationType","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:33:58-03","UNESC","CRI","2439","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","02","11","Brasil","Santa Catarina","Santa Cecília","-50.412778","-26.971944","50º24'46''W","26º58'19''S","CRI007104","CRI007104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:58-03","UNESC","CRI","2383","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein & G. Hatschbach","1965","01","14","Brasil","Paraná","Balsa Nova","-49.629444","-25.581111","49º37'46''W","25º34'52''S","CRI007107","CRI007107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:58-03","UNESC","CRI","2440","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","02","11","Brasil","Santa Catarina","Santa Cecília","-50.412778","-26.971944","50º24'46''W","26º58'19''S","CRI007103","CRI007103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:58-03","UNESC","CRI","2555","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","02","13","Brasil","Santa Catarina","São Joaquim","-49.931944","-28.294444","49º55'55''W","28º17'40''S","CRI007109","CRI007109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:58-03","UNESC","CRI","2420","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","02","12","Brasil","Santa Catarina","Lages","-50.334722","-27.806389","50º20'5''W","27º48'23''S","CRI007105","CRI007105","L. B. Smith","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:58-03","UNESC","CRI","2437","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","01","11","Brasil","Santa Catarina","Ponte Alta","-50.377778","-27.484167","50º22'40''W","27º29'3''S","CRI007106","CRI007106",NA,NA,"846","846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:58-03","UNESC","CRI","2087","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","Reitz; Klein","1963","12","29","Brasil","Santa Catarina","Abelardo Luz","-52.323056","-26.580556","52º19'23''W","26º34'50''S","CRI007108","CRI007108",NA,NA,"900","900","Abelardo Luz.","Habitat: Banhando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:58-03","UNESC","CRI","2481","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","L. B. Smith; R. M. Klein","1975","02","12","Brasil","Santa Catarina","Lages","-50.326111","-27.815278","50º19'34''W","27º48'55''S","CRI007102","CRI007102",NA,NA,"918","918",NA,NA,"16103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:58-03","UNESC","CRI","2452","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","R. M. Klein; M. M. Klein","1974","01","17","Brasil","Santa Catarina","Água Doce","-51.551944","-27","51º33'7''W","27º0'0''S","CRI007101","CRI007101","R. M. Klein","1974","1200","1200","Campos de Palmas, Água Doce.","Habitat: campo úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","885284","PreservedSpecimen","Plantae","Poaceae","Paspalum","maculosum","Paspalum maculosum","Trin.","P. K. H. Dusén","1910","12","02","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00885284","NY00885284_01","E. L. Ekman",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985622' target='other'> <mi>dwc_moreinfo</mi></a>","10917","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
