"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","class","order","continentOcean","relatedCatalogItem","occurrenceRemarks","imagecode","typeStatus","fieldNumber","individualCount","phylum","coordinatePrecision","geoFlag"
"1","2019-10-31 11:12:05-03","UNEMAT","TANG","6914","S","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Abdo, MSA","2018","10","09","Abdo, MSA","892","2018","10","09","Brasil","Mato Grosso","Aripuanã","Margem esquerda da estrada de Aripuanã para distrito de Morena, fragmento de floresta.","-59.575983","-10.205125","-59.575983","-10.205125","268","268","TANG000006914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:24:30-03","NBC","NL-BOTANY","L.1072024","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1072024","Magnoliopsidae","Rosales","Southern America","Uw26767","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072024",NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:24:30-03","NBC","NL-BOTANY","L.1072025","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1072025","Magnoliopsidae","Rosales","Southern America","Uw26767","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072025",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:24:30-03","NBC","NL-BOTANY","L.1072026","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1072026","Magnoliopsidae","Rosales","Southern America","Uw26768","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072026 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072026",NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:24:30-03","NBC","NL-BOTANY","L.1072028","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1072028","Magnoliopsidae","Rosales","Southern America","Uw26768","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072028",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U 0054447","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-U0054447","Magnoliopsidae","Rosales","Southern America","Uw 26768","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200054447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U 0054448","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-U0054448","Magnoliopsidae","Rosales","Southern America","Uw 26768","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200054448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U 0104060","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Berg CC",NA,NA,NA,"Wied-Neuwied MAP zu",NA,NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Campos; Brazil",NA,NA,NA,NA,NA,NA,"NL-U0104060","Magnoliopsidae","Rosales","Southern America","122508 B","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200104060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0104060","isotype",NA,NA,NA,NA,NA
"9","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U 0285809","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-U0285809","Magnoliopsidae","Rosales","Southern America","Uw26768","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U 0285810","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Steyermark JA",NA,NA,NA,NA,"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-U0285810","Magnoliopsidae","Rosales","Southern America","Uw26767","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:24:30-03","NBC","NL-BOTANY","U.1432170","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Berg CC",NA,NA,NA,"Nee MH; Vargas Caballero IG",NA,"1994","02","15","Bolivia","Santa Cruz",NA,NA,"-63.45","-17.666667","-63.45","-17.666667",NA,NA,"NL-U1432170","Magnoliopsidae","Rosales","Southern America","U 0107661","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1432170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1432170",NA,NA,NA,NA,NA,NA
