"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","occurrenceRemarks","barcode","year","month","day","locality","imagecode","infraspecificEpithet","typeStatus","stateProvince","recordNumber","decimalLongitude","decimalLatitude","minimumElevationInMeters","phylum","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0110904","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea","(Speg.) Britton & Rose","Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200110904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0110904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U.1180206","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea","(Speg.) Britton & Rose","Herter WG","Southern America","Uruguay","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180206","1935","04","05","Dep. De Montevideo. Pajas Blancas.","NL-U1180206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102286","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea altigibbera","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102286","1965","01","01","Brazil, Rio Grande do Sul, IbarÚ.","NL-U0102286","altigibbera","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102289","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea curvispina","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102289","1965","01","01","Brazil, Rio Grande do Sul, Pantano Grande.","NL-U0102289","curvispina","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102287","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea lilalunula","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102287","1965","01","01","Brazil, Rio Grande do Sul, Livramento.","NL-U0102287","lilalunula","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102290","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea longispina","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102290","1965","01","01","Brazil, Rio Grande do Sul, Quevedos.","NL-U0102290","longispina","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102291","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea major","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102291","1965","01","01","Brazil, Rio Grande do Sul, Caþapava.","NL-U0102291","major","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102288","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea planicosta","F.Ritter","Ritter F","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102288","1965","01","01","Brazil, Rio Grande do Sul, Sao Francisco de Assis.","NL-U0102288","planicosta","holotype","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-08-23 04:12:00-03","MO","MOBOT","1455840","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","pygmaea","Frailea pygmaea","(Speg.) Britton & Rose","W.G. Herter","South America","Uruguay",NA,NA,"1948","10",NA,"Pando",NA,NA,NA,"Canelones","Herter 2269","-55.95","-34.71666","5.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","104860","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","pygmaea","Frailea pygmaea","(Speg.) Britton & Rose","Machado, M.",NA,"Brasil",NA,"HUEFS0104860","2005","11","08","68 km ao sul na BR-153 contados a partir do entroncamento com a BR-392, ou 42.5 km ao norte na BR-153 contados a partir do entroncamento com a BR-293 (km 557 da BR-153), dobra-se à leste em estrada de terra em direção a Corredor dos Collares, após 8.4 km tem uma bifurcação #?# pega-se a estrada da esquerda em direção a Passo do Camaquã, depois de mais 6.5 km tem outra bifurcação #?# pega-se a estrada da direita em direção a Passo do Camaquã, depois de mais 5.6 km tem outra bifurcação #?# pega-se a estrada da direita, após mais 11 km chega-se ao local.","HUEFS0104860",NA,NA,"Rio Grande do Sul","533","-53.453056","-31.050833","259","Angiospermae","Bagé","53W27'11''","31S3'3''","259",NA,NA,NA
