"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:58-03","UNESC","CRI","2512","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.","L. B. Smith","R. Reitz; R. M. Klein","1962","12","19","Brasil","Santa Catarina","Santa Cecília","Campo Alto.","-50.427222","-26.961389","50º25'38''W","26º57'41''S","CRI006856","CRI006856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","764185","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"L. B. Smith","1971","12","01","Brazil","Santa Catarina","Agua Doce","69 km. west of Caçador","-51.6953738","-26.781823",NA,NA,"NY00764185","NY00764185_01","Magnoliophyta","Poales","15564","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652015' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00895590","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1930","04","07","Brazil","Mato Grosso",NA,"Bank of Rio Congolha, Goyaz, West of Santa Rita do Araguaya, on rio Araguaya, Matto Grosso",NA,NA,NA,NA,"NY00895590","NY00895590_01","Magnoliophyta","Poales","11878","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966704' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","764187","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"A. Krapovickas","1973","01","29","Brazil","Rio Grande do Sul",NA,"25 km S de Vacaría, BR-116",NA,NA,NA,NA,"NY00764187","NY00764187_01","Magnoliophyta","Poales","23006","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652016' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00895565","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1925","03","10","Brazil","Minas Gerais","Lavras","Lavras","-44.99889","-21.24635",NA,NA,"NY00895565","NY00895565_01","Magnoliophyta","Poales","8811","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966703' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","764181","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"R. M. Klein","1962","12","11","Brazil","Santa Catarina","Mafra","Campo Novo, Mafra","-49.849819","-26.072275",NA,NA,"NY00764181","NY00764181_01","Magnoliophyta","Poales","3801","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652008' target='other'> <mi>dwc_moreinfo</mi></a>","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","764184","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"L. B. Smith","1971","12","14","Brazil","Santa Catarina","Bom Jardim da Serra","At the head of the Rio do Rastro","-49.6244","-28.3369",NA,NA,"NY00764184","NY00764184_01","Magnoliophyta","Poales","15786","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652014' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","764188","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"H. S. Irwin","1971","01","22","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 10km W. of Barao de Cocais",NA,NA,NA,NA,"NY00764188","NY00764188_01","Magnoliophyta","Poales","28829","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652007' target='other'> <mi>dwc_moreinfo</mi></a>","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 03:02:00-03","NY","NYBG","764189","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens",NA,NA,"T. M. Pedersen","1972","02","21","Argentina","Corrientes","Concepción","Carambola",NA,NA,NA,NA,"NY00764189",NA,"Magnoliophyta","Poales","10065","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652011' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00895588","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1925","02","28","Brazil","Minas Gerais","Barbaçena","Barbacena, Serra Mantiqueira","-43.7733","-21.2258",NA,NA,"NY00895588","NY00895588_01","Magnoliophyta","Poales","8669","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966698' target='other'> <mi>dwc_moreinfo</mi></a>","1230","1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","764183","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"R. Reitz","1962","12","19","Brazil","Santa Catarina",NA,"Campo Alto, Santa Cecilia","-50.399464","-26.750268",NA,NA,"NY00764183","NY00764183_01","Magnoliophyta","Poales","14214","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652010' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01066891","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.","F. O. Zuloaga; O. Morrone","J. R. Swallen","1946","01","05","Brazil","Santa Catarina",NA,"Coxilha Rica, Lages",NA,NA,NA,NA,"NY01066891","NY01066891_01","Magnoliophyta","Poales","8154","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205021' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00895591","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1930","02","18","Brazil","Mato Grosso do Sul",NA,"Vicinity of Dourados","-54.67","-22",NA,NA,"NY00895591","NY00895591_01","Magnoliophyta","Poales","10975","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966717' target='other'> <mi>dwc_moreinfo</mi></a>","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","764186","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"J. R. Swallen","1945","12","19","Brazil","Rio Grande do Sul",NA,"Fazenda da Brigada, Passo Fundo",NA,NA,NA,NA,"NY00764186","NY00764186_01","Magnoliophyta","Poales","7792","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652013' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","764180","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"J. R. Swallen","1946","01","01","Brazil","Santa Catarina",NA,"Base of Morro Juco Prudente, Lages",NA,NA,NA,NA,"NY00764180","NY00764180_01","Magnoliophyta","Poales","8087","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=652012' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00895589","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1930","01","18","Brazil","Minas Gerais","Poços de Caldas","Poços de Caldas","-46.5614","-21.7881",NA,NA,"NY00895589","NY00895589_01","Magnoliophyta","Poales","10667","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966700' target='other'> <mi>dwc_moreinfo</mi></a>","1100","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00895566","PreservedSpecimen","Plantae","Poaceae","Paspalum","glaucescens","Paspalum glaucescens","Hack.",NA,"M. A. Chase","1930","01","18","Brazil","Minas Gerais","Poços de Caldas","Poços de Caldas","-46.5614","-21.7881",NA,NA,"NY00895566","NY00895566_01","Magnoliophyta","Poales","10656","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966716' target='other'> <mi>dwc_moreinfo</mi></a>","1100","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
